Instance,NV,TD,Provided_Sol,Round,Time,Alg,Auther,Year
C101,10,828.94,FALSE,FALSE,-,R&R and GA,Khoo,2021
C102,10,828.94,FALSE,FALSE,-,R&R and GA,Khoo,2021
C103,10,828.07,FALSE,FALSE,-,R&R and GA,Khoo,2021
C104,10,824.78,FALSE,FALSE,-,R&R and GA,Khoo,2021
C105,10,828.94,FALSE,FALSE,-,R&R and GA,Khoo,2021
C106,10,828.94,FALSE,FALSE,-,R&R and GA,Khoo,2021
C107,10,828.94,FALSE,FALSE,-,R&R and GA,Khoo,2021
C108,10,828.94,FALSE,FALSE,-,R&R and GA,Khoo,2021
C109,10,828.94,FALSE,FALSE,-,R&R and GA,Khoo,2021
C201,3,591.56,FALSE,FALSE,-,R&R and GA,Khoo,2021
C202,3,591.56,FALSE,FALSE,-,R&R and GA,Khoo,2021
C203,3,591.17,FALSE,FALSE,-,R&R and GA,Khoo,2021
C204,3,590.6,FALSE,FALSE,-,R&R and GA,Khoo,2021
C205,3,588.88,FALSE,FALSE,-,R&R and GA,Khoo,2021
C206,3,588.49,FALSE,FALSE,-,R&R and GA,Khoo,2021
C207,3,588.29,FALSE,FALSE,-,R&R and GA,Khoo,2021
C208,3,588.32,FALSE,FALSE,-,R&R and GA,Khoo,2021
R101,19,1650.8,FALSE,FALSE,-,R&R and GA,Khoo,2021
R102,17,1494.15,FALSE,FALSE,-,R&R and GA,Khoo,2021
R103,13,1351.98,FALSE,FALSE,-,R&R and GA,Khoo,2021
R104,10,981.23,FALSE,FALSE,-,R&R and GA,Khoo,2021
R105,14,1377.33,FALSE,FALSE,-,R&R and GA,Khoo,2021
R106,12,1263.98,FALSE,FALSE,-,R&R and GA,Khoo,2021
R107,10,1131.67,FALSE,FALSE,-,R&R and GA,Khoo,2021
R108,9,978.33,FALSE,FALSE,-,R&R and GA,Khoo,2021
R109,12,1153.02,FALSE,FALSE,-,R&R and GA,Khoo,2021
R110,11,1078.8,FALSE,FALSE,-,R&R and GA,Khoo,2021
R111,10,1123.37,FALSE,FALSE,-,R&R and GA,Khoo,2021
R112,10,958.03,FALSE,FALSE,-,R&R and GA,Khoo,2021
R201,4,1331.25,FALSE,FALSE,-,R&R and GA,Khoo,2021
R202,4,1079.39,FALSE,FALSE,-,R&R and GA,Khoo,2021
R203,3,972.58,FALSE,FALSE,-,R&R and GA,Khoo,2021
R204,3,751.06,FALSE,FALSE,-,R&R and GA,Khoo,2021
R205,3,1064.71,FALSE,FALSE,-,R&R and GA,Khoo,2021
R206,3,942.08,FALSE,FALSE,-,R&R and GA,Khoo,2021
R207,3,811.51,FALSE,FALSE,-,R&R and GA,Khoo,2021
R208,2,864.3,FALSE,FALSE,-,R&R and GA,Khoo,2021
R209,3,1002.82,FALSE,FALSE,-,R&R and GA,Khoo,2021
R210,3,1038.78,FALSE,FALSE,-,R&R and GA,Khoo,2021
R211,3,770.19,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC101,14,1708.05,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC102,13,1477.54,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC103,11,1261.67,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC104,10,1135.52,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC105,14,1540.18,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC106,12,1379.08,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC107,11,1232.26,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC108,10,1147.2,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC201,5,1321.93,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC202,4,1214.17,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC203,4,947.95,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC204,3,798.46,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC205,5,1247.85,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC206,4,1087.93,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC207,4,996.94,FALSE,FALSE,-,R&R and GA,Khoo,2021
RC208,3,829,FALSE,FALSE,-,R&R and GA,Khoo,2021
