Instance,NV,TD,Provided_Sol,Round,Time,Alg,Auther,Year
C101,10,828.94,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C102,10,828.94,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C103,10,828.06,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C104,10,824.78,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C105,10,828.94,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C106,10,828.94,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C107,10,828.94,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C108,10,828.94,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C109,10,828.94,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C201,3,591.56,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C202,3,591.56,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C203,3,591.17,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C204,3,590.6,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C205,3,588.88,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C206,3,588.49,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C207,3,588.29,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
C208,3,588.32,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R101,19,1650.8,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R102,17,1486.12,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R103,14,1213.62,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R104,10,982.01,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R105,14,1377.11,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R106,12,1252.03,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R107,10,1159.85,TRUE,FALSE,-,Local search,"Rochat, Taillard",1995
R108,9,980.05,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R109,11,1235.68,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R110,10,1080.36,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R111,10,1129.88,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R112,10,953.63,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R201,4,1281.58,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R202,4,1088.07,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R203,3,948.74,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R204,2,869.29,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R205,3,1063.24,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R206,3,912.97,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R207,3,814.78,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R208,2,738.6,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R209,3,944.64,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R210,3,967.5,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
R211,2,949.5,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC101,15,1623.58,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC102,13,1477.54,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC103,11,1262.02,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC104,10,1135.83,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC105,13,1733.56,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC106,12,1384.92,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC107,11,1230.95,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC108,10,1170.7,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC201,4,1438.89,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC202,4,1165.57,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC203,3,1079.57,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC204,3,806.75,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC205,4,1333.71,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC206,3,1212.64,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC207,3,1085.61,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
RC208,3,833.97,FALSE,FALSE,-,Local search,"Rochat, Taillard",1995
