ins,Num_Run,i,date,alpha,iter,time,num_vehi,DiffRoute,obj,BestVehi,BestKnown,BestDiffRoute,gap
C101,1.0,1,2023-06-21,0.99,18713,59.9822785,5,2,1155.4,5,850.6,2,35.83
C102,1.0,1,2023-06-21,0.99,20000,54.8443754,5,3,1039.2,Inf,Inf,Inf,NaN
C103,1.0,1,2023-06-21,0.99,14008,37.8131301,9,6,83.8,Inf,Inf,Inf,NaN
C104,1.0,1,2023-06-21,0.99,17649,45.028647,9,6,42.8,Inf,Inf,Inf,NaN
C105,1.0,1,2023-06-21,0.99,13822,41.2651112,5,2,679.2,Inf,Inf,Inf,NaN
C106,1.0,1,2023-06-21,0.99,17861,52.7382731,7,2,370.8,Inf,Inf,Inf,NaN
C107,1.0,1,2023-06-21,0.99,17163,47.1434448,5,2,961.4,Inf,Inf,Inf,NaN
C108,1.0,1,2023-06-21,0.99,15915,42.9684452,8,7,227.3,Inf,Inf,Inf,NaN
C109,1.0,1,2023-06-21,0.99,17552,47.067096,9,7,15.2,Inf,Inf,Inf,NaN
C201,1.0,1,2023-06-21,0.99,20000,56.8771918,3,28,2.4,3,0.0,21,Inf
C202,1.0,1,2023-06-21,0.99,14856,38.9743614,7,14,75.8,3,4.0,3,1795.0
C203,1.0,1,2023-06-21,0.99,15541,40.9013614,3,22,10.6,Inf,Inf,Inf,NaN
C204,1.0,1,2023-06-21,0.99,14388,33.5029534,2,10,2.0,Inf,Inf,Inf,NaN
C205,1.0,1,2023-06-21,0.99,20000,51.6342917,4,23,0.0,3,0.0,10,-100.0
C206,1.0,1,2023-06-21,0.99,20000,49.7430278,5,17,43.4,3,0.0,14,Inf
C207,1.0,1,2023-06-21,0.99,20000,50.5642729,6,16,22.9,3,2.0,6,1045.0
C208,1.0,1,2023-06-21,0.99,17320,44.300632,6,23,35.2,Inf,Inf,Inf,NaN
R101,1.0,1,2023-06-21,0.99,18527,76.0430293,13,2,1043.0,12,833.1,2,25.2
R102,1.0,1,2023-06-21,0.99,16340,56.7531416,13,3,370.2,Inf,Inf,Inf,NaN
R103,1.0,1,2023-06-21,0.99,14909,51.0437817,14,5,281.0,Inf,Inf,Inf,NaN
R104,1.0,1,2023-06-21,0.99,10392,34.3953239,13,4,84.4,Inf,Inf,Inf,NaN
R105,1.0,1,2023-06-21,0.99,14353,51.2524061,13,3,262.4,9,243.0,1,7.98
R106,1.0,1,2023-06-21,0.99,18801,65.4369492,14,5,180.7,Inf,Inf,Inf,NaN
R107,1.0,1,2023-06-21,0.99,17203,55.1605655,13,5,80.0,Inf,Inf,Inf,NaN
R108,1.0,1,2023-06-21,0.99,10546,34.2852455,13,3,90.2,Inf,Inf,Inf,NaN
R109,1.0,1,2023-06-21,0.99,9265,32.1620488,14,3,172.8,Inf,Inf,Inf,NaN
R110,1.0,1,2023-06-21,0.99,13086,46.9329656,15,4,79.8,Inf,Inf,Inf,NaN
R111,1.0,1,2023-06-21,0.99,8668,29.4826655,14,4,166.8,Inf,Inf,Inf,NaN
R112,1.0,1,2023-06-21,0.99,10925,45.0276274,19,2,236.2,Inf,Inf,Inf,NaN
R201,1.0,1,2023-06-21,0.99,15963,42.439882,4,20,15.6,6,711.3,6,-97.81
