i,vehi,obj,vehiBest,objBest,loFunc,note
1,16,1980.6999999999998,16,1851.3000000000002,swap,acceptBad
2,16,2029.7999999999997,16,1851.3000000000002,2opt,acceptBad
3,17,3207.2,16,1851.3000000000002,2opt,acceptBad
4,17,3267.4000000000015,16,1851.3000000000002,swap,acceptBad
5,18,5217.799999999999,16,1851.3000000000002,2opt,acceptBad
6,18,5217.799999999999,16,1851.3000000000002,2opt,improve
7,18,4852.3,16,1851.3000000000002,move,improve
8,19,6385.799999999998,16,1851.3000000000002,2opt,acceptBad
9,19,5201.199999999998,16,1851.3000000000002,move,improve
10,19,3951.4000000000015,16,1851.3000000000002,move,improve
11,19,3971.6000000000017,16,1851.3000000000002,swap,acceptBad
12,19,3728.4000000000015,16,1851.3000000000002,move,improve
13,20,5362.900000000003,16,1851.3000000000002,2opt,acceptBad
14,20,5512.400000000001,16,1851.3000000000002,swap,acceptBad
15,20,5600.800000000002,16,1851.3000000000002,swap,acceptBad
16,20,4863.4000000000015,16,1851.3000000000002,move,improve
17,20,5294.3,16,1851.3000000000002,swap,acceptBad
18,20,5000.799999999998,16,1851.3000000000002,2opt,improve
19,20,5038.399999999998,16,1851.3000000000002,swap,acceptBad
20,20,4138.800000000005,16,1851.3000000000002,move,improve
21,20,4138.800000000005,16,1851.3000000000002,2opt,improve
22,20,4138.800000000005,16,1851.3000000000002,move,improve
23,20,4400.600000000004,16,1851.3000000000002,swap,acceptBad
24,20,4397.000000000004,16,1851.3000000000002,swap,improve
25,20,4397.000000000002,16,1851.3000000000002,2opt,improve
26,20,3964.700000000004,16,1851.3000000000002,2opt,improve
27,20,3813.100000000005,16,1851.3000000000002,2opt,improve
28,20,3820.2000000000044,16,1851.3000000000002,2opt,acceptBad
29,20,3755.1000000000035,16,1851.3000000000002,2opt,improve
30,20,3393.500000000002,16,1851.3000000000002,move,improve
31,20,3759.6000000000026,16,1851.3000000000002,swap,acceptBad
32,20,4818.900000000008,16,1851.3000000000002,swap,acceptBad
33,20,4564.000000000001,16,1851.3000000000002,2opt,improve
34,20,3514.700000000002,16,1851.3000000000002,move,improve
35,20,3899.000000000002,16,1851.3000000000002,2opt,acceptBad
36,20,4165.200000000001,16,1851.3000000000002,swap,acceptBad
37,20,4232.300000000002,16,1851.3000000000002,2opt,acceptBad
38,20,3574.4,16,1851.3000000000002,move,improve
39,20,3725.3999999999987,16,1851.3000000000002,2opt,acceptBad
40,20,3818.2999999999997,16,1851.3000000000002,2opt,acceptBad
41,20,3818.2999999999997,16,1851.3000000000002,move,improve
42,20,3818.2999999999997,16,1851.3000000000002,move,improve
43,20,4540.500000000005,16,1851.3000000000002,2opt,acceptBad
44,20,3683.699999999999,16,1851.3000000000002,move,improve
45,20,3271.2999999999975,16,1851.3000000000002,swap,improve
46,20,3271.2999999999975,16,1851.3000000000002,2opt,improve
47,20,3585.3999999999983,16,1851.3000000000002,2opt,acceptBad
48,20,3505.7999999999993,16,1851.3000000000002,move,improve
49,20,3478.7999999999997,16,1851.3000000000002,move,improve
50,20,3734.2999999999997,16,1851.3000000000002,2opt,acceptBad
51,20,3765.5000000000005,16,1851.3000000000002,2opt,acceptBad
52,20,3392.199999999999,16,1851.3000000000002,swap,improve
53,20,3380.2999999999993,16,1851.3000000000002,move,improve
54,20,3464.4,16,1851.3000000000002,swap,acceptBad
55,20,3464.4,16,1851.3000000000002,move,improve
56,20,3479.6,16,1851.3000000000002,swap,acceptBad
57,21,6286.799999999997,16,1851.3000000000002,2opt,acceptBad
58,21,6425.800000000003,16,1851.3000000000002,2opt,acceptBad
59,21,4438.200000000001,16,1851.3000000000002,move,improve
60,21,4199.399999999997,16,1851.3000000000002,move,improve
61,21,4199.399999999997,16,1851.3000000000002,move,improve
62,21,4204.199999999995,16,1851.3000000000002,swap,acceptBad
63,21,3406.3999999999965,16,1851.3000000000002,move,improve
64,21,3964.7999999999947,16,1851.3000000000002,swap,acceptBad
65,21,3486.7999999999993,16,1851.3000000000002,move,improve
66,21,2895.600000000001,16,1851.3000000000002,move,improve
67,21,3352.7999999999997,16,1851.3000000000002,swap,acceptBad
68,21,2727.6000000000004,16,1851.3000000000002,move,improve
69,21,2746.3999999999987,16,1851.3000000000002,swap,acceptBad
70,21,2787.7999999999993,16,1851.3000000000002,2opt,acceptBad
71,21,2787.7999999999993,16,1851.3000000000002,2opt,improve
72,21,2787.7999999999993,16,1851.3000000000002,2opt,improve
73,21,2638.0,16,1851.3000000000002,2opt,improve
74,21,2679.600000000001,16,1851.3000000000002,2opt,acceptBad
75,21,2607.400000000002,16,1851.3000000000002,swap,improve
76,21,2809.8,16,1851.3000000000002,swap,acceptBad
77,21,2863.8000000000006,16,1851.3000000000002,2opt,acceptBad
78,21,3096.9999999999986,16,1851.3000000000002,swap,acceptBad
79,21,3096.9999999999986,16,1851.3000000000002,move,improve
80,21,2645.6,16,1851.3000000000002,move,improve
81,21,2777.400000000001,16,1851.3000000000002,swap,acceptBad
82,21,2777.400000000001,16,1851.3000000000002,move,improve
83,21,2777.400000000001,16,1851.3000000000002,move,improve
84,21,2650.6,16,1851.3000000000002,move,improve
85,21,3315.399999999999,16,1851.3000000000002,2opt,acceptBad
86,21,3121.7999999999993,16,1851.3000000000002,2opt,improve
87,21,3478.0000000000005,16,1851.3000000000002,swap,acceptBad
88,21,3478.0000000000005,16,1851.3000000000002,2opt,improve
89,21,3367.9999999999995,16,1851.3000000000002,swap,improve
90,21,3342.4,16,1851.3000000000002,swap,improve
91,21,3333.4,16,1851.3000000000002,swap,improve
92,21,3286.6000000000004,16,1851.3000000000002,move,improve
93,21,2545.8,16,1851.3000000000002,move,improve
94,21,2651.8000000000006,16,1851.3000000000002,swap,acceptBad
95,21,3393.1999999999994,16,1851.3000000000002,2opt,acceptBad
96,21,3065.0,16,1851.3000000000002,move,improve
97,21,3020.999999999999,16,1851.3000000000002,move,improve
98,21,3135.9999999999995,16,1851.3000000000002,2opt,acceptBad
99,21,3721.0000000000005,16,1851.3000000000002,swap,acceptBad
100,21,3129.0000000000005,16,1851.3000000000002,move,improve
101,21,3224.1999999999985,16,1851.3000000000002,2opt,acceptBad
102,21,3224.2,16,1851.3000000000002,2opt,acceptBad
103,21,3512.0,16,1851.3000000000002,swap,acceptBad
104,21,3961.799999999999,16,1851.3000000000002,2opt,acceptBad
105,21,3527.9999999999995,16,1851.3000000000002,move,improve
106,21,3286.8000000000015,16,1851.3000000000002,move,improve
107,21,3358.8000000000015,16,1851.3000000000002,swap,acceptBad
108,21,3308.0000000000014,16,1851.3000000000002,2opt,improve
109,21,3308.0,16,1851.3000000000002,2opt,improve
110,22,6333.400000000004,16,1851.3000000000002,2opt,acceptBad
111,22,5090.200000000002,16,1851.3000000000002,move,improve
112,22,5145.400000000001,16,1851.3000000000002,swap,acceptBad
113,22,4369.900000000001,16,1851.3000000000002,2opt,improve
114,22,4340.400000000001,16,1851.3000000000002,move,improve
115,22,6850.399999999993,16,1851.3000000000002,2opt,acceptBad
116,22,6715.599999999995,16,1851.3000000000002,swap,improve
