i,vehi,obj,vehiBest,objBest,loFunc,note
1,3,277.8000000000004,3,277.8000000000004,move,improve
2,3,685.2000000000005,3,277.8000000000004,2opt,acceptBad
3,3,677.8000000000004,3,277.8000000000004,swap,improve
4,3,679.8000000000004,3,277.8000000000004,swap,acceptBad
5,3,180.00000000000023,3,180.00000000000023,move,newBest
6,3,281.0000000000002,3,180.00000000000023,swap,acceptBad
7,4,1870.7000000000003,3,180.00000000000023,2opt,acceptBad
8,4,1855.6000000000004,3,180.00000000000023,move,improve
9,4,1855.6000000000004,3,180.00000000000023,swap,improve
10,5,2732.4000000000005,3,180.00000000000023,2opt,acceptBad
11,5,2342.0000000000005,3,180.00000000000023,move,improve
12,5,5208.6,3,180.00000000000023,swap,acceptBad
13,6,7534.500000000002,3,180.00000000000023,2opt,acceptBad
14,6,7510.800000000001,3,180.00000000000023,swap,improve
15,6,5017.6,3,180.00000000000023,move,improve
16,6,4253.5,3,180.00000000000023,move,improve
17,6,4253.5,3,180.00000000000023,2opt,improve
18,6,5640.800000000001,3,180.00000000000023,swap,acceptBad
19,6,5617.800000000002,3,180.00000000000023,swap,improve
20,6,4063.500000000002,3,180.00000000000023,move,improve
21,6,4063.500000000001,3,180.00000000000023,2opt,improve
22,6,1874.6999999999998,3,180.00000000000023,move,improve
23,6,1665.1999999999996,3,180.00000000000023,2opt,improve
24,6,825.8,3,180.00000000000023,move,improve
25,6,616.4,3,180.00000000000023,move,improve
26,6,620.2999999999998,3,180.00000000000023,swap,acceptBad
27,6,620.2999999999998,3,180.00000000000023,move,improve
28,6,772.5000000000003,3,180.00000000000023,swap,acceptBad
29,6,772.5000000000003,3,180.00000000000023,2opt,improve
30,6,768.3000000000004,3,180.00000000000023,move,improve
31,6,772.5000000000003,3,180.00000000000023,swap,acceptBad
32,7,5135.8,3,180.00000000000023,2opt,acceptBad
33,7,5236.6,3,180.00000000000023,swap,acceptBad
34,8,9168.9,3,180.00000000000023,2opt,acceptBad
35,8,9201.0,3,180.00000000000023,swap,acceptBad
36,8,9338.0,3,180.00000000000023,swap,acceptBad
37,8,9338.0,3,180.00000000000023,2opt,improve
38,8,9338.0,3,180.00000000000023,swap,improve
39,8,9338.0,3,180.00000000000023,move,improve
40,8,6408.900000000001,3,180.00000000000023,move,improve
41,8,5229.299999999999,3,180.00000000000023,swap,improve
42,8,5034.199999999998,3,180.00000000000023,move,improve
43,8,3968.8999999999987,3,180.00000000000023,swap,improve
44,8,3885.0999999999995,3,180.00000000000023,2opt,improve
45,8,5100.299999999999,3,180.00000000000023,2opt,acceptBad
46,8,5100.300000000001,3,180.00000000000023,2opt,acceptBad
47,8,3627.5000000000005,3,180.00000000000023,move,improve
48,9,8038.200000000001,3,180.00000000000023,2opt,acceptBad
49,9,8040.6,3,180.00000000000023,swap,acceptBad
50,9,8170.2,3,180.00000000000023,2opt,acceptBad
51,9,4873.600000000001,3,180.00000000000023,move,improve
52,9,4003.2000000000003,3,180.00000000000023,move,improve
53,9,7000.199999999998,3,180.00000000000023,swap,acceptBad
54,9,7021.799999999998,3,180.00000000000023,swap,acceptBad
55,9,9839.199999999999,3,180.00000000000023,swap,acceptBad
56,9,8821.999999999998,3,180.00000000000023,move,improve
57,9,7010.8,3,180.00000000000023,move,improve
58,9,5692.600000000001,3,180.00000000000023,move,improve
59,9,5708.4000000000015,3,180.00000000000023,swap,acceptBad
60,9,7874.4,3,180.00000000000023,2opt,acceptBad
61,9,6326.400000000001,3,180.00000000000023,move,improve
62,9,5473.6,3,180.00000000000023,move,improve
63,9,8680.400000000001,3,180.00000000000023,swap,acceptBad
64,9,10487.600000000002,3,180.00000000000023,2opt,acceptBad
65,8,8694.8,3,180.00000000000023,2opt,improve
66,8,7033.100000000001,3,180.00000000000023,move,improve
67,8,7306.9000000000015,3,180.00000000000023,2opt,acceptBad
68,8,7550.9000000000015,3,180.00000000000023,swap,acceptBad
69,7,5994.6,3,180.00000000000023,2opt,improve
70,7,5952.200000000001,3,180.00000000000023,move,improve
71,7,7803.2,3,180.00000000000023,2opt,acceptBad
72,7,6675.2,3,180.00000000000023,move,improve
73,7,6675.2,3,180.00000000000023,move,improve
74,7,6768.800000000002,3,180.00000000000023,swap,acceptBad
75,8,8438.000000000004,3,180.00000000000023,2opt,acceptBad
76,8,8632.4,3,180.00000000000023,2opt,acceptBad
77,8,7829.4000000000015,3,180.00000000000023,swap,improve
78,8,6574.099999999999,3,180.00000000000023,move,improve
79,8,6574.099999999999,3,180.00000000000023,2opt,improve
80,8,6465.700000000001,3,180.00000000000023,2opt,improve
81,8,7231.100000000001,3,180.00000000000023,2opt,acceptBad
82,8,7229.900000000001,3,180.00000000000023,2opt,improve
83,8,7545.100000000001,3,180.00000000000023,2opt,acceptBad
84,8,6904.6,3,180.00000000000023,2opt,improve
85,8,5606.6,3,180.00000000000023,move,improve
86,8,5052.700000000003,3,180.00000000000023,move,improve
87,8,5052.700000000003,3,180.00000000000023,move,improve
88,8,4484.099999999999,3,180.00000000000023,swap,improve
89,8,4480.3,3,180.00000000000023,2opt,improve
90,8,6522.1,3,180.00000000000023,2opt,acceptBad
91,8,5122.8,3,180.00000000000023,2opt,improve
92,8,5122.8,3,180.00000000000023,move,improve
93,8,4427.7,3,180.00000000000023,move,improve
94,8,4184.799999999999,3,180.00000000000023,move,improve
95,8,4238.000000000001,3,180.00000000000023,swap,acceptBad
96,8,4238.000000000001,3,180.00000000000023,move,improve
97,8,5632.9000000000015,3,180.00000000000023,swap,acceptBad
98,8,5629.400000000001,3,180.00000000000023,swap,improve
99,8,4311.3,3,180.00000000000023,move,improve
100,8,5429.2,3,180.00000000000023,2opt,acceptBad
101,8,5429.2,3,180.00000000000023,move,improve
102,8,7710.200000000002,3,180.00000000000023,swap,acceptBad
103,8,7710.200000000002,3,180.00000000000023,2opt,improve
104,8,7710.200000000002,3,180.00000000000023,move,improve
105,8,7592.6,3,180.00000000000023,2opt,improve
106,8,7592.6,3,180.00000000000023,2opt,improve
107,8,7084.1,3,180.00000000000023,2opt,improve
108,8,6010.600000000001,3,180.00000000000023,move,improve
109,8,6019.6,3,180.00000000000023,swap,acceptBad
110,8,6019.6,3,180.00000000000023,move,improve
111,8,5562.200000000001,3,180.00000000000023,move,improve
112,8,6038.900000000001,3,180.00000000000023,swap,acceptBad
113,8,6038.900000000001,3,180.00000000000023,swap,improve
114,8,6038.9,3,180.00000000000023,2opt,improve
115,8,4995.200000000001,3,180.00000000000023,move,improve
116,8,4971.800000000001,3,180.00000000000023,2opt,improve
117,8,4971.800000000001,3,180.00000000000023,2opt,improve
118,9,7222.6,3,180.00000000000023,2opt,acceptBad
119,9,9830.4,3,180.00000000000023,2opt,acceptBad
120,9,9001.999999999998,3,180.00000000000023,move,improve
121,9,9025.6,3,180.00000000000023,swap,acceptBad
122,9,9746.199999999999,3,180.00000000000023,swap,acceptBad
123,9,9159.6,3,180.00000000000023,move,improve
124,9,8157.2,3,180.00000000000023,move,improve
125,9,7680.8,3,180.00000000000023,move,improve
126,9,7670.8,3,180.00000000000023,swap,improve
127,9,6841.200000000001,3,180.00000000000023,2opt,improve
128,9,9930.800000000003,3,180.00000000000023,2opt,acceptBad
129,9,9937.6,3,180.00000000000023,2opt,acceptBad
130,9,11827.2,3,180.00000000000023,2opt,acceptBad
131,9,11900.199999999999,3,180.00000000000023,swap,acceptBad
132,9,11900.199999999999,3,180.00000000000023,2opt,improve
133,9,9306.399999999998,3,180.00000000000023,move,improve
134,9,11697.600000000004,3,180.00000000000023,2opt,acceptBad
135,9,12081.800000000003,3,180.00000000000023,swap,acceptBad
136,9,12105.800000000003,3,180.00000000000023,swap,acceptBad
137,9,11309.600000000002,3,180.00000000000023,move,improve
138,9,11309.600000000002,3,180.00000000000023,2opt,improve
139,9,8593.8,3,180.00000000000023,swap,improve
140,9,8612.0,3,180.00000000000023,2opt,acceptBad
141,9,9580.400000000001,3,180.00000000000023,2opt,acceptBad
142,8,6158.299999999999,3,180.00000000000023,move,improve
143,8,6158.299999999999,3,180.00000000000023,move,improve
144,8,5695.4,3,180.00000000000023,move,improve
145,8,5695.4,3,180.00000000000023,2opt,improve
146,8,5695.4,3,180.00000000000023,move,improve
147,8,5695.4,3,180.00000000000023,2opt,improve
148,8,5453.399999999999,3,180.00000000000023,move,improve
149,8,3170.8999999999996,3,180.00000000000023,move,improve
150,8,3170.8999999999996,3,180.00000000000023,move,improve
151,8,3170.8999999999996,3,180.00000000000023,move,improve
152,8,3170.8999999999996,3,180.00000000000023,2opt,improve
153,8,4505.999999999999,3,180.00000000000023,swap,acceptBad
154,8,4505.999999999999,3,180.00000000000023,move,improve
155,8,4326.9,3,180.00000000000023,swap,improve
156,8,4156.099999999999,3,180.00000000000023,move,improve
157,8,3185.5,3,180.00000000000023,2opt,improve
158,8,3185.5,3,180.00000000000023,2opt,improve
159,8,2698.5,3,180.00000000000023,move,improve
160,8,2698.5,3,180.00000000000023,swap,improve
161,8,2615.4000000000005,3,180.00000000000023,move,improve
162,7,1708.2000000000003,3,180.00000000000023,move,improve
163,7,1659.6,3,180.00000000000023,swap,improve
164,7,1659.6,3,180.00000000000023,move,improve
165,7,1659.6,3,180.00000000000023,swap,improve
166,7,2635.6000000000004,3,180.00000000000023,swap,acceptBad
167,7,2635.6000000000004,3,180.00000000000023,move,improve
