i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-06-20,21.5,21.5,30.433053827028285,0.99,2,0.09999999999990905,18876,15.5930824
2,2023-06-21,14.53,14.53,159279.44620349372,0.99,2,347.9000000000001,3853,33.6440079
3,2023-06-22,20.48,20.48,105.82332523758502,0.99,2,0.0,12504,11.2092441
4,2023-06-22,21.2,21.2,227.14679565607116,0.99,3,2.0,13858,13.0598501
5,2023-06-22,21.16,21.16,33.650660122528386,0.99,2,0.0,16245,13.7335084
6,2023-06-22,21.29,21.29,61.50096245838182,0.99,2,0.40000000000009095,18673,16.2919166
7,2023-06-22,21.43,21.43,96.67143279060477,0.99,3,0.8000000000001819,15939,13.974334
8,2023-06-22,21.57,21.57,398.7821561264698,0.99,3,10.0,12484,11.6617138
9,2023-06-22,22.10,22.10,118.19368237002244,0.99,3,1.6000000000003638,16380,14.188809
10,2023-06-22,22.24,22.25,49.79904322498117,0.99,2,0.0,14658,12.5738998
11,2023-06-22,22.38,22.38,14.036392960642775,0.99,2,0.0,20000,16.3877571
12,2023-06-22,22.51,22.52,18.412182206875347,0.99,2,9.094947017729282e-13,18347,15.908584
