i,vehi,obj,vehiBest,objBest,loFunc,note
1,3,923.6000000000001,2,254.80000000000007,2opt,acceptBad
2,3,923.6000000000001,2,254.80000000000007,2opt,improve
3,3,923.6000000000001,2,254.80000000000007,2opt,improve
4,3,923.6000000000001,2,254.80000000000007,swap,improve
5,3,955.3999999999999,2,254.80000000000007,swap,acceptBad
6,3,790.0,2,254.80000000000007,move,improve
7,3,962.6000000000001,2,254.80000000000007,swap,acceptBad
8,3,645.5999999999999,2,254.80000000000007,swap,improve
9,3,479.9999999999998,2,254.80000000000007,move,improve
10,3,379.1999999999998,2,254.80000000000007,move,improve
11,3,233.99999999999977,3,233.99999999999977,move,newBest
12,3,563.0000000000002,3,233.99999999999977,2opt,acceptBad
13,3,477.2000000000003,3,233.99999999999977,move,improve
14,3,567.2000000000003,3,233.99999999999977,swap,acceptBad
15,4,615.6000000000003,3,233.99999999999977,2opt,acceptBad
16,4,330.40000000000043,3,233.99999999999977,2opt,improve
17,4,924.1000000000004,3,233.99999999999977,2opt,acceptBad
18,4,1009.0000000000006,3,233.99999999999977,swap,acceptBad
19,4,1009.0000000000006,3,233.99999999999977,swap,improve
20,4,1008.4000000000004,3,233.99999999999977,swap,improve
21,4,1054.3000000000004,3,233.99999999999977,swap,acceptBad
22,4,1054.3000000000004,3,233.99999999999977,2opt,improve
23,4,864.4000000000008,3,233.99999999999977,move,improve
24,4,868.0000000000006,3,233.99999999999977,move,acceptBad
25,4,868.0000000000006,3,233.99999999999977,2opt,improve
26,4,756.4000000000002,3,233.99999999999977,2opt,improve
27,4,842.2000000000003,3,233.99999999999977,2opt,acceptBad
28,4,842.2000000000003,3,233.99999999999977,move,improve
29,4,842.2000000000003,3,233.99999999999977,move,improve
30,4,941.6,3,233.99999999999977,2opt,acceptBad
31,4,1095.2000000000003,3,233.99999999999977,swap,acceptBad
32,4,1095.2000000000003,3,233.99999999999977,swap,improve
33,4,970.4000000000001,3,233.99999999999977,move,improve
34,4,798.2000000000002,3,233.99999999999977,move,improve
35,4,437.6,3,233.99999999999977,move,improve
36,4,2117.3,3,233.99999999999977,swap,acceptBad
37,4,1934.9,3,233.99999999999977,move,improve
38,4,874.7000000000003,3,233.99999999999977,move,improve
39,4,597.2000000000005,3,233.99999999999977,move,improve
40,4,585.6000000000005,3,233.99999999999977,swap,improve
41,4,601.3000000000004,3,233.99999999999977,swap,acceptBad
42,4,601.3000000000004,3,233.99999999999977,move,improve
43,5,2912.6000000000004,3,233.99999999999977,2opt,acceptBad
44,5,2800.6000000000004,3,233.99999999999977,swap,improve
45,5,2792.4000000000005,3,233.99999999999977,swap,improve
46,5,2820.8,3,233.99999999999977,swap,acceptBad
47,5,2752.8,3,233.99999999999977,move,improve
48,5,1396.8000000000004,3,233.99999999999977,swap,improve
49,5,1402.0000000000002,3,233.99999999999977,swap,acceptBad
50,5,1298.6000000000004,3,233.99999999999977,move,improve
51,5,1338.8000000000002,3,233.99999999999977,swap,acceptBad
52,5,3498.0,3,233.99999999999977,2opt,acceptBad
53,5,3476.8,3,233.99999999999977,swap,improve
54,5,3476.8,3,233.99999999999977,2opt,improve
55,5,3442.6,3,233.99999999999977,2opt,improve
56,6,4150.5,3,233.99999999999977,2opt,acceptBad
57,6,3588.7000000000007,3,233.99999999999977,2opt,improve
58,6,3588.7,3,233.99999999999977,2opt,improve
59,6,3488.7,3,233.99999999999977,move,improve
60,6,3488.7,3,233.99999999999977,2opt,improve
61,6,5415.599999999999,3,233.99999999999977,2opt,acceptBad
62,6,5234.2,3,233.99999999999977,move,improve
63,6,4851.099999999999,3,233.99999999999977,move,improve
64,6,4582.700000000001,3,233.99999999999977,move,improve
65,6,4456.900000000001,3,233.99999999999977,move,improve
66,7,6267.4,3,233.99999999999977,2opt,acceptBad
67,7,6691.6,3,233.99999999999977,2opt,acceptBad
68,6,5155.699999999999,3,233.99999999999977,2opt,improve
69,6,5155.7,3,233.99999999999977,2opt,acceptBad
70,6,5155.7,3,233.99999999999977,swap,improve
