i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-06-20,21.15,21.15,31.05096809206026,0.99,3,0.20000000000027285,18954,16.2513618
2,2023-06-21,15.13,15.14,56569.817879405666,0.99,4,145.0000000000001,4022,28.6611351
3,2023-06-22,20.59,20.59,78.27755319143111,0.99,4,1.2999999999999545,17010,16.2392383
4,2023-06-22,21.12,21.13,283.35594801426583,0.99,3,1.6000000000001364,13335,12.6825441
5,2023-06-22,21.26,21.26,65.32369535089032,0.99,3,1.6000000000001364,18788,16.3869465
6,2023-06-22,21.39,21.40,35.74229381675019,0.99,4,6.900000000000205,20000,18.556418
7,2023-06-22,21.53,21.54,36.468007159218665,0.99,4,3.6000000000000227,20000,18.2031486
8,2023-06-22,22.7,22.7,48.31996184215594,0.99,3,0.8000000000001819,17879,15.9604372
9,2023-06-22,22.21,22.21,113.5363796918508,0.99,3,0.20000000000004547,16193,14.3850375
10,2023-06-22,22.34,22.35,197.33282761010278,0.99,4,9.20000000000016,13192,12.506632
11,2023-06-22,22.48,22.48,32.981011986090046,0.99,4,4.7000000000000455,18786,17.0554571
12,2023-06-22,23.2,23.2,30.128723288758003,0.99,3,0.599999999999909,20000,17.326937
