i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-06-21,12.23,12.24,67.32326360316817,0.99,13,370.20000000000033,16340,56.7531416
2,2023-06-23,14.44,14.45,59.077579148681274,0.99,14,416.00000000000006,18422,65.6120565
3,2023-06-23,15.28,15.29,148.93089099577395,0.99,14,404.7000000000001,14501,52.4666358
4,2023-06-23,16.11,16.12,153.48968822576745,0.99,15,496.0000000000001,16066,60.3076657
5,2023-06-23,16.54,16.55,32.32468984756694,0.99,14,401.6999999999996,20000,73.0477314
6,2023-06-23,17.39,17.40,59.07757914868134,0.99,15,475.3999999999995,18783,70.3900617
7,2023-06-23,18.22,18.23,24.152106212025878,0.99,14,425.29999999999995,20000,73.6126417
8,2023-06-23,19.8,19.9,51.841817690853276,0.99,14,412.99999999999966,18524,69.2774689
9,2023-06-23,19.52,19.53,38.34741190305132,0.99,14,384.3999999999995,20000,73.8344856
10,2023-06-23,20.36,20.37,126.8083644944355,0.99,15,437.5999999999997,16818,65.1318974
11,2023-06-23,21.21,21.22,34.33390482861788,0.99,12,325.09999999999945,20000,73.0238524
