i,vehi,obj,vehiBest,objBest,loFunc,note
1,4,1385.8000000000002,3,457.60000000000025,2opt,acceptBad
2,5,2859.2,3,457.60000000000025,2opt,acceptBad
3,5,2857.4,3,457.60000000000025,move,improve
4,5,3029.2,3,457.60000000000025,swap,acceptBad
5,5,3029.2,3,457.60000000000025,move,improve
6,5,3067.8,3,457.60000000000025,2opt,acceptBad
7,5,3144.3,3,457.60000000000025,swap,acceptBad
8,5,3179.8,3,457.60000000000025,2opt,acceptBad
9,5,3218.3,3,457.60000000000025,swap,acceptBad
10,5,3068.0000000000005,3,457.60000000000025,move,improve
11,5,2600.5,3,457.60000000000025,swap,improve
12,5,2604.6000000000004,3,457.60000000000025,2opt,acceptBad
13,5,2596.2999999999997,3,457.60000000000025,2opt,improve
14,5,2533.7,3,457.60000000000025,swap,improve
15,5,2533.7,3,457.60000000000025,2opt,improve
16,5,2045.1000000000001,3,457.60000000000025,move,improve
17,5,2184.1,3,457.60000000000025,swap,acceptBad
18,5,2146.6,3,457.60000000000025,move,improve
19,5,2146.6,3,457.60000000000025,move,improve
20,5,2146.6,3,457.60000000000025,move,improve
21,5,2251.8,3,457.60000000000025,2opt,acceptBad
22,5,2125.3,3,457.60000000000025,swap,improve
23,6,4238.9,3,457.60000000000025,2opt,acceptBad
24,6,4238.9,3,457.60000000000025,move,improve
25,7,7054.000000000001,3,457.60000000000025,2opt,acceptBad
26,7,7058.700000000001,3,457.60000000000025,swap,acceptBad
27,7,7064.100000000001,3,457.60000000000025,swap,acceptBad
28,7,6145.9,3,457.60000000000025,swap,improve
29,7,6145.8,3,457.60000000000025,move,improve
30,7,4881.4,3,457.60000000000025,swap,improve
31,7,4866.0,3,457.60000000000025,move,improve
32,7,4758.800000000001,3,457.60000000000025,move,improve
33,7,4908.4,3,457.60000000000025,2opt,acceptBad
34,7,4915.1,3,457.60000000000025,2opt,acceptBad
35,7,4913.7,3,457.60000000000025,move,improve
36,7,4936.000000000001,3,457.60000000000025,2opt,acceptBad
37,7,4936.000000000001,3,457.60000000000025,move,improve
38,7,5500.4,3,457.60000000000025,swap,acceptBad
39,7,5497.3,3,457.60000000000025,2opt,improve
40,7,5493.9,3,457.60000000000025,move,improve
41,7,5493.9,3,457.60000000000025,move,improve
42,7,5375.200000000001,3,457.60000000000025,move,improve
43,7,4055.3,3,457.60000000000025,move,improve
44,7,4078.2,3,457.60000000000025,swap,acceptBad
45,7,4078.2,3,457.60000000000025,move,improve
46,8,6177.799999999999,3,457.60000000000025,2opt,acceptBad
47,8,6178.3,3,457.60000000000025,2opt,acceptBad
48,8,6139.900000000001,3,457.60000000000025,swap,improve
49,8,6525.000000000002,3,457.60000000000025,swap,acceptBad
50,8,6524.200000000003,3,457.60000000000025,swap,improve
51,8,6539.600000000002,3,457.60000000000025,swap,acceptBad
52,8,6200.200000000001,3,457.60000000000025,2opt,improve
53,8,6202.9,3,457.60000000000025,2opt,acceptBad
54,8,6202.9,3,457.60000000000025,move,improve
55,8,6202.9,3,457.60000000000025,move,improve
56,8,6221.499999999999,3,457.60000000000025,swap,acceptBad
57,8,6174.4,3,457.60000000000025,2opt,improve
58,8,8294.199999999999,3,457.60000000000025,2opt,acceptBad
59,8,9697.8,3,457.60000000000025,swap,acceptBad
60,8,9635.000000000002,3,457.60000000000025,move,improve
61,8,9659.100000000002,3,457.60000000000025,2opt,acceptBad
62,8,9670.500000000004,3,457.60000000000025,swap,acceptBad
63,8,9625.9,3,457.60000000000025,2opt,improve
64,8,9386.1,3,457.60000000000025,2opt,improve
65,8,9412.100000000002,3,457.60000000000025,2opt,acceptBad
66,8,7144.7,3,457.60000000000025,move,improve
67,8,7144.7,3,457.60000000000025,2opt,improve
68,8,7130.9,3,457.60000000000025,move,improve
69,8,7124.599999999999,3,457.60000000000025,move,improve
70,8,7170.5,3,457.60000000000025,2opt,acceptBad
71,8,7137.9,3,457.60000000000025,2opt,improve
72,8,7090.9,3,457.60000000000025,move,improve
73,7,4206.700000000001,3,457.60000000000025,move,improve
74,7,4779.799999999999,3,457.60000000000025,swap,acceptBad
75,7,3499.5,3,457.60000000000025,move,improve
76,7,3499.5,3,457.60000000000025,2opt,improve
77,7,3489.0,3,457.60000000000025,swap,improve
78,7,3487.3999999999996,3,457.60000000000025,move,improve
79,7,3449.7,3,457.60000000000025,move,improve
80,7,3499.7000000000007,3,457.60000000000025,2opt,acceptBad
81,7,3015.1999999999994,3,457.60000000000025,2opt,improve
82,7,3006.7,3,457.60000000000025,2opt,improve
83,7,3017.3999999999996,3,457.60000000000025,swap,acceptBad
84,7,3017.3999999999996,3,457.60000000000025,move,improve
85,7,4748.6,3,457.60000000000025,2opt,acceptBad
86,7,3117.5999999999995,3,457.60000000000025,move,improve
87,7,3097.1999999999994,3,457.60000000000025,swap,improve
88,7,3095.8999999999996,3,457.60000000000025,2opt,improve
89,7,2953.8999999999996,3,457.60000000000025,move,improve
90,7,2958.7,3,457.60000000000025,swap,acceptBad
91,7,2961.2999999999997,3,457.60000000000025,swap,acceptBad
92,7,2965.6,3,457.60000000000025,swap,acceptBad
93,7,5800.299999999999,3,457.60000000000025,move,acceptBad
94,7,5800.1,3,457.60000000000025,swap,improve
95,7,5785.8,3,457.60000000000025,swap,improve
96,7,5787.6,3,457.60000000000025,swap,acceptBad
97,7,5804.500000000001,3,457.60000000000025,2opt,acceptBad
98,7,5804.699999999999,3,457.60000000000025,2opt,acceptBad
99,6,1889.7000000000003,3,457.60000000000025,move,improve
100,6,1889.9,3,457.60000000000025,2opt,acceptBad
101,6,1842.9,3,457.60000000000025,move,improve
102,6,1850.6000000000004,3,457.60000000000025,2opt,acceptBad
103,6,2377.3,3,457.60000000000025,swap,acceptBad
104,6,2344.0,3,457.60000000000025,swap,improve
105,6,2345.6000000000004,3,457.60000000000025,2opt,acceptBad
