i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-08-05,17.52,17.53,49.30105279273135,0.99,2,241.59999999999974,14558,15.137475247
2,2023-08-05,18.6,18.6,106.89224771473228,0.99,2,227.90000000000026,12260,12.094616007
3,2023-08-05,18.20,18.20,176.67962938036564,0.99,2,237.50000000000037,9348,11.202707892
4,2023-08-05,18.35,18.35,72.95979484867924,0.99,3,314.9999999999986,11827,11.203987221
5,2023-08-05,18.47,18.47,117.01174554632217,0.99,3,295.5,11294,10.542727223
6,2023-08-05,18.58,18.58,66.65003096713656,0.99,2,236.30000000000027,12292,10.805445243
7,2023-08-05,19.10,19.10,199.32608849505291,0.99,2,237.50000000000034,8404,9.007073397
8,2023-08-05,19.23,19.23,227.14679565607136,0.99,2,227.90000000000026,8024,9.022594171
9,2023-08-05,19.34,19.34,106.89224771473245,0.99,3,295.5,11851,10.671225588
10,2023-08-05,19.46,19.47,9.580604512658194,0.99,2,256.59999999999945,20000,16.986746545
