i,vehi,obj,vehiBest,objBest,loFunc,note
1,6,1157.4,6,1157.4,2opt,improve
2,6,1134.8000000000002,6,1134.8000000000002,swap,newBest
3,7,1770.4,6,1134.8000000000002,2opt,acceptBad
4,7,1823.6000000000004,6,1134.8000000000002,2opt,acceptBad
5,7,1325.7000000000003,6,1134.8000000000002,move,improve
6,7,1493.3000000000002,6,1134.8000000000002,swap,acceptBad
7,7,1519.6000000000004,6,1134.8000000000002,2opt,acceptBad
8,7,1369.6,6,1134.8000000000002,move,improve
9,7,1297.8999999999996,6,1134.8000000000002,2opt,improve
10,7,1338.1,6,1134.8000000000002,swap,acceptBad
11,7,1278.1,6,1134.8000000000002,2opt,improve
12,7,1429.6000000000001,6,1134.8000000000002,2opt,acceptBad
13,7,1598.7,6,1134.8000000000002,swap,acceptBad
14,7,1632.3,6,1134.8000000000002,2opt,acceptBad
15,7,1645.6,6,1134.8000000000002,2opt,acceptBad
16,7,1418.2,6,1134.8000000000002,swap,improve
17,7,1396.7,6,1134.8000000000002,swap,improve
18,7,1704.3000000000002,6,1134.8000000000002,2opt,acceptBad
19,8,2225.1000000000004,6,1134.8000000000002,2opt,acceptBad
20,8,2223.3,6,1134.8000000000002,swap,improve
21,8,2213.7000000000003,6,1134.8000000000002,move,improve
22,8,2014.6999999999998,6,1134.8000000000002,2opt,improve
23,8,1943.0,6,1134.8000000000002,swap,improve
24,8,2022.3000000000002,6,1134.8000000000002,swap,acceptBad
25,8,1920.3,6,1134.8000000000002,move,improve
26,8,1952.5000000000005,6,1134.8000000000002,swap,acceptBad
27,8,1952.5000000000005,6,1134.8000000000002,2opt,improve
28,8,1881.6999999999998,6,1134.8000000000002,move,improve
29,8,1785.5,6,1134.8000000000002,2opt,improve
30,8,1734.5,6,1134.8000000000002,swap,improve
31,8,1881.5000000000002,6,1134.8000000000002,swap,acceptBad
32,8,1923.7000000000003,6,1134.8000000000002,swap,acceptBad
33,8,1931.3,6,1134.8000000000002,swap,acceptBad
34,8,1931.3,6,1134.8000000000002,2opt,improve
35,8,1961.9,6,1134.8000000000002,swap,acceptBad
36,8,1961.9,6,1134.8000000000002,move,improve
37,8,1802.7,6,1134.8000000000002,move,improve
38,8,1739.4,6,1134.8000000000002,move,improve
39,8,1567.2000000000003,6,1134.8000000000002,move,improve
40,8,1546.7000000000003,6,1134.8000000000002,move,improve
41,8,1546.7000000000003,6,1134.8000000000002,2opt,improve
42,8,1546.7000000000003,6,1134.8000000000002,move,improve
43,8,1590.4,6,1134.8000000000002,2opt,acceptBad
44,8,1657.3000000000002,6,1134.8000000000002,swap,acceptBad
45,8,1566.7,6,1134.8000000000002,move,improve
