i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-08-05,17.55,17.55,77.49477765951681,0.99,6,598.7,17574,20.205492036
2,2023-08-05,18.9,18.9,316.4792151641807,0.99,4,472.4000000000001,9442,12.540328363
3,2023-08-05,18.23,18.23,659.1374496676152,0.99,5,502.40000000000003,7665,11.243054049
4,2023-08-05,18.37,18.37,367.97411879822613,0.99,5,519.1,10277,10.890948561
5,2023-08-05,18.49,18.49,155.04008911693668,0.99,5,535.0,13557,14.391370016
6,2023-08-05,19.0,19.0,264.1062602674319,0.99,5,538.7,10948,11.532766738
7,2023-08-05,19.12,19.12,138.81332273007396,0.99,5,522.9,12884,15.3410065
8,2023-08-05,19.25,19.25,357.0449194958003,0.99,5,549.0,10973,11.470090004
9,2023-08-05,19.36,19.37,24.64249179882243,0.99,6,618.1000000000003,18968,20.776748537
10,2023-08-05,19.48,19.49,375.44548392840136,0.99,5,500.7,10030,10.482819632
