i,vehi,obj,vehiBest,objBest,loFunc,note
1,5,835.1000000000001,4,528.6,2opt,acceptBad
2,5,835.1000000000001,4,528.6,2opt,improve
3,6,1323.7,4,528.6,2opt,acceptBad
4,6,1230.8999999999999,4,528.6,2opt,improve
5,6,1230.6999999999998,4,528.6,move,improve
6,6,1217.8,4,528.6,swap,improve
7,6,1227.3999999999999,4,528.6,swap,acceptBad
8,6,1173.8,4,528.6,move,improve
9,7,1498.1999999999998,4,528.6,2opt,acceptBad
10,7,1439.2999999999997,4,528.6,move,improve
11,7,1661.6999999999998,4,528.6,2opt,acceptBad
12,7,1810.6999999999998,4,528.6,swap,acceptBad
13,7,1594.7000000000003,4,528.6,move,improve
14,7,1578.6,4,528.6,move,improve
15,7,1638.4,4,528.6,2opt,acceptBad
16,7,1637.1,4,528.6,move,improve
17,7,1543.8999999999996,4,528.6,move,improve
18,8,2239.3999999999996,4,528.6,2opt,acceptBad
19,8,2466.8999999999996,4,528.6,2opt,acceptBad
20,8,2041.0,4,528.6,move,improve
21,8,1927.5,4,528.6,move,improve
22,9,2718.9000000000005,4,528.6,2opt,acceptBad
23,9,2793.8,4,528.6,swap,acceptBad
24,9,2806.7000000000003,4,528.6,swap,acceptBad
25,9,2763.9,4,528.6,2opt,improve
26,9,3029.0,4,528.6,2opt,acceptBad
27,9,2630.7999999999997,4,528.6,move,improve
28,9,2365.0,4,528.6,move,improve
29,9,2183.0,4,528.6,2opt,improve
30,9,2460.5000000000005,4,528.6,swap,acceptBad
31,9,2833.5000000000005,4,528.6,2opt,acceptBad
32,9,2394.8,4,528.6,move,improve
33,9,2394.8,4,528.6,2opt,improve
34,9,2379.2000000000007,4,528.6,move,improve
35,9,2390.9,4,528.6,swap,acceptBad
36,9,2270.9,4,528.6,move,improve
37,9,2270.9,4,528.6,move,improve
38,9,2911.4000000000005,4,528.6,2opt,acceptBad
39,9,2870.6,4,528.6,move,improve
40,9,2870.6,4,528.6,2opt,improve
41,9,2870.6,4,528.6,move,improve
42,9,2749.9000000000005,4,528.6,2opt,improve
43,9,3097.0,4,528.6,2opt,acceptBad
44,9,2832.4,4,528.6,2opt,improve
45,9,2852.2,4,528.6,2opt,acceptBad
46,9,2559.9,4,528.6,move,improve
47,9,2662.8,4,528.6,swap,acceptBad
