i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-08-05,18.2,18.2,130.6899878227594,0.99,3,562.3000000000002,10037,11.229185459
2,2023-08-05,18.15,18.16,130.68998782275912,0.99,2,632.9000000000001,10988,14.441259285
3,2023-08-05,18.30,18.30,94.74767127807182,0.99,2,632.9000000000001,12143,15.93135917
4,2023-08-05,18.43,18.43,79.06823554690014,0.99,2,632.9000000000001,11445,10.944761582
5,2023-08-05,18.54,18.55,158.18803093249346,0.99,2,632.9000000000001,10062,9.740059751
6,2023-08-05,19.6,19.6,183.92709061988054,0.99,2,632.9000000000001,10932,12.619611228
7,2023-08-05,19.19,19.19,34.333904828617904,0.99,3,580.3,14691,15.216266636
8,2023-08-05,19.30,19.31,42.83008317878768,0.99,3,580.3,13173,11.887983185
9,2023-08-05,19.43,19.43,67.32326360316824,0.99,2,569.6000000000001,13248,12.566648988
10,2023-08-05,19.54,19.54,203.3732154831682,0.99,2,632.9000000000001,9433,9.371559471
