ins,Num_Run,i,date,alpha,iter,time,num_vehi,obj,DiffRoute,Dis,BestVehi,BestKnown,BestDiffRoute,BestDis,gap
C101,10.0,1,2023-08-08,0.99,5594,9.504121009,3,191.97,"(6, 10)",198.09999999999997,3,191.97,"(6, 10)",198.1,-0.0
C102,10.0,10,2023-08-08,0.99,15994,20.345159344,3,191.17,"(6, 10)",202.49999999999997,3,191.17,"(6, 10)",202.5,-0.0
C103,10.0,6,2023-08-08,0.99,14867,13.845958879,3,186.32,"(6, 10)",197.99999999999994,3,186.32,"(6, 10)",197.99999999999991,0.0
C104,10.0,5,2023-08-08,0.99,9552,10.533958475,3,181.63,"(6, 10)",191.89999999999992,3,179.51,"(6, 11)",191.89999999999998,1.18
C105,10.0,9,2023-08-08,0.99,8183,12.875235149,3,186.43,"(6, 10)",199.29999999999993,3,186.43,"(6, 10)",199.29999999999995,-0.0
C106,10.0,1,2023-08-08,0.99,7410,10.854097623,3,193.37,"(6, 10)",198.09999999999997,3,193.37,"(6, 10)",198.0999999999999,0.0
C107,10.0,5,2023-08-08,0.99,10095,11.691344531,3,184.78,"(6, 10)",194.59999999999997,3,178.57,"(6, 10)",198.0999999999999,3.48
C108,10.0,8,2023-08-08,0.99,7957,10.612749448,3,182.09,"(6, 10)",198.0999999999999,3,182.09,"(6, 10)",198.0999999999999,0.0
C109,10.0,2,2023-08-08,0.99,11303,12.084600891,3,186.06,"(6, 10)",194.99999999999997,3,186.06,"(6, 10)",194.99999999999997,0.0
C201,10.0,1,2023-08-08,0.99,15299,17.517365674,2,213.58,"(7, 18)",226.69999999999996,2,213.58,"(7, 18)",226.69999999999996,0.0
C202,10.0,2,2023-08-08,0.99,8057,7.290801501,2,198.65,"(7, 18)",220.09999999999997,2,198.65,"(7, 18)",220.1,-0.0
C203,10.0,5,2023-08-08,0.99,9590,9.741187245,2,198.65,"(7, 18)",220.09999999999997,2,198.65,"(7, 18)",220.1,-0.0
C204,10.0,9,2023-08-08,0.99,14508,12.235096323,2,198.45,"(7, 18)",219.9,2,198.45,"(7, 18)",219.9,0.0
C205,10.0,8,2023-08-08,0.99,9347,11.534492153,2,204.85,"(7, 18)",227.49999999999997,2,204.85,"(7, 18)",227.5,-0.0
C206,10.0,1,2023-08-08,0.99,9971,10.076103629,2,204.95,"(8, 17)",227.7,2,204.95,"(8, 17)",227.7,0.0
C207,10.0,4,2023-08-08,0.99,13032,12.631853344,2,206.33,"(9, 16)",227.6,2,206.33,"(9, 16)",227.6,0.0
C208,10.0,1,2023-08-08,0.99,9589,9.687034154,2,202.42,"(9, 16)",224.79999999999998,2,202.42,"(9, 16)",224.79999999999998,0.0
R101,10.0,1,2023-08-08,0.99,9496,16.531898929,8,636.06,"(2, 4)",632.6999999999999,8,636.06,"(2, 4)",632.7,-0.0
R102,10.0,5,2023-08-08,0.99,7400,11.084507573,7,546.59,"(3, 5)",587.5,7,546.59,"(3, 5)",587.5000000000001,-0.0
R103,10.0,10,2023-08-08,0.99,8080,10.202178744,5,444.94,"(2, 6)",484.2000000000001,5,434.98,"(4, 6)",468.20000000000005,2.29
R104,10.0,4,2023-08-08,0.99,8687,10.848685918,4,379.68,"(5, 7)",417.3,4,379.27,"(5, 8)",416.80000000000007,0.11
R105,10.0,4,2023-08-08,0.99,7822,12.213517145,6,510.17,"(3, 6)",544.3000000000001,6,507.39,"(3, 5)",544.1,0.55
R106,10.0,8,2023-08-08,0.99,9131,11.594250548,5,430.24,"(4, 7)",469.4,Inf,Inf,Inf,Inf,NaN
R107,10.0,8,2023-08-08,0.99,8594,12.614414234,4,389.17,"(4, 7)",429.8,4,394.34,"(3, 8)",427.8,-1.31
R108,10.0,1,2023-08-08,0.99,13697,17.587161877,4,369.77,"(5, 7)",410.09999999999997,4,369.77,"(5, 7)",410.09999999999997,0.0
R109,10.0,8,2023-08-08,0.99,7217,11.264677043,5,421.79,"(4, 6)",453.09999999999997,5,421.79,"(4, 6)",453.1000000000001,-0.0
R110,10.0,7,2023-08-08,0.99,6902,8.339439673,5,413.33,"(4, 6)",445.1,4,406.85,"(5, 7)",448.69999999999993,1.59
R111,10.0,8,2023-08-08,0.99,11001,11.992613871,5,420.99,"(4, 6)",451.30000000000007,5,415.36,"(2, 6)",430.8,1.36
R112,10.0,2,2023-08-08,0.99,10658,10.920013442,5,399.11,"(5, 5)",435.7000000000001,4,360.94,"(6, 7)",398.5,10.58
R201,10.0,7,2023-08-08,0.99,11958,11.392135308,3,459.63,"(7, 9)",480.70000000000005,4,465.98,"(5, 8)",464.2,-1.36
R202,10.0,8,2023-08-08,0.99,17269,14.952510038,3,412.88,"(5, 10)",439.2,4,434.52,"(5, 7)",437.80000000000007,-4.98
R203,10.0,10,2023-08-08,0.99,10627,8.892288078,2,376.14,"(11, 14)",414.20000000000005,3,405.38,"(2, 14)",422.2000000000001,-7.21
R204,10.0,1,2023-08-08,0.99,13593,16.345994963,2,336.03,"(12, 13)",361.1,2,336.03,"(12, 13)",361.1,0.0
R205,10.0,5,2023-08-08,0.99,12082,11.611868817,3,370.3,"(3, 15)",393.0,3,370.3,"(3, 15)",393.0,0.0
R206,10.0,6,2023-08-08,0.99,12571,11.509087689,3,356.09,"(6, 10)",384.90000000000003,3,356.09,"(6, 10)",384.9000000000001,-0.0
R207,10.0,10,2023-08-08,0.99,10369,11.18854668,2,333.1,"(12, 13)",369.40000000000003,3,354.5,"(2, 14)",366.6,-6.04
R208,10.0,6,2023-08-08,0.99,9140,7.510316168,1,297.54,"(25, 25)",330.59999999999997,2,315.26,"(12, 13)",342.79999999999995,-5.62
R209,10.0,5,2023-08-08,0.99,9528,8.881327838,2,333.93,"(10, 15)",370.7,2,333.93,"(10, 15)",370.7,0.0
R210,10.0,6,2023-08-08,0.99,8568,8.136040169,2,386.87,"(7, 18)",412.29999999999995,3,403.75,"(7, 10)",413.5000000000001,-4.18
R211,10.0,8,2023-08-08,0.99,11174,9.768975847,3,327.73,"(6, 10)",363.1000000000001,2,318.55,"(12, 13)",352.8,2.88
RC101,10.0,2,2023-08-08,0.99,9100,12.699301886,5,447.62,"(3, 8)",484.20000000000005,4,425.99,"(4, 8)",464.9000000000001,5.08
RC102,10.0,7,2023-08-08,0.99,10092,11.392743235,3,320.42,"(8, 9)",352.00000000000006,3,318.32,"(8, 9)",352.20000000000005,0.66
RC103,10.0,9,2023-08-08,0.99,7743,8.824705646,3,302.18,"(8, 9)",334.20000000000005,3,302.18,"(8, 9)",334.2,0.0
