i,vehi,obj,vehiBest,objBest,loFunc,note
1,4,1194.1799999999998,4,1105.32,swap,acceptBad
2,4,1193.58,4,1105.32,swap,improve
3,4,1193.58,4,1105.32,2opt,improve
4,4,1304.8400000000001,4,1105.32,2opt,acceptBad
5,4,1191.38,4,1105.32,swap,improve
6,4,1191.38,4,1105.32,move,improve
7,4,1189.5200000000002,4,1105.32,swap,improve
8,5,1336.7600000000002,4,1105.32,2opt,acceptBad
9,5,1327.72,4,1105.32,swap,improve
10,6,2099.88,4,1105.32,2opt,acceptBad
11,6,2107.92,4,1105.32,swap,acceptBad
12,6,2090.58,4,1105.32,swap,improve
13,7,3112.88,4,1105.32,2opt,acceptBad
14,7,2937.1800000000003,4,1105.32,move,improve
15,7,2672.1200000000003,4,1105.32,move,improve
16,7,2672.1200000000003,4,1105.32,move,improve
17,8,3329.6400000000003,4,1105.32,2opt,acceptBad
18,8,3330.180000000001,4,1105.32,2opt,acceptBad
19,9,5022.300000000001,4,1105.32,2opt,acceptBad
20,9,4913.740000000001,4,1105.32,2opt,improve
21,9,4317.199999999999,4,1105.32,move,improve
22,9,4171.08,4,1105.32,move,improve
23,9,3720.2,4,1105.32,move,improve
24,9,3164.4399999999996,4,1105.32,move,improve
25,9,2926.2,4,1105.32,move,improve
26,9,2665.92,4,1105.32,swap,improve
27,9,2735.34,4,1105.32,2opt,acceptBad
28,9,2735.34,4,1105.32,move,improve
29,9,2894.9600000000005,4,1105.32,swap,acceptBad
30,10,3154.34,4,1105.32,2opt,acceptBad
31,10,3724.76,4,1105.32,swap,acceptBad
32,10,3407.54,4,1105.32,swap,improve
33,10,3923.4400000000005,4,1105.32,swap,acceptBad
34,10,3882.1600000000008,4,1105.32,move,improve
35,10,3904.1800000000007,4,1105.32,swap,acceptBad
36,11,4459.260000000001,4,1105.32,2opt,acceptBad
37,11,4483.3200000000015,4,1105.32,swap,acceptBad
38,11,4284.240000000001,4,1105.32,move,improve
39,12,5719.259999999998,4,1105.32,2opt,acceptBad
40,12,5633.7,4,1105.32,move,improve
41,12,5704.1,4,1105.32,move,acceptBad
42,12,5650.499999999999,4,1105.32,move,improve
43,12,5650.499999999999,4,1105.32,move,improve
44,12,5650.199999999999,4,1105.32,move,improve
45,12,5969.58,4,1105.32,swap,acceptBad
46,12,5884.960000000001,4,1105.32,swap,improve
47,12,5957.020000000001,4,1105.32,swap,acceptBad
48,12,5642.3200000000015,4,1105.32,move,improve
49,12,5624.920000000001,4,1105.32,move,improve
50,12,5624.920000000001,4,1105.32,move,improve
51,12,5542.660000000002,4,1105.32,2opt,improve
52,12,4780.6,4,1105.32,move,improve
53,12,4782.760000000002,4,1105.32,2opt,acceptBad
54,12,4781.380000000001,4,1105.32,move,improve
55,12,4828.660000000001,4,1105.32,2opt,acceptBad
56,12,4612.060000000001,4,1105.32,move,improve
57,12,4612.060000000001,4,1105.32,move,improve
58,12,4736.8600000000015,4,1105.32,swap,acceptBad
59,12,4754.500000000002,4,1105.32,swap,acceptBad
60,12,4723.300000000001,4,1105.32,swap,improve
61,12,4766.3200000000015,4,1105.32,2opt,acceptBad
62,12,4703.500000000001,4,1105.32,move,improve
63,12,4941.660000000002,4,1105.32,swap,acceptBad
64,12,4941.660000000002,4,1105.32,move,improve
65,13,7136.599999999999,4,1105.32,2opt,acceptBad
66,13,5631.96,4,1105.32,swap,improve
67,13,5629.32,4,1105.32,swap,improve
68,13,5540.0199999999995,4,1105.32,move,improve
69,13,5538.520000000001,4,1105.32,2opt,improve
70,13,5537.020000000001,4,1105.32,swap,improve
71,13,5503.24,4,1105.32,2opt,improve
72,13,5595.639999999999,4,1105.32,2opt,acceptBad
73,13,5594.379999999999,4,1105.32,swap,improve
74,13,5552.0199999999995,4,1105.32,move,improve
75,13,5550.16,4,1105.32,swap,improve
76,13,7246.4,4,1105.32,swap,acceptBad
77,13,7046.719999999999,4,1105.32,move,improve
78,13,7047.139999999999,4,1105.32,swap,acceptBad
79,13,7188.539999999999,4,1105.32,swap,acceptBad
80,13,7130.699999999999,4,1105.32,move,improve
81,13,7146.959999999999,4,1105.32,swap,acceptBad
82,13,7109.939999999999,4,1105.32,swap,improve
83,13,5752.32,4,1105.32,move,improve
84,13,5981.279999999999,4,1105.32,2opt,acceptBad
85,13,5922.779999999999,4,1105.32,move,improve
86,13,5885.16,4,1105.32,2opt,improve
87,13,5939.700000000001,4,1105.32,2opt,acceptBad
88,13,5738.099999999999,4,1105.32,move,improve
89,13,5719.859999999999,4,1105.32,2opt,improve
90,13,5795.699999999997,4,1105.32,2opt,acceptBad
91,13,5795.699999999997,4,1105.32,move,improve
92,13,5795.699999999997,4,1105.32,move,improve
93,13,5809.319999999999,4,1105.32,2opt,acceptBad
94,13,5809.319999999999,4,1105.32,move,improve
95,13,5819.819999999999,4,1105.32,swap,acceptBad
96,13,5698.279999999999,4,1105.32,move,improve
97,13,5678.199999999998,4,1105.32,2opt,improve
98,13,5678.199999999998,4,1105.32,move,improve
99,13,5671.6,4,1105.32,2opt,improve
100,13,5724.88,4,1105.32,swap,acceptBad
101,13,5722.120000000001,4,1105.32,swap,improve
102,13,5720.620000000001,4,1105.32,2opt,improve
103,13,5703.64,4,1105.32,2opt,improve
104,12,4848.940000000001,4,1105.32,move,improve
105,12,4848.220000000001,4,1105.32,swap,improve
106,12,4826.42,4,1105.32,2opt,improve
107,12,4783.88,4,1105.32,move,improve
108,12,4765.34,4,1105.32,2opt,improve
109,12,4694.820000000001,4,1105.32,swap,improve
110,12,4678.86,4,1105.32,2opt,improve
111,12,3937.8199999999983,4,1105.32,move,improve
112,12,3969.9199999999983,4,1105.32,swap,acceptBad
113,12,3968.959999999999,4,1105.32,2opt,improve
114,13,4992.060000000001,4,1105.32,2opt,acceptBad
115,13,5053.980000000001,4,1105.32,swap,acceptBad
116,13,5052.420000000002,4,1105.32,2opt,improve
117,13,5376.900000000001,4,1105.32,swap,acceptBad
118,13,5307.899999999999,4,1105.32,2opt,improve
119,12,4663.0199999999995,4,1105.32,2opt,improve
120,12,4748.1799999999985,4,1105.32,swap,acceptBad
121,12,4778.899999999999,4,1105.32,2opt,acceptBad
122,12,4724.779999999999,4,1105.32,swap,improve
123,12,4658.199999999998,4,1105.32,move,improve
124,12,4636.5999999999985,4,1105.32,swap,improve
125,12,4597.719999999998,4,1105.32,move,improve
126,12,4253.439999999999,4,1105.32,move,improve
127,12,4116.639999999999,4,1105.32,move,improve
128,12,4043.3199999999997,4,1105.32,2opt,improve
129,12,4043.3199999999997,4,1105.32,move,improve
130,12,4026.92,4,1105.32,move,improve
131,12,4048.9399999999996,4,1105.32,swap,acceptBad
132,12,4013.8399999999997,4,1105.32,2opt,improve
133,12,4006.1,4,1105.32,swap,improve
134,12,3973.9399999999996,4,1105.32,move,improve
135,12,3981.5,4,1105.32,swap,acceptBad
136,12,3866.3999999999996,4,1105.32,move,improve
137,12,3913.08,4,1105.32,2opt,acceptBad
138,12,3980.6400000000003,4,1105.32,swap,acceptBad
139,12,3980.6400000000003,4,1105.32,2opt,improve
140,12,3980.6400000000003,4,1105.32,move,improve
141,12,3987.9000000000005,4,1105.32,2opt,acceptBad
142,12,3962.4000000000005,4,1105.32,move,improve
143,12,4074.7999999999993,4,1105.32,2opt,acceptBad
144,12,4108.58,4,1105.32,2opt,acceptBad
145,12,4114.36,4,1105.32,swap,acceptBad
146,12,4114.36,4,1105.32,move,improve
147,12,4114.36,4,1105.32,move,improve
148,12,4113.82,4,1105.32,2opt,improve
149,12,4122.76,4,1105.32,swap,acceptBad
150,12,5597.240000000001,4,1105.32,2opt,acceptBad
151,12,4311.88,4,1105.32,move,improve
152,12,4324.0,4,1105.32,swap,acceptBad
153,12,4315.299999999999,4,1105.32,move,improve
154,12,4324.48,4,1105.32,2opt,acceptBad
155,12,4321.36,4,1105.32,move,improve
156,13,4823.48,4,1105.32,2opt,acceptBad
157,13,4865.899999999999,4,1105.32,swap,acceptBad
158,13,4904.179999999999,4,1105.32,swap,acceptBad
159,14,5389.82,4,1105.32,2opt,acceptBad
160,14,6976.479999999999,4,1105.32,move,acceptBad
161,14,7455.98,4,1105.32,2opt,acceptBad
162,14,7503.259999999999,4,1105.32,swap,acceptBad
163,14,8727.780000000002,4,1105.32,2opt,acceptBad
164,14,8699.16,4,1105.32,2opt,improve
165,14,8721.06,4,1105.32,2opt,acceptBad
166,14,8720.340000000002,4,1105.32,2opt,improve
167,14,8722.260000000002,4,1105.32,swap,acceptBad
168,14,7343.560000000001,4,1105.32,move,improve
169,14,7426.5,4,1105.32,2opt,acceptBad
170,14,7427.4,4,1105.32,2opt,acceptBad
171,14,7284.740000000002,4,1105.32,move,improve
172,14,6825.9800000000005,4,1105.32,move,improve
173,14,6831.100000000001,4,1105.32,2opt,acceptBad
174,14,6173.32,4,1105.32,move,improve
175,14,6503.82,4,1105.32,swap,acceptBad
176,14,6502.86,4,1105.32,move,improve
177,14,6502.38,4,1105.32,2opt,improve
178,14,6518.64,4,1105.32,swap,acceptBad
179,14,6500.459999999999,4,1105.32,2opt,improve
180,14,6500.459999999999,4,1105.32,move,improve
181,14,6518.879999999999,4,1105.32,2opt,acceptBad
182,14,6524.940000000002,4,1105.32,2opt,acceptBad
183,14,6541.020000000002,4,1105.32,swap,acceptBad
184,14,6544.0199999999995,4,1105.32,2opt,acceptBad
185,14,6543.18,4,1105.32,move,improve
186,14,6514.180000000001,4,1105.32,2opt,improve
187,14,6478.840000000002,4,1105.32,swap,improve
188,14,6571.659999999999,4,1105.32,2opt,acceptBad
189,14,6552.34,4,1105.32,2opt,improve
190,14,6546.88,4,1105.32,swap,improve
191,14,5838.74,4,1105.32,swap,improve
192,14,5837.24,4,1105.32,2opt,improve
193,14,5860.040000000001,4,1105.32,2opt,acceptBad
194,14,5872.980000000001,4,1105.32,swap,acceptBad
195,14,5871.240000000001,4,1105.32,move,improve
196,14,5851.020000000001,4,1105.32,move,improve
197,14,5851.020000000001,4,1105.32,move,improve
198,14,5865.780000000001,4,1105.32,2opt,acceptBad
199,14,6480.240000000001,4,1105.32,2opt,acceptBad
200,14,6475.92,4,1105.32,move,improve
201,14,6472.68,4,1105.32,2opt,improve
202,14,6356.8200000000015,4,1105.32,2opt,improve
203,14,6356.8200000000015,4,1105.32,move,improve
204,14,6348.6,4,1105.32,2opt,improve
205,14,6392.02,4,1105.32,2opt,acceptBad
206,14,7447.06,4,1105.32,2opt,acceptBad
207,14,7103.680000000002,4,1105.32,move,improve
208,14,7106.920000000003,4,1105.32,2opt,acceptBad
209,14,7106.920000000003,4,1105.32,move,improve
210,14,6710.680000000001,4,1105.32,swap,improve
211,14,6710.680000000001,4,1105.32,move,improve
212,14,6652.22,4,1105.32,move,improve
213,14,6662.120000000001,4,1105.32,2opt,acceptBad
214,14,6664.880000000001,4,1105.32,swap,acceptBad
215,14,6556.099999999998,4,1105.32,move,improve
216,14,6578.839999999998,4,1105.32,swap,acceptBad
217,14,6524.459999999999,4,1105.32,move,improve
218,14,6524.459999999999,4,1105.32,move,improve
219,14,6496.079999999999,4,1105.32,swap,improve
220,14,6846.7,4,1105.32,swap,acceptBad
221,14,6890.5,4,1105.32,2opt,acceptBad
222,14,6884.620000000002,4,1105.32,2opt,improve
223,14,7243.040000000001,4,1105.32,swap,acceptBad
224,14,7256.06,4,1105.32,swap,acceptBad
225,14,7249.700000000001,4,1105.32,move,improve
226,15,9356.160000000003,4,1105.32,2opt,acceptBad
227,15,9356.160000000003,4,1105.32,2opt,improve
228,15,9356.160000000003,4,1105.32,2opt,improve
229,15,9355.8,4,1105.32,2opt,improve
230,15,9450.54,4,1105.32,swap,acceptBad
231,15,9425.880000000001,4,1105.32,2opt,improve
232,15,9168.779999999999,4,1105.32,swap,improve
233,15,8194.220000000001,4,1105.32,move,improve
234,15,8153.720000000002,4,1105.32,move,improve
235,15,7608.72,4,1105.32,move,improve
236,15,7563.240000000001,4,1105.32,move,improve
237,15,6892.4400000000005,4,1105.32,move,improve
238,15,6714.960000000001,4,1105.32,move,improve
239,15,6761.960000000001,4,1105.32,swap,acceptBad
240,15,6791.419999999998,4,1105.32,2opt,acceptBad
241,15,8395.300000000001,4,1105.32,swap,acceptBad
242,15,8061.419999999999,4,1105.32,move,improve
243,14,6139.42,4,1105.32,move,improve
244,14,6111.9400000000005,4,1105.32,move,improve
245,14,6069.700000000001,4,1105.32,move,improve
246,14,6064.18,4,1105.32,swap,improve
247,14,6065.259999999998,4,1105.32,2opt,acceptBad
248,14,6031.059999999999,4,1105.32,move,improve
249,14,6000.339999999998,4,1105.32,swap,improve
250,14,6023.979999999999,4,1105.32,swap,acceptBad
251,14,6023.979999999999,4,1105.32,move,improve
252,15,6723.139999999998,4,1105.32,2opt,acceptBad
253,15,6688.039999999997,4,1105.32,swap,improve
254,15,6687.739999999998,4,1105.32,swap,improve
255,15,6716.12,4,1105.32,2opt,acceptBad
256,15,7181.42,4,1105.32,2opt,acceptBad
257,15,7207.6399999999985,4,1105.32,2opt,acceptBad
258,15,7207.6399999999985,4,1105.32,move,improve
259,15,7248.439999999999,4,1105.32,2opt,acceptBad
260,15,6872.4,4,1105.32,move,improve
261,15,6847.139999999999,4,1105.32,move,improve
262,15,6836.579999999999,4,1105.32,2opt,improve
263,15,6753.719999999999,4,1105.32,swap,improve
264,15,6889.86,4,1105.32,2opt,acceptBad
265,15,6677.719999999998,4,1105.32,swap,improve
266,15,6656.119999999999,4,1105.32,move,improve
267,15,7224.18,4,1105.32,2opt,acceptBad
268,15,6842.460000000001,4,1105.32,move,improve
269,15,6810.3,4,1105.32,2opt,improve
270,15,6810.3,4,1105.32,move,improve
271,15,6786.6,4,1105.32,2opt,improve
272,15,6810.78,4,1105.32,swap,acceptBad
273,15,6699.379999999999,4,1105.32,move,improve
274,15,6685.999999999999,4,1105.32,swap,improve
275,15,6747.079999999999,4,1105.32,swap,acceptBad
276,15,6785.48,4,1105.32,2opt,acceptBad
277,15,6784.459999999999,4,1105.32,move,improve
278,15,6671.12,4,1105.32,2opt,improve
279,15,6712.099999999999,4,1105.32,swap,acceptBad
280,15,6726.679999999999,4,1105.32,2opt,acceptBad
281,15,6671.179999999999,4,1105.32,move,improve
282,15,7167.039999999997,4,1105.32,swap,acceptBad
283,15,7074.899999999998,4,1105.32,2opt,improve
284,15,8457.959999999997,4,1105.32,2opt,acceptBad
285,15,8459.88,4,1105.32,2opt,acceptBad
286,16,9232.079999999998,4,1105.32,2opt,acceptBad
287,16,8698.319999999998,4,1105.32,move,improve
288,16,10412.079999999998,4,1105.32,swap,acceptBad
289,16,10105.48,4,1105.32,swap,improve
290,16,10301.900000000003,4,1105.32,swap,acceptBad
291,16,10008.160000000005,4,1105.32,move,improve
292,16,9736.960000000003,4,1105.32,move,improve
293,16,9736.960000000003,4,1105.32,2opt,improve
294,16,9791.819999999998,4,1105.32,swap,acceptBad
295,16,9761.819999999998,4,1105.32,move,improve
296,16,9761.259999999998,4,1105.32,swap,improve
297,16,9761.26,4,1105.32,2opt,acceptBad
298,16,9780.04,4,1105.32,2opt,acceptBad
299,16,8967.159999999996,4,1105.32,move,improve
300,16,8967.159999999996,4,1105.32,move,improve
301,16,8972.939999999995,4,1105.32,swap,acceptBad
302,16,9102.8,4,1105.32,swap,acceptBad
303,16,8840.519999999999,4,1105.32,move,improve
304,16,8849.640000000001,4,1105.32,2opt,acceptBad
305,16,9202.199999999999,4,1105.32,2opt,acceptBad
306,16,9158.339999999998,4,1105.32,swap,improve
307,16,9160.860000000002,4,1105.32,2opt,acceptBad
308,16,9156.600000000002,4,1105.32,move,improve
309,16,9142.44,4,1105.32,2opt,improve
310,16,9163.24,4,1105.32,swap,acceptBad
311,16,10537.379999999997,4,1105.32,2opt,acceptBad
312,16,10138.379999999997,4,1105.32,2opt,improve
313,17,11922.899999999998,4,1105.32,2opt,acceptBad
314,17,11923.559999999998,4,1105.32,swap,acceptBad
315,17,12029.099999999993,4,1105.32,2opt,acceptBad
316,17,11675.319999999994,4,1105.32,swap,improve
317,17,10893.999999999996,4,1105.32,move,improve
318,17,10949.540000000003,4,1105.32,2opt,acceptBad
319,17,10949.540000000003,4,1105.32,swap,improve
320,17,10808.900000000003,4,1105.32,swap,improve
321,17,10217.520000000002,4,1105.32,move,improve
322,17,10217.520000000002,4,1105.32,move,improve
323,17,10212.180000000002,4,1105.32,move,improve
324,17,10285.080000000004,4,1105.32,2opt,acceptBad
325,16,8934.400000000001,4,1105.32,move,improve
326,16,8936.68,4,1105.32,2opt,acceptBad
327,16,9964.3,4,1105.32,2opt,acceptBad
328,16,8937.84,4,1105.32,move,improve
329,16,8917.92,4,1105.32,move,improve
330,16,8645.64,4,1105.32,move,improve
331,16,8479.239999999998,4,1105.32,swap,improve
332,16,8483.380000000001,4,1105.32,2opt,acceptBad
333,16,8485.12,4,1105.32,swap,acceptBad
334,16,8485.12,4,1105.32,2opt,improve
335,16,8482.960000000001,4,1105.32,2opt,improve
336,16,8552.54,4,1105.32,swap,acceptBad
337,16,8470.119999999999,4,1105.32,2opt,improve
338,16,8306.9,4,1105.32,move,improve
339,16,8306.9,4,1105.32,move,improve
340,16,8684.18,4,1105.32,swap,acceptBad
341,16,8705.12,4,1105.32,2opt,acceptBad
342,16,9031.320000000002,4,1105.32,swap,acceptBad
343,16,9031.380000000001,4,1105.32,2opt,acceptBad
344,15,8161.360000000001,4,1105.32,2opt,improve
345,15,8207.560000000001,4,1105.32,2opt,acceptBad
346,15,7467.92,4,1105.32,move,improve
347,15,7469.780000000001,4,1105.32,2opt,acceptBad
348,15,7507.820000000001,4,1105.32,swap,acceptBad
349,16,9662.140000000001,4,1105.32,2opt,acceptBad
350,16,9640.6,4,1105.32,2opt,improve
351,16,9087.34,4,1105.32,move,improve
352,16,9026.500000000004,4,1105.32,2opt,improve
353,16,9026.020000000002,4,1105.32,2opt,improve
354,16,9009.820000000003,4,1105.32,2opt,improve
355,16,8333.34,4,1105.32,move,improve
356,16,8308.98,4,1105.32,2opt,improve
357,16,8272.44,4,1105.32,move,improve
358,16,8739.12,4,1105.32,2opt,acceptBad
359,16,8784.6,4,1105.32,swap,acceptBad
360,16,9468.6,4,1105.32,swap,acceptBad
361,16,9470.76,4,1105.32,swap,acceptBad
362,16,10484.26,4,1105.32,swap,acceptBad
363,16,10465.659999999998,4,1105.32,2opt,improve
364,17,12708.660000000002,4,1105.32,2opt,acceptBad
365,17,12659.560000000003,4,1105.32,2opt,improve
366,17,12571.820000000003,4,1105.32,move,improve
367,17,12590.320000000002,4,1105.32,swap,acceptBad
368,17,11384.660000000005,4,1105.32,move,improve
369,17,11192.520000000004,4,1105.32,2opt,improve
370,17,11082.700000000004,4,1105.32,move,improve
371,17,10259.960000000005,4,1105.32,2opt,improve
372,17,10258.220000000005,4,1105.32,swap,improve
