i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-07,18.41,18.42,26.705644527276473,0.99,3,683.6,16257,46.525569952
2,2023-10-07,19.26,19.27,50.3020638636173,0.99,3,702.5500000000001,15056,44.389109908
3,2023-10-07,20.9,20.10,40.323673110022284,0.99,5,695.6999999999998,13001,36.675823845
4,2023-10-07,20.51,20.52,41.97776452352976,0.99,3,702.65,14805,42.976154162
5,2023-10-07,21.34,21.35,57.322915970386376,0.99,3,702.65,13505,40.435383867
6,2023-10-07,22.14,22.15,33.31415352130315,0.99,3,702.65,14127,39.451233802
7,2023-10-07,22.57,22.58,47.35839460149709,0.99,3,702.65,13304,38.269096347
8,2023-10-07,23.39,23.40,27.801119564588372,0.99,3,702.65,15311,42.645675447
9,2023-10-08,0.21,0.22,22.06336558774241,0.99,3,702.65,16644,52.175507182
10,2023-10-08,1.3,1.3,134.6904282316682,0.99,3,588.35,10214,29.860499504
11,2023-10-28,18.51,19.43,41.55798687829449,0.99,3,702.65,15520,3122.689911694
12,2023-10-28,20.16,21.1,47.358394601497054,0.99,3,702.65,13094,2645.568327059
13,2023-10-28,21.45,22.22,65.32369535089049,0.99,3,702.65,12576,2210.947973315
14,2023-10-29,23.13,0.2,35.03102216979681,0.99,3,702.65,14744,2941.698841673
