i,vehi,obj,vehiBest,objBest,loFunc,note
1,5,703.4799999999989,5,703.4799999999989,move,newBest
2,5,703.4799999999989,5,703.4799999999989,move,improve
3,5,738.5599999999987,5,703.4799999999989,2opt,acceptBad
4,5,792.9999999999982,5,703.4799999999989,swap,acceptBad
5,5,784.7199999999999,5,703.4799999999989,2opt,improve
6,5,800.6399999999998,5,703.4799999999989,2opt,acceptBad
7,5,881.0799999999998,5,703.4799999999989,swap,acceptBad
8,6,4804.0199999999995,5,703.4799999999989,2opt,acceptBad
9,6,4794.699999999999,5,703.4799999999989,swap,improve
10,6,4425.559999999999,5,703.4799999999989,move,improve
11,6,4423.739999999999,5,703.4799999999989,move,improve
12,6,4513.32,5,703.4799999999989,swap,acceptBad
13,6,4524.360000000001,5,703.4799999999989,swap,acceptBad
14,6,4531.320000000001,5,703.4799999999989,swap,acceptBad
15,6,4531.320000000001,5,703.4799999999989,move,improve
16,7,7869.6799999999985,5,703.4799999999989,2opt,acceptBad
17,7,7869.6799999999985,5,703.4799999999989,2opt,improve
18,7,7948.279999999999,5,703.4799999999989,swap,acceptBad
19,8,12899.839999999997,5,703.4799999999989,2opt,acceptBad
20,8,12864.3,5,703.4799999999989,swap,improve
21,8,12864.3,5,703.4799999999989,move,improve
22,8,13053.660000000002,5,703.4799999999989,2opt,acceptBad
23,8,13056.300000000003,5,703.4799999999989,2opt,acceptBad
24,8,12595.18,5,703.4799999999989,move,improve
25,8,12603.3,5,703.4799999999989,swap,acceptBad
26,8,12088.099999999999,5,703.4799999999989,move,improve
27,8,12112.66,5,703.4799999999989,2opt,acceptBad
28,8,12132.94,5,703.4799999999989,swap,acceptBad
29,8,12115.38,5,703.4799999999989,swap,improve
30,8,12120.3,5,703.4799999999989,2opt,acceptBad
31,8,10297.700000000003,5,703.4799999999989,move,improve
32,8,10296.580000000002,5,703.4799999999989,move,improve
33,8,10408.460000000001,5,703.4799999999989,swap,acceptBad
34,8,10408.460000000001,5,703.4799999999989,move,improve
35,8,10431.66,5,703.4799999999989,swap,acceptBad
36,9,16417.2,5,703.4799999999989,2opt,acceptBad
37,10,19831.32,5,703.4799999999989,2opt,acceptBad
38,10,19051.58,5,703.4799999999989,move,improve
39,10,18330.660000000003,5,703.4799999999989,move,improve
40,10,18733.24,5,703.4799999999989,swap,acceptBad
41,11,28549.279999999988,5,703.4799999999989,2opt,acceptBad
42,11,30036.079999999994,5,703.4799999999989,2opt,acceptBad
43,11,30050.47999999999,5,703.4799999999989,2opt,acceptBad
44,11,30711.19999999997,5,703.4799999999989,2opt,acceptBad
45,11,29561.43999999999,5,703.4799999999989,move,improve
46,11,29599.15999999999,5,703.4799999999989,swap,acceptBad
47,11,29587.91999999999,5,703.4799999999989,move,improve
48,11,29078.32,5,703.4799999999989,2opt,improve
49,11,29077.84,5,703.4799999999989,move,improve
50,11,29121.679999999986,5,703.4799999999989,swap,acceptBad
51,11,29340.839999999986,5,703.4799999999989,swap,acceptBad
52,11,29019.39999999999,5,703.4799999999989,swap,improve
53,11,22632.64,5,703.4799999999989,2opt,improve
54,11,21528.680000000004,5,703.4799999999989,move,improve
55,11,21549.56,5,703.4799999999989,swap,acceptBad
56,11,29233.239999999994,5,703.4799999999989,2opt,acceptBad
57,11,28675.39999999999,5,703.4799999999989,move,improve
58,11,28642.4,5,703.4799999999989,move,improve
59,11,26880.92,5,703.4799999999989,move,improve
60,11,26832.360000000004,5,703.4799999999989,swap,improve
61,11,27664.4,5,703.4799999999989,move,acceptBad
62,11,27528.08,5,703.4799999999989,swap,improve
63,11,27520.56,5,703.4799999999989,swap,improve
64,11,27522.32,5,703.4799999999989,2opt,acceptBad
65,11,27711.64,5,703.4799999999989,2opt,acceptBad
66,11,26937.239999999998,5,703.4799999999989,move,improve
67,12,42411.04,5,703.4799999999989,2opt,acceptBad
68,12,40386.84,5,703.4799999999989,swap,improve
69,11,22106.960000000003,5,703.4799999999989,2opt,improve
70,11,22126.160000000003,5,703.4799999999989,swap,acceptBad
71,11,21030.76,5,703.4799999999989,move,improve
72,12,32135.159999999996,5,703.4799999999989,2opt,acceptBad
73,12,32155.839999999993,5,703.4799999999989,swap,acceptBad
74,12,32155.839999999993,5,703.4799999999989,2opt,improve
75,12,22603.64,5,703.4799999999989,move,improve
76,12,22271.099999999995,5,703.4799999999989,2opt,improve
77,12,22300.139999999996,5,703.4799999999989,swap,acceptBad
78,12,20973.91999999999,5,703.4799999999989,2opt,improve
79,12,17017.27999999999,5,703.4799999999989,2opt,improve
80,12,16029.48,5,703.4799999999989,move,improve
81,12,16134.28,5,703.4799999999989,swap,acceptBad
82,12,16086.199999999999,5,703.4799999999989,swap,improve
83,12,12446.820000000002,5,703.4799999999989,move,improve
84,12,10099.219999999998,5,703.4799999999989,2opt,improve
85,12,7735.339999999997,5,703.4799999999989,move,improve
86,13,25933.960000000006,5,703.4799999999989,2opt,acceptBad
87,13,25941.440000000006,5,703.4799999999989,swap,acceptBad
88,13,25028.920000000002,5,703.4799999999989,move,improve
89,13,23628.559999999998,5,703.4799999999989,move,improve
90,13,9943.399999999998,5,703.4799999999989,move,improve
91,13,9958.56,5,703.4799999999989,swap,acceptBad
92,13,9953.32,5,703.4799999999989,2opt,improve
93,13,9953.32,5,703.4799999999989,move,improve
94,13,9946.999999999998,5,703.4799999999989,2opt,improve
95,13,9944.4,5,703.4799999999989,swap,improve
96,13,9943.72,5,703.4799999999989,2opt,improve
97,13,9305.36,5,703.4799999999989,move,improve
98,13,8452.0,5,703.4799999999989,move,improve
99,13,8452.0,5,703.4799999999989,move,improve
100,13,8473.96,5,703.4799999999989,2opt,acceptBad
101,13,11990.239999999998,5,703.4799999999989,2opt,acceptBad
102,13,11068.079999999998,5,703.4799999999989,move,improve
103,13,11069.439999999999,5,703.4799999999989,2opt,acceptBad
104,13,17258.679999999997,5,703.4799999999989,2opt,acceptBad
105,13,20332.079999999987,5,703.4799999999989,swap,acceptBad
106,13,19404.399999999998,5,703.4799999999989,move,improve
107,13,14519.879999999992,5,703.4799999999989,swap,improve
108,13,14511.159999999993,5,703.4799999999989,move,improve
109,13,14537.639999999996,5,703.4799999999989,2opt,acceptBad
110,13,14532.719999999998,5,703.4799999999989,swap,improve
111,13,10812.959999999995,5,703.4799999999989,move,improve
112,13,9650.679999999997,5,703.4799999999989,move,improve
113,13,8971.239999999996,5,703.4799999999989,move,improve
114,13,8068.679999999996,5,703.4799999999989,move,improve
115,14,15041.739999999994,5,703.4799999999989,2opt,acceptBad
116,14,13477.359999999993,5,703.4799999999989,move,improve
117,14,14101.399999999998,5,703.4799999999989,2opt,acceptBad
118,14,14115.979999999996,5,703.4799999999989,2opt,acceptBad
119,14,14112.939999999995,5,703.4799999999989,2opt,improve
120,14,12538.359999999993,5,703.4799999999989,move,improve
121,14,12549.919999999996,5,703.4799999999989,2opt,acceptBad
122,14,13202.079999999994,5,703.4799999999989,2opt,acceptBad
123,14,13290.380000000001,5,703.4799999999989,swap,acceptBad
124,14,13270.82,5,703.4799999999989,move,improve
125,14,13262.82,5,703.4799999999989,move,improve
126,14,11924.859999999999,5,703.4799999999989,move,improve
127,14,12095.919999999998,5,703.4799999999989,swap,acceptBad
128,14,11993.939999999997,5,703.4799999999989,2opt,improve
129,15,27853.400000000012,5,703.4799999999989,2opt,acceptBad
130,15,28147.360000000008,5,703.4799999999989,swap,acceptBad
131,15,28146.40000000001,5,703.4799999999989,move,improve
132,15,28077.0,5,703.4799999999989,move,improve
133,15,38557.36,5,703.4799999999989,2opt,acceptBad
134,15,37419.52000000001,5,703.4799999999989,move,improve
135,15,37419.52000000001,5,703.4799999999989,move,improve
136,15,37419.52000000001,5,703.4799999999989,2opt,improve
137,15,35097.52000000001,5,703.4799999999989,move,improve
138,15,33545.76000000001,5,703.4799999999989,move,improve
139,15,30867.80000000001,5,703.4799999999989,move,improve
140,15,20450.879999999997,5,703.4799999999989,move,improve
141,15,18984.999999999993,5,703.4799999999989,move,improve
142,15,19034.92,5,703.4799999999989,2opt,acceptBad
143,15,17465.920000000006,5,703.4799999999989,move,improve
144,15,18428.36,5,703.4799999999989,2opt,acceptBad
145,15,21447.640000000003,5,703.4799999999989,2opt,acceptBad
146,16,29195.020000000008,5,703.4799999999989,2opt,acceptBad
147,16,29211.300000000017,5,703.4799999999989,2opt,acceptBad
148,16,29229.380000000016,5,703.4799999999989,2opt,acceptBad
149,16,26437.16000000001,5,703.4799999999989,swap,improve
150,16,26422.959999999995,5,703.4799999999989,2opt,improve
151,16,26470.24,5,703.4799999999989,swap,acceptBad
152,16,26470.00000000002,5,703.4799999999989,2opt,improve
153,16,26498.080000000024,5,703.4799999999989,swap,acceptBad
154,16,26492.32000000002,5,703.4799999999989,move,improve
155,16,26663.920000000006,5,703.4799999999989,swap,acceptBad
156,16,26663.920000000006,5,703.4799999999989,move,improve
157,17,43310.36,5,703.4799999999989,2opt,acceptBad
158,17,54887.39999999998,5,703.4799999999989,swap,acceptBad
159,17,52337.11999999998,5,703.4799999999989,2opt,improve
160,17,56888.560000000005,5,703.4799999999989,swap,acceptBad
161,17,55364.63999999998,5,703.4799999999989,move,improve
162,17,55879.03999999998,5,703.4799999999989,2opt,acceptBad
163,17,55266.63999999997,5,703.4799999999989,move,improve
164,17,55366.55999999999,5,703.4799999999989,2opt,acceptBad
165,17,43047.95999999997,5,703.4799999999989,swap,improve
166,17,42755.67999999998,5,703.4799999999989,swap,improve
167,17,42782.83999999997,5,703.4799999999989,2opt,acceptBad
168,17,57399.39999999999,5,703.4799999999989,2opt,acceptBad
169,17,54708.319999999985,5,703.4799999999989,swap,improve
170,17,54475.19999999999,5,703.4799999999989,swap,improve
