i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-08-21,19.23,19.23,32.00144294909128,0.99,2,134.85999999999999,10466,5.7254895
2,2023-08-21,19.29,19.29,28.365594903161256,0.99,2,134.85999999999999,11794,6.603247542
3,2023-08-21,19.35,19.35,28.081938954129697,0.99,2,134.85999999999999,11395,6.302860958
4,2023-08-21,19.42,19.42,29.233870078358603,0.99,2,134.85999999999999,11530,6.391281792
5,2023-08-21,19.48,19.48,31.364614234404335,0.99,2,134.85999999999999,11000,6.071286875
6,2023-08-21,19.55,19.55,31.364614234404335,0.99,2,134.85999999999999,11226,6.231113375
7,2023-08-21,20.1,20.1,28.652116063799287,0.99,2,134.85999999999999,11542,6.508606083
8,2023-08-21,20.8,20.8,30.128723288757982,0.99,2,134.85999999999999,11535,6.424458084
9,2023-08-21,20.14,20.14,32.98101198609011,0.99,2,134.85999999999999,11123,6.23806325
10,2023-08-21,20.20,20.20,29.529161695311732,0.99,2,134.85999999999999,11882,6.58108275
