i,vehi,obj,vehiBest,objBest,loFunc,note
1,10,1478.8499999999997,10,1370.1999999999996,swap,acceptBad
2,11,2448.9099999999994,10,1370.1999999999996,2opt,acceptBad
3,11,2073.5499999999997,10,1370.1999999999996,move,improve
4,11,2074.7999999999997,10,1370.1999999999996,swap,acceptBad
5,11,2074.7999999999997,10,1370.1999999999996,2opt,improve
6,11,2059.45,10,1370.1999999999996,move,improve
7,11,2079.5299999999997,10,1370.1999999999996,swap,acceptBad
8,11,2067.9100000000003,10,1370.1999999999996,2opt,improve
9,11,1557.1800000000005,10,1370.1999999999996,move,improve
10,11,1535.6000000000001,10,1370.1999999999996,swap,improve
11,12,1898.5800000000004,10,1370.1999999999996,2opt,acceptBad
12,12,1651.4000000000005,10,1370.1999999999996,move,improve
13,12,1721.7000000000003,10,1370.1999999999996,swap,acceptBad
14,12,1777.5400000000004,10,1370.1999999999996,2opt,acceptBad
15,12,1779.8399999999997,10,1370.1999999999996,2opt,acceptBad
16,12,1508.8499999999997,10,1370.1999999999996,move,improve
17,12,1476.4899999999996,10,1370.1999999999996,swap,improve
18,12,1582.9299999999996,10,1370.1999999999996,2opt,acceptBad
19,13,3010.37,10,1370.1999999999996,2opt,acceptBad
20,13,3010.37,10,1370.1999999999996,move,improve
21,13,3010.37,10,1370.1999999999996,2opt,improve
22,13,2653.7799999999997,10,1370.1999999999996,2opt,improve
23,14,3510.67,10,1370.1999999999996,2opt,acceptBad
24,14,2784.28,10,1370.1999999999996,2opt,improve
25,14,2864.9199999999996,10,1370.1999999999996,2opt,acceptBad
26,15,3312.109999999999,10,1370.1999999999996,2opt,acceptBad
27,15,3331.62,10,1370.1999999999996,swap,acceptBad
28,15,3260.0500000000006,10,1370.1999999999996,swap,improve
29,15,3293.3500000000004,10,1370.1999999999996,swap,acceptBad
30,15,3373.2700000000013,10,1370.1999999999996,2opt,acceptBad
31,15,2826.6100000000015,10,1370.1999999999996,move,improve
32,15,3242.4700000000016,10,1370.1999999999996,swap,acceptBad
33,15,2435.59,10,1370.1999999999996,move,improve
34,15,2820.660000000002,10,1370.1999999999996,swap,acceptBad
35,15,2820.660000000002,10,1370.1999999999996,move,improve
36,15,2824.8800000000006,10,1370.1999999999996,swap,acceptBad
37,15,3319.0600000000013,10,1370.1999999999996,swap,acceptBad
38,15,3319.0600000000013,10,1370.1999999999996,2opt,improve
39,15,3195.470000000001,10,1370.1999999999996,2opt,improve
40,15,2934.670000000001,10,1370.1999999999996,move,improve
41,15,2856.4100000000003,10,1370.1999999999996,move,improve
42,15,2863.04,10,1370.1999999999996,swap,acceptBad
43,15,2863.04,10,1370.1999999999996,move,improve
44,15,2863.04,10,1370.1999999999996,move,improve
45,15,2844.9100000000003,10,1370.1999999999996,swap,improve
46,15,2903.0199999999995,10,1370.1999999999996,swap,acceptBad
47,15,3395.8199999999997,10,1370.1999999999996,swap,acceptBad
48,15,3395.8199999999997,10,1370.1999999999996,move,improve
49,15,3204.959999999998,10,1370.1999999999996,2opt,improve
50,15,2924.889999999999,10,1370.1999999999996,swap,improve
51,15,2569.9699999999993,10,1370.1999999999996,2opt,improve
52,15,2135.52,10,1370.1999999999996,swap,improve
53,15,2208.2000000000003,10,1370.1999999999996,swap,acceptBad
54,15,2207.5899999999997,10,1370.1999999999996,2opt,improve
55,14,1868.58,10,1370.1999999999996,move,improve
56,14,1853.02,10,1370.1999999999996,move,improve
57,14,1868.2500000000007,10,1370.1999999999996,2opt,acceptBad
58,14,1868.2500000000007,10,1370.1999999999996,move,improve
59,14,1751.1700000000003,10,1370.1999999999996,2opt,improve
60,14,2039.1699999999998,10,1370.1999999999996,swap,acceptBad
61,14,1728.9900000000005,10,1370.1999999999996,move,improve
62,14,2856.46,10,1370.1999999999996,swap,acceptBad
63,14,2874.9599999999996,10,1370.1999999999996,swap,acceptBad
64,14,3089.9000000000005,10,1370.1999999999996,2opt,acceptBad
65,15,3585.8199999999997,10,1370.1999999999996,2opt,acceptBad
66,15,3663.7599999999998,10,1370.1999999999996,2opt,acceptBad
67,15,2591.9400000000014,10,1370.1999999999996,move,improve
68,15,2147.8999999999996,10,1370.1999999999996,move,improve
69,15,2077.1,10,1370.1999999999996,swap,improve
70,15,2080.3199999999997,10,1370.1999999999996,swap,acceptBad
71,15,2080.3199999999997,10,1370.1999999999996,move,improve
72,15,2302.6800000000003,10,1370.1999999999996,swap,acceptBad
73,15,2492.2900000000004,10,1370.1999999999996,2opt,acceptBad
74,15,2684.5599999999995,10,1370.1999999999996,swap,acceptBad
75,15,2716.4,10,1370.1999999999996,swap,acceptBad
76,15,2716.4,10,1370.1999999999996,move,improve
77,15,2525.1400000000003,10,1370.1999999999996,move,improve
78,15,3308.0300000000007,10,1370.1999999999996,2opt,acceptBad
79,15,3308.0300000000007,10,1370.1999999999996,move,improve
80,15,3307.489999999999,10,1370.1999999999996,2opt,improve
81,15,3261.88,10,1370.1999999999996,swap,improve
82,15,3213.0599999999995,10,1370.1999999999996,2opt,improve
83,15,2834.6699999999996,10,1370.1999999999996,move,improve
84,15,3435.9700000000007,10,1370.1999999999996,swap,acceptBad
85,15,3441.1600000000008,10,1370.1999999999996,swap,acceptBad
86,15,3383.030000000001,10,1370.1999999999996,move,improve
87,15,3383.030000000001,10,1370.1999999999996,move,improve
88,15,2761.2299999999996,10,1370.1999999999996,move,improve
89,15,2442.4200000000005,10,1370.1999999999996,move,improve
90,15,2285.6500000000005,10,1370.1999999999996,move,improve
91,15,2304.580000000001,10,1370.1999999999996,swap,acceptBad
92,15,2762.260000000001,10,1370.1999999999996,2opt,acceptBad
93,15,2761.760000000001,10,1370.1999999999996,swap,improve
94,15,3247.2900000000004,10,1370.1999999999996,2opt,acceptBad
95,15,2816.07,10,1370.1999999999996,move,improve
96,15,2900.8800000000006,10,1370.1999999999996,2opt,acceptBad
