ins,Num_Run,i,date,alpha,iter,time,num_vehi,obj,BestVehi,BestKnown,gap
C101,33.0,13,2023-04-29,0.99,9578,183.996489036,10,827.2999999999997,10,827.3000000000001,-0.0
C102,25.0,1,2023-04-29,0.99,13735,66.581240974,10,827.2999999999998,10,827.3000000000001,-0.0
C103,25.0,17,2023-05-07,0.99,11983,40.0932782,10,826.3000000000001,10,826.3000000000001,0.0
C104,25.0,16,2023-05-07,0.99,11802,34.7099715,10,847.7999999999997,10,822.8999999999999,3.03
C105,25.0,24,2023-05-07,0.99,13592,63.0879635,10,827.2999999999997,10,827.3000000000001,-0.0
C106,25.0,6,2023-04-29,0.99,13456,57.684741543,10,827.2999999999997,10,827.3000000000001,-0.0
C107,25.0,14,2023-05-01,0.99,13839,45.9327281,10,827.2999999999997,10,827.3000000000001,-0.0
C108,25.0,21,2023-05-07,0.99,13680,49.7572335,10,827.3,10,827.3000000000001,-0.0
C109,25.0,19,2023-05-07,0.99,13806,43.5995788,10,853.0999999999999,10,827.3000000000001,3.12
C201,25.0,8,2023-04-29,0.99,11254,67.574048136,3,589.0999999999999,3,589.1000000000001,-0.0
C202,25.0,20,2023-05-07,0.99,13073,48.8141488,3,601.4000000000001,3,589.1,2.09
C203,25.0,23,2023-05-07,0.99,14598,38.5337872,4,643.6999999999998,3,588.7,9.34
C204,25.0,24,2023-05-07,0.99,11605,29.5074095,4,637.6999999999999,3,588.1000000000001,8.43
C205,25.0,19,2023-05-07,0.99,11662,36.9621027,4,613.1000000000001,3,586.4000000000001,4.55
C206,25.0,6,2023-04-29,0.99,14483,50.036496849,3,586.0000000000001,3,586.0000000000001,0.0
C207,25.0,7,2023-04-29,0.99,10888,31.765349881,4,612.9000000000001,3,585.8000000000002,4.63
C208,25.0,1,2023-04-29,0.99,13871,43.220743867,3,585.8,3,585.8000000000001,-0.0
R101,23.0,3,2023-04-29,0.99,12300,77.362229402,21,1661.5,19,1645.7,0.96
R102,23.0,12,2023-05-01,0.99,12606,53.39739,18,1476.7999999999997,17,1481.1999999999994,-0.3
R103,23.0,2,2023-04-29,0.99,14314,61.745892745,15,1226.7,13,1288.1,-4.77
R104,23.0,15,2023-05-07,0.99,11065,39.4403599,12,1029.0000000000002,9,1002.3999999999997,2.65
R105,23.0,17,2023-05-07,0.99,9522,54.394739,16,1370.6,14,1372.3000000000002,-0.12
R106,23.0,9,2023-04-29,0.99,11906,52.741664707,15,1298.3999999999994,12,1247.3999999999996,4.09
R107,23.0,4,2023-04-29,0.99,11182,42.421301528,13,1115.8000000000002,10,1100.1,1.43
R108,23.0,3,2023-04-29,0.99,13559,51.035536626,11,972.0999999999996,9,956.3999999999999,1.64
R109,23.0,1,2023-04-29,0.99,13627,59.22673193,14,1199.4,11,1189.8000000000004,0.81
R110,23.0,20,2023-05-07,0.99,14644,71.8290289,14,1138.4,10,1114.4000000000003,2.15
R111,23.0,17,2023-05-07,0.99,14506,60.2931643,13,1087.5000000000002,11,1189.8000000000004,-8.6
R112,23.0,19,2023-05-07,0.99,12087,47.6504599,11,996.5,9,977.7,1.92
R201,23.0,9,2023-04-29,0.99,10424,33.021254331,11,1187.3000000000004,4,1248.4000000000003,-4.89
R202,23.0,21,2023-05-07,0.99,14409,41.3269422,10,1094.1999999999998,3,1187.9,-7.89
R203,23.0,19,2023-05-07,0.99,14364,40.9151107,8,917.7000000000002,3,935.7000000000003,-1.92
R204,23.0,9,2023-04-29,0.99,12982,33.30974361,6,787.7000000000003,2,821.0999999999999,-4.07
R205,23.0,15,2023-05-07,0.99,16405,45.958167,8,1016.6999999999998,3,990.3000000000002,2.67
R206,23.0,14,2023-05-07,0.99,16139,43.8266,8,944.8000000000002,3,902.4000000000001,4.7
R207,23.0,13,2023-05-01,0.99,12995,31.5932947,6,839.3000000000002,2,886.6,-5.33
R208,23.0,6,2023-04-29,0.99,13080,34.271148741,5,728.2999999999998,2,722.6000000000003,0.79
R209,23.0,8,2023-04-29,0.99,12654,35.624848815,7,913.0999999999998,3,904.9000000000003,0.91
R210,23.0,8,2023-04-29,0.99,16967,47.162646875,8,957.5000000000005,3,935.2999999999998,2.37
R211,23.0,2,2023-04-29,0.99,11284,30.47926219,6,808.0000000000001,2,882.0,-8.39
RC101,23.0,16,2023-05-07,0.99,14517,97.9644045,17,1665.1,14,1693.1999999999998,-1.66
RC102,23.0,18,2023-05-07,0.99,15912,93.1102333,16,1518.9999999999995,12,1551.1000000000006,-2.07
RC103,23.0,3,2023-04-29,0.99,8054,34.322388588,13,1343.1999999999994,11,1258.0,6.77
RC104,23.0,17,2023-05-07,0.99,14552,58.1011174,11,1213.3000000000002,10,1132.3000000000004,7.15
RC105,23.0,12,2023-05-01,0.99,15496,75.595534,17,1567.6,13,1625.0000000000002,-3.53
RC106,23.0,12,2023-05-01,0.99,14069,61.3392274,15,1424.2000000000003,11,1420.9999999999998,0.23
RC107,23.0,3,2023-04-29,0.99,15957,83.928813268,13,1286.5999999999997,11,1227.1000000000004,4.85
RC108,23.0,16,2023-05-07,0.99,15215,66.8390033,12,1175.9000000000003,10,1136.3,3.48
RC201,23.0,20,2023-05-07,0.99,12475,38.0087339,10,1283.0000000000007,4,1403.2999999999997,-8.57
RC202,23.0,11,2023-05-01,0.99,13883,37.1912108,8,1132.7,3,1362.6999999999996,-16.88
RC203,23.0,1,2023-04-29,0.99,14278,39.179706869,7,987.9000000000002,3,1046.3,-5.58
RC204,23.0,20,2023-05-07,0.99,14630,37.5636837,5,836.6999999999999,3,795.5000000000003,5.18
RC205,23.0,16,2023-05-07,0.99,14909,43.9625351,9,1209.1000000000004,4,1294.3,-6.58
RC206,23.0,1,2023-04-29,0.99,13588,39.646064911,9,1136.1,3,1143.2999999999995,-0.63
RC207,23.0,2,2023-04-29,0.99,14098,40.790008794,8,1009.5000000000005,3,1057.8,-4.57
RC208,23.0,2,2023-04-29,0.99,14345,38.214050284,6,838.5,3,825.1,1.62
