ins,Num_Run,i,date,alpha,iter,time,num_vehi,obj,DiffRoute,Dis,BestVehi,BestKnown,BestDiffRoute,BestDis,gap
C101,11.0,1,2023-06-21,0.99,5205,4.0097146,3,191.3,"(6, 11)",191.29999999999993,3,191.3,"(6, 11)",191.3,-0.0
C102,11.0,3,2023-06-23,0.99,9912,4.69495,3,190.3,"(6, 11)",190.29999999999998,3,190.3,"(6, 11)",190.29999999999995,0.0
C103,11.0,1,2023-06-21,0.99,11417,5.2791555,3,190.3,"(6, 11)",190.29999999999995,3,190.3,"(6, 11)",190.29999999999995,0.0
C104,11.0,6,2023-06-23,0.99,12186,4.5978642,3,186.9,"(6, 10)",186.89999999999995,3,186.9,"(6, 10)",186.89999999999995,0.0
C105,11.0,1,2023-06-21,0.99,11471,6.2600426,3,191.3,"(6, 11)",191.29999999999995,3,191.3,"(6, 11)",191.29999999999995,0.0
C106,11.0,8,2023-06-23,0.99,4723,3.3772993,3,191.3,"(6, 11)",191.29999999999993,3,191.3,"(6, 11)",191.29999999999995,-0.0
C107,11.0,9,2023-06-23,0.99,11769,5.1915641,3,191.3,"(6, 11)",191.29999999999993,3,191.3,"(6, 11)",191.29999999999995,-0.0
C108,11.0,8,2023-06-23,0.99,11767,4.6029288,3,191.3,"(6, 11)",191.29999999999993,3,191.3,"(6, 11)",191.29999999999995,-0.0
C109,11.0,8,2023-06-23,0.99,12803,4.7863499,3,191.3,"(6, 11)",191.29999999999993,3,191.3,"(6, 11)",191.3,-0.0
C201,11.0,1,2023-06-21,0.99,6930,3.8995997,2,214.7,"(6, 19)",214.7,2,214.7,"(6, 19)",214.7,0.0
C202,11.0,1,2023-06-21,0.99,12902,5.126142,2,214.7,"(6, 19)",214.7,2,214.7,"(6, 19)",214.7,0.0
C203,11.0,1,2023-06-21,0.99,12144,4.493498,2,214.7,"(6, 19)",214.7,2,214.7,"(6, 19)",214.7,0.0
C204,11.0,1,2023-06-21,0.99,11082,4.1526721,2,214.5,"(6, 19)",214.5,2,214.5,"(6, 19)",214.49999999999997,0.0
C205,11.0,1,2023-06-21,0.99,10053,4.3727079,2,214.7,"(6, 19)",214.7,2,214.7,"(6, 19)",214.7,0.0
C206,11.0,1,2023-06-21,0.99,9525,3.9579904,2,214.7,"(6, 19)",214.7,2,214.7,"(6, 19)",214.7,0.0
C207,11.0,4,2023-06-23,0.99,20000,7.1160325,2,214.5,"(6, 19)",214.49999999999997,2,214.5,"(6, 19)",214.49999999999997,0.0
C208,11.0,3,2023-06-23,0.99,11035,4.3308952,2,214.5,"(6, 19)",214.5,2,214.5,"(6, 19)",214.5,0.0
R101,11.0,1,2023-06-21,0.99,20000,17.2151919,8,617.1,"(1, 5)",617.0999999999998,8,617.1,"(1, 4)",617.1,-0.0
R102,11.0,8,2023-06-23,0.99,6746,4.2115242,7,547.1,"(1, 5)",547.0999999999999,7,547.1,"(1, 5)",547.0999999999999,0.0
R103,11.0,5,2023-06-23,0.99,14497,7.3306608,5,454.6,"(2, 7)",454.6,5,454.6,"(2, 7)",454.6000000000001,-0.0
R104,11.0,10,2023-06-23,0.99,6464,3.1566455,4,416.9,"(5, 7)",416.90000000000003,4,416.8,"(5, 8)",416.8,0.02
R105,11.0,10,2023-06-23,0.99,7159,4.6283494,6,530.5,"(3, 5)",530.5,6,530.5,"(3, 5)",530.5,0.0
R106,11.0,2,2023-06-23,0.99,6386,3.6519575,5,465.4,"(4, 7)",465.40000000000003,Inf,Inf,Inf,Inf,NaN
R107,11.0,3,2023-06-23,0.99,8621,4.2556504,4,424.3,"(5, 8)",424.3,4,424.3,"(5, 8)",424.30000000000007,-0.0
R108,11.0,2,2023-06-23,0.99,7059,3.1796213,4,397.3,"(5, 8)",397.3,4,397.3,"(5, 8)",397.30000000000007,-0.0
R109,11.0,2,2023-06-23,0.99,5967,3.354151,5,441.3,"(4, 6)",441.3,5,441.3,"(4, 6)",441.30000000000007,-0.0
R110,11.0,1,2023-06-21,0.99,9657,5.0899371,5,444.7,"(3, 6)",444.7,Inf,Inf,Inf,Inf,NaN
R111,11.0,7,2023-06-23,0.99,8278,4.4891567,4,428.8,"(6, 7)",428.80000000000007,5,430.1,"(1, 7)",430.10000000000014,-0.3
R112,11.0,6,2023-06-23,0.99,6589,3.1007139,4,393.0,"(5, 8)",392.99999999999994,4,393.0,"(5, 8)",393.0,-0.0
R201,11.0,6,2023-06-23,0.99,9708,4.2574945,4,463.3,"(6, 7)",463.3000000000001,4,463.3,"(6, 7)",463.3000000000001,0.0
R202,11.0,5,2023-06-23,0.99,8809,3.5804889,4,410.5,"(5, 7)",410.5,4,410.5,"(5, 7)",410.5000000000001,-0.0
R203,11.0,8,2023-06-23,0.99,16965,5.9652788,3,391.4,"(7, 10)",391.4,3,391.4,"(7, 10)",391.40000000000003,-0.0
R204,11.0,5,2023-06-23,0.99,10739,3.5856861,2,355.0,"(8, 17)",355.00000000000006,2,355.0,"(8, 17)",355.00000000000006,0.0
R205,11.0,8,2023-06-23,0.99,9277,3.6962699,3,393.0,"(3, 15)",393.0,3,393.0,"(3, 15)",393.00000000000006,-0.0
R206,11.0,3,2023-06-23,0.99,9116,3.570611,4,374.9,"(1, 9)",374.90000000000003,3,374.4,"(6, 12)",374.4000000000001,0.13
R207,11.0,7,2023-06-23,0.99,9368,3.4007559,3,361.6,"(6, 10)",361.6000000000001,3,361.6,"(6, 10)",361.6000000000001,0.0
R208,11.0,4,2023-06-23,0.99,13481,4.5373932,1,330.2,"(25, 25)",330.2,2,334.6,"(12, 13)",334.6,-1.32
R209,11.0,9,2023-06-23,0.99,13109,4.6672393,2,372.0,"(10, 15)",371.99999999999994,2,370.7,"(10, 15)",370.7,0.35
R210,11.0,4,2023-06-23,0.99,9377,3.4542061,2,409.7,"(11, 14)",409.7000000000001,3,404.6,"(6, 11)",404.6,1.26
R211,11.0,9,2023-06-23,0.99,8528,2.9520623,2,355.4,"(11, 14)",355.4000000000001,2,350.9,"(12, 13)",350.9,1.28
RC101,11.0,4,2023-06-23,0.99,8545,5.624,4,461.1,"(3, 8)",461.1,4,461.1,"(3, 8)",461.10000000000014,-0.0
RC102,11.0,11,2023-06-23,0.99,6900,4.0030178,3,352.0,"(8, 9)",352.00000000000006,3,351.8,"(8, 9)",351.79999999999995,0.06
