ins,Num_Run,i,date,alpha,iter,time,DiffRoute,Vehi,Dis,Comp,MaxComp,Balance,BestDiff,BestVehi,BestDis,BestComp,BestMaxComp,BestBalance,GapDis,GapComp,GapMaxComp,GapBalance
C101,10.0,5,2023-10-28,0.99,8240,5922.894748434,"(8, 13)",10,827.3,64357.0,1216.6,7649.1,"(8, 13)",10,827.3000000000001,64356.999999999956,1216.6,7649.1,-0.0,0.0,0.0,0.0
C102,10.0,9,2023-10-28,0.99,12444,1127.256797923,"(8, 13)",10,827.2999999999998,64356.99999999999,1216.6,7649.100000000004,"(8, 13)",10,827.3000000000001,64356.99999999995,1216.6,7649.1,-0.0,0.0,0.0,0.0
C103,10.0,5,2023-10-28,0.99,13105,3739.845583274,"(8, 13)",10,826.3,65538.99999999999,1216.6,7113.800000000001,"(8, 13)",10,826.3000000000001,65538.99999999997,1216.6,7113.800000000002,-0.0,0.0,0.0,-0.0
C104,10.0,1,2023-10-27,0.99,14057,2423.12964386,"(8, 12)",10,874.1,69705.60000000003,1224.8,6719.6,"(8, 13)",10,822.8999999999999,65200.10000000006,1216.6,6637.599999999999,6.22,6.91,0.67,1.24
C105,10.0,9,2023-10-28,0.99,11456,4015.871368324,"(8, 13)",10,827.2999999999996,64356.99999999995,1216.6,7649.0999999999985,"(8, 13)",10,827.3000000000001,64356.999999999956,1216.6,7649.1,-0.0,-0.0,0.0,-0.0
C106,10.0,1,2023-10-27,0.99,15878,2028.003049347,"(8, 13)",10,827.2999999999997,64356.99999999995,1216.6,7649.1,"(8, 13)",10,827.3000000000001,64356.999999999956,1216.6,7649.1,-0.0,-0.0,0.0,0.0
C107,10.0,1,2023-10-27,0.99,12176,3572.659636863,"(8, 13)",10,827.2999999999996,64356.99999999998,1216.6,7649.1,"(8, 13)",10,827.3000000000001,64356.999999999956,1216.6,7649.1,-0.0,0.0,0.0,0.0
C108,10.0,9,2023-10-28,0.99,16346,1150.17683478,"(8, 13)",10,827.3,64355.40000000003,1216.6,7649.100000000002,"(8, 13)",10,827.3000000000001,64356.99999999997,1216.6,7649.100000000002,-0.0,-0.0,0.0,0.0
C109,10.0,6,2023-10-28,0.99,12979,3431.19412613,"(8, 12)",10,853.3,64405.49999999993,1159.1,6937.0999999999985,"(8, 13)",10,827.3000000000001,64356.99999999997,1216.6,7649.100000000001,3.14,0.08,-4.73,-9.31
C201,10.0,6,2023-10-28,0.99,10111,2115.234297014,"(32, 35)",3,589.0999999999999,173464.20000000004,3366.9,680.6000000000004,"(32, 35)",3,589.1000000000001,173464.20000000004,3366.9,680.6000000000004,-0.0,0.0,0.0,0.0
