i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-27,5.24,6.6,77.49477765951684,0.99,5,659.5000000000001,12150,2489.384053012
2,2023-10-27,7.19,7.52,130.6899878227595,0.99,6,687.7,11001,2015.407528507
3,2023-10-27,9.5,9.38,92.86219261963825,0.99,4,613.1000000000001,11478,1958.118801055
4,2023-10-27,10.36,11.15,150.43524343007473,0.99,5,670.0000000000001,10191,2344.737611559
5,2023-10-28,5.54,6.25,143.06241965628547,0.99,4,632.4,9213,1860.5274942
6,2023-10-28,7.40,8.18,42.830083178787675,0.99,5,657.6999999999999,15957,2255.931754976
7,2023-10-28,9.27,9.59,100.63692934827506,0.99,4,613.1000000000003,11022,1940.332288362
8,2023-10-28,11.4,11.43,60.277093305459985,0.99,4,613.1000000000003,12865,2345.134895383
9,2023-10-28,12.45,13.21,86.55363187142909,0.99,6,752.5000000000001,12423,2154.986902854
10,2023-10-28,14.19,14.56,128.0892570650865,0.99,6,698.3,10191,2192.659060878
