i,vehi,obj,vehiBest,objBest,loFunc,note
1,20,2264.6999999999994,20,2264.6999999999994,move,improve
2,20,2244.2999999999993,20,2244.2999999999993,move,newBest
3,20,2244.2999999999993,20,2244.2999999999993,move,improve
4,20,2277.3999999999996,20,2244.2999999999993,swap,acceptBad
5,20,2277.3999999999996,20,2244.2999999999993,move,improve
6,20,2306.1999999999994,20,2244.2999999999993,swap,acceptBad
7,20,2301.1999999999994,20,2244.2999999999993,2opt,improve
8,20,2310.999999999999,20,2244.2999999999993,swap,acceptBad
9,20,2277.8999999999987,20,2244.2999999999993,swap,improve
10,20,2275.099999999999,20,2244.2999999999993,swap,improve
11,20,2275.099999999999,20,2244.2999999999993,move,improve
12,20,2280.1999999999994,20,2244.2999999999993,swap,acceptBad
13,20,2284.2999999999993,20,2244.2999999999993,swap,acceptBad
14,20,2308.7999999999993,20,2244.2999999999993,2opt,acceptBad
15,20,2268.8999999999996,20,2244.2999999999993,swap,improve
16,20,2278.4999999999995,20,2244.2999999999993,swap,acceptBad
17,20,2291.399999999999,20,2244.2999999999993,swap,acceptBad
18,20,2298.899999999999,20,2244.2999999999993,swap,acceptBad
19,20,2294.8000000000006,20,2244.2999999999993,2opt,improve
20,20,2294.8000000000006,20,2244.2999999999993,move,improve
21,20,2286.8000000000006,20,2244.2999999999993,move,improve
22,20,2296.000000000001,20,2244.2999999999993,swap,acceptBad
23,21,2329.6000000000013,20,2244.2999999999993,2opt,acceptBad
24,21,2354.700000000001,20,2244.2999999999993,swap,acceptBad
25,21,2316.9000000000015,20,2244.2999999999993,swap,improve
26,21,2316.9000000000015,20,2244.2999999999993,move,improve
27,21,2348.8000000000015,20,2244.2999999999993,swap,acceptBad
28,21,2345.7000000000016,20,2244.2999999999993,move,improve
29,21,2322.200000000001,20,2244.2999999999993,swap,improve
30,21,2321.800000000001,20,2244.2999999999993,move,improve
31,21,2321.800000000001,20,2244.2999999999993,move,improve
32,21,2321.800000000001,20,2244.2999999999993,move,improve
33,21,2337.7000000000003,20,2244.2999999999993,2opt,acceptBad
34,21,2337.7000000000003,20,2244.2999999999993,move,improve
35,20,2301.1,20,2244.2999999999993,move,improve
36,21,2317.6000000000004,20,2244.2999999999993,2opt,acceptBad
37,21,2317.6000000000004,20,2244.2999999999993,move,improve
38,21,2320.6000000000004,20,2244.2999999999993,2opt,acceptBad
39,21,2326.999999999999,20,2244.2999999999993,2opt,acceptBad
40,21,2326.999999999999,20,2244.2999999999993,move,improve
41,21,2326.999999999999,20,2244.2999999999993,move,improve
42,21,2326.999999999999,20,2244.2999999999993,move,improve
43,21,2326.9999999999995,20,2244.2999999999993,2opt,acceptBad
44,21,2326.9999999999995,20,2244.2999999999993,move,improve
45,21,2331.4999999999995,20,2244.2999999999993,swap,acceptBad
46,21,2309.2999999999993,20,2244.2999999999993,move,improve
47,21,2311.6,20,2244.2999999999993,2opt,acceptBad
48,21,2311.6,20,2244.2999999999993,2opt,improve
49,21,2311.6,20,2244.2999999999993,move,improve
50,21,2317.1,20,2244.2999999999993,swap,acceptBad
51,21,2314.3999999999996,20,2244.2999999999993,swap,improve
52,21,2314.1,20,2244.2999999999993,swap,improve
53,21,2332.099999999999,20,2244.2999999999993,2opt,acceptBad
54,21,2371.6000000000004,20,2244.2999999999993,2opt,acceptBad
55,21,2347.1000000000004,20,2244.2999999999993,move,improve
56,21,2346.7000000000003,20,2244.2999999999993,swap,improve
57,21,2346.7000000000003,20,2244.2999999999993,2opt,improve
58,21,2323.7000000000003,20,2244.2999999999993,swap,improve
59,21,2320.7000000000003,20,2244.2999999999993,swap,improve
60,21,2309.9,20,2244.2999999999993,swap,improve
61,21,2309.9,20,2244.2999999999993,2opt,improve
62,21,2307.1000000000004,20,2244.2999999999993,move,improve
63,21,2304.9000000000005,20,2244.2999999999993,swap,improve
64,21,2304.9000000000005,20,2244.2999999999993,move,improve
65,21,2317.199999999999,20,2244.2999999999993,2opt,acceptBad
66,21,2301.6,20,2244.2999999999993,2opt,improve
67,21,2302.9999999999995,20,2244.2999999999993,swap,acceptBad
68,21,2299.4999999999995,20,2244.2999999999993,2opt,improve
69,21,2271.0,20,2244.2999999999993,swap,improve
70,21,2271.0,20,2244.2999999999993,move,improve
71,21,2271.999999999999,20,2244.2999999999993,2opt,acceptBad
72,21,2264.299999999999,20,2244.2999999999993,swap,improve
73,21,2242.499999999999,21,2242.499999999999,move,newBest
74,21,2256.0999999999985,21,2242.499999999999,swap,acceptBad
75,21,2264.9999999999986,21,2242.499999999999,swap,acceptBad
76,21,2263.0999999999985,21,2242.499999999999,move,improve
77,21,2294.0999999999985,21,2242.499999999999,swap,acceptBad
78,21,2286.5999999999985,21,2242.499999999999,move,improve
79,21,2286.5999999999985,21,2242.499999999999,move,improve
80,21,2328.5999999999985,21,2242.499999999999,swap,acceptBad
81,21,2324.2,21,2242.499999999999,2opt,improve
82,21,2317.1,21,2242.499999999999,swap,improve
83,21,2295.4999999999995,21,2242.499999999999,move,improve
84,21,2264.5999999999995,21,2242.499999999999,2opt,improve
85,21,2226.5999999999995,21,2226.5999999999995,move,newBest
86,21,2235.6999999999994,21,2226.5999999999995,move,acceptBad
87,21,2283.999999999999,21,2226.5999999999995,2opt,acceptBad
88,21,2274.199999999999,21,2226.5999999999995,move,improve
89,21,2279.4999999999986,21,2226.5999999999995,2opt,acceptBad
90,21,2269.2999999999993,21,2226.5999999999995,2opt,improve
91,21,2265.6999999999994,21,2226.5999999999995,2opt,improve
92,21,2288.4999999999995,21,2226.5999999999995,swap,acceptBad
93,22,2299.5,21,2226.5999999999995,2opt,acceptBad
94,22,2298.7999999999993,21,2226.5999999999995,2opt,improve
95,22,2298.7999999999993,21,2226.5999999999995,move,improve
96,22,2319.699999999999,21,2226.5999999999995,swap,acceptBad
97,22,2319.699999999999,21,2226.5999999999995,move,improve
98,22,2269.199999999999,21,2226.5999999999995,swap,improve
99,22,2287.9,21,2226.5999999999995,2opt,acceptBad
100,22,2286.8000000000006,21,2226.5999999999995,move,improve
101,22,2277.7000000000003,21,2226.5999999999995,move,improve
102,22,2294.999999999999,21,2226.5999999999995,2opt,acceptBad
103,22,2294.999999999999,21,2226.5999999999995,move,improve
104,22,2283.6000000000004,21,2226.5999999999995,2opt,improve
105,22,2294.2999999999993,21,2226.5999999999995,2opt,acceptBad
106,22,2313.399999999999,21,2226.5999999999995,swap,acceptBad
107,22,2302.1999999999985,21,2226.5999999999995,2opt,improve
108,22,2300.599999999998,21,2226.5999999999995,move,improve
109,23,2342.0999999999985,21,2226.5999999999995,2opt,acceptBad
110,23,2341.699999999999,21,2226.5999999999995,move,improve
111,23,2304.8999999999996,21,2226.5999999999995,move,improve
112,23,2327.1999999999994,21,2226.5999999999995,swap,acceptBad
113,23,2324.2999999999993,21,2226.5999999999995,move,improve
114,23,2313.9999999999995,21,2226.5999999999995,move,improve
115,23,2308.399999999999,21,2226.5999999999995,move,improve
116,24,2347.6999999999994,21,2226.5999999999995,2opt,acceptBad
117,24,2347.6999999999994,21,2226.5999999999995,move,improve
118,24,2347.6999999999994,21,2226.5999999999995,move,improve
119,24,2347.6999999999994,21,2226.5999999999995,2opt,improve
120,24,2366.4999999999995,21,2226.5999999999995,2opt,acceptBad
121,24,2379.5999999999995,21,2226.5999999999995,swap,acceptBad
122,24,2383.5,21,2226.5999999999995,2opt,acceptBad
123,24,2434.399999999999,21,2226.5999999999995,swap,acceptBad
124,24,2425.599999999999,21,2226.5999999999995,2opt,improve
125,25,2473.9999999999995,21,2226.5999999999995,2opt,acceptBad
126,25,2473.0999999999995,21,2226.5999999999995,move,improve
