i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-04-29,16.32,16.33,84.83121459718757,0.99,16,1326.1,10813,46.529643696
2,2023-04-29,17.17,17.19,14.321388593656524,0.99,15,1308.6999999999996,18019,90.038776146
3,2023-04-29,18.5,18.5,151.95479134350995,0.99,16,1354.2999999999997,8902,39.522183795
4,2023-04-29,18.50,18.51,47.35839460149709,0.99,15,1312.1999999999998,13048,60.841688541
5,2023-04-29,19.36,19.37,66.65003096713653,0.99,15,1319.7999999999997,11686,51.065265248
6,2023-04-29,20.21,20.22,69.3840389438392,0.99,16,1355.6999999999998,12111,80.771894129
7,2023-04-29,21.6,21.7,62.74968111252102,0.99,15,1331.599999999999,11645,52.297907043
8,2023-04-29,21.51,21.52,28.941531377575046,0.99,17,1369.7,15560,64.910811952
9,2023-04-29,22.35,22.36,75.95263158409247,0.99,15,1298.3999999999994,11906,52.741664707
10,2023-04-29,23.21,23.21,56.74968681068254,0.99,16,1336.8000000000002,12277,55.159748709
