i,vehi,obj,vehiBest,objBest,loFunc,note
1,19,2205.3999999999996,19,2140.7999999999997,2opt,acceptBad
2,19,2205.3999999999996,19,2140.7999999999997,move,improve
3,19,2205.3999999999996,19,2140.7999999999997,2opt,improve
4,19,2205.3999999999996,19,2140.7999999999997,2opt,improve
5,19,2268.6999999999994,19,2140.7999999999997,swap,acceptBad
6,19,2268.6999999999994,19,2140.7999999999997,move,improve
7,19,2268.6999999999994,19,2140.7999999999997,move,improve
8,19,2275.1999999999994,19,2140.7999999999997,swap,acceptBad
9,19,2289.7,19,2140.7999999999997,swap,acceptBad
10,19,2289.7,19,2140.7999999999997,move,improve
11,20,2385.9999999999995,19,2140.7999999999997,2opt,acceptBad
12,20,2426.3999999999996,19,2140.7999999999997,swap,acceptBad
13,21,2489.2999999999997,19,2140.7999999999997,2opt,acceptBad
14,21,2521.8999999999996,19,2140.7999999999997,swap,acceptBad
15,22,2625.1999999999994,19,2140.7999999999997,2opt,acceptBad
16,22,2625.1999999999994,19,2140.7999999999997,2opt,improve
17,22,2646.4000000000015,19,2140.7999999999997,2opt,acceptBad
18,22,2660.9000000000015,19,2140.7999999999997,swap,acceptBad
19,23,2748.000000000001,19,2140.7999999999997,2opt,acceptBad
20,23,2769.0000000000014,19,2140.7999999999997,swap,acceptBad
21,23,2769.0000000000014,19,2140.7999999999997,move,improve
22,23,2766.9000000000015,19,2140.7999999999997,2opt,improve
23,23,2752.500000000002,19,2140.7999999999997,move,improve
24,23,2752.500000000002,19,2140.7999999999997,move,improve
25,23,2752.1000000000013,19,2140.7999999999997,move,improve
26,23,2752.1000000000013,19,2140.7999999999997,2opt,improve
27,23,2752.1000000000013,19,2140.7999999999997,move,improve
28,24,2824.1000000000017,19,2140.7999999999997,2opt,acceptBad
29,24,2824.1000000000017,19,2140.7999999999997,move,improve
30,24,2824.1000000000017,19,2140.7999999999997,2opt,improve
31,24,2824.1000000000017,19,2140.7999999999997,move,improve
32,24,2824.1000000000017,19,2140.7999999999997,move,improve
33,24,2752.500000000001,19,2140.7999999999997,move,improve
34,24,2752.500000000001,19,2140.7999999999997,move,improve
35,24,2732.300000000001,19,2140.7999999999997,move,improve
36,24,2728.700000000001,19,2140.7999999999997,move,improve
37,24,2730.000000000001,19,2140.7999999999997,swap,acceptBad
38,24,2713.8000000000006,19,2140.7999999999997,swap,improve
39,24,2737.3000000000006,19,2140.7999999999997,swap,acceptBad
40,24,2737.3000000000006,19,2140.7999999999997,move,improve
41,24,2737.3000000000006,19,2140.7999999999997,2opt,improve
42,24,2747.8000000000006,19,2140.7999999999997,swap,acceptBad
43,24,2788.6,19,2140.7999999999997,2opt,acceptBad
44,25,2843.7999999999997,19,2140.7999999999997,2opt,acceptBad
45,25,2845.7999999999997,19,2140.7999999999997,swap,acceptBad
46,25,2829.2999999999997,19,2140.7999999999997,move,improve
47,25,2829.399999999999,19,2140.7999999999997,swap,acceptBad
48,25,2817.7,19,2140.7999999999997,2opt,improve
49,25,2817.7,19,2140.7999999999997,move,improve
50,25,2817.7,19,2140.7999999999997,move,improve
51,25,2817.7,19,2140.7999999999997,swap,improve
52,26,2881.2000000000003,19,2140.7999999999997,2opt,acceptBad
53,26,2881.3999999999996,19,2140.7999999999997,2opt,acceptBad
54,26,2869.1000000000004,19,2140.7999999999997,swap,improve
55,26,2869.1000000000004,19,2140.7999999999997,move,improve
56,26,2869.1000000000004,19,2140.7999999999997,move,improve
57,26,2906.900000000001,19,2140.7999999999997,2opt,acceptBad
58,27,2974.7000000000007,19,2140.7999999999997,2opt,acceptBad
59,27,2970.8000000000006,19,2140.7999999999997,move,improve
60,27,3019.8999999999996,19,2140.7999999999997,2opt,acceptBad
61,27,3034.7,19,2140.7999999999997,swap,acceptBad
62,27,3102.5,19,2140.7999999999997,swap,acceptBad
63,27,3099.4,19,2140.7999999999997,2opt,improve
64,27,3060.2,19,2140.7999999999997,move,improve
65,27,3055.6000000000004,19,2140.7999999999997,swap,improve
66,27,3097.2000000000003,19,2140.7999999999997,2opt,acceptBad
67,27,3100.3,19,2140.7999999999997,2opt,acceptBad
68,27,3114.0,19,2140.7999999999997,2opt,acceptBad
69,27,3124.4999999999995,19,2140.7999999999997,swap,acceptBad
70,27,3122.5,19,2140.7999999999997,swap,improve
71,27,3133.5000000000005,19,2140.7999999999997,2opt,acceptBad
72,27,3133.5000000000005,19,2140.7999999999997,move,improve
73,27,3140.2999999999997,19,2140.7999999999997,2opt,acceptBad
74,27,3138.9,19,2140.7999999999997,swap,improve
75,28,3195.7999999999997,19,2140.7999999999997,2opt,acceptBad
76,28,3252.2,19,2140.7999999999997,swap,acceptBad
77,28,3252.1,19,2140.7999999999997,move,improve
78,28,3226.7999999999997,19,2140.7999999999997,2opt,improve
79,28,3226.7999999999997,19,2140.7999999999997,move,improve
80,28,3228.0999999999995,19,2140.7999999999997,swap,acceptBad
81,28,3177.499999999999,19,2140.7999999999997,2opt,improve
82,28,3182.1999999999994,19,2140.7999999999997,swap,acceptBad
83,28,3212.899999999999,19,2140.7999999999997,swap,acceptBad
84,28,3209.5999999999995,19,2140.7999999999997,move,improve
85,28,3184.9999999999995,19,2140.7999999999997,swap,improve
86,28,3203.6999999999994,19,2140.7999999999997,swap,acceptBad
87,28,3155.4999999999995,19,2140.7999999999997,swap,improve
88,28,3141.8999999999996,19,2140.7999999999997,2opt,improve
89,28,3135.0999999999995,19,2140.7999999999997,move,improve
90,28,3135.0999999999995,19,2140.7999999999997,2opt,improve
91,28,3146.7999999999993,19,2140.7999999999997,swap,acceptBad
92,29,3199.7,19,2140.7999999999997,2opt,acceptBad
93,29,3199.7,19,2140.7999999999997,move,improve
94,29,3209.7999999999997,19,2140.7999999999997,swap,acceptBad
95,29,3196.2999999999997,19,2140.7999999999997,swap,improve
96,29,3196.2999999999997,19,2140.7999999999997,move,improve
97,29,3194.7000000000003,19,2140.7999999999997,move,improve
98,29,3200.0000000000014,19,2140.7999999999997,2opt,acceptBad
99,28,3161.8000000000006,19,2140.7999999999997,move,improve
100,28,3163.8,19,2140.7999999999997,swap,acceptBad
101,28,3186.8,19,2140.7999999999997,2opt,acceptBad
102,28,3177.3999999999996,19,2140.7999999999997,swap,improve
103,28,3153.8999999999996,19,2140.7999999999997,move,improve
104,28,3160.6,19,2140.7999999999997,swap,acceptBad
105,28,3147.6,19,2140.7999999999997,swap,improve
106,28,3133.1,19,2140.7999999999997,swap,improve
107,28,3105.7999999999997,19,2140.7999999999997,move,improve
108,28,3094.0999999999995,19,2140.7999999999997,move,improve
109,28,3163.9999999999995,19,2140.7999999999997,swap,acceptBad
110,28,3165.5999999999995,19,2140.7999999999997,swap,acceptBad
111,28,3165.5999999999995,19,2140.7999999999997,2opt,improve
112,28,3210.6999999999994,19,2140.7999999999997,swap,acceptBad
113,28,3206.699999999999,19,2140.7999999999997,swap,improve
114,28,3263.8999999999987,19,2140.7999999999997,2opt,acceptBad
115,28,3298.4999999999986,19,2140.7999999999997,swap,acceptBad
116,28,3312.499999999999,19,2140.7999999999997,swap,acceptBad
117,28,3312.499999999999,19,2140.7999999999997,2opt,improve
118,28,3304.199999999999,19,2140.7999999999997,move,improve
119,28,3299.7999999999993,19,2140.7999999999997,move,improve
120,28,3296.7999999999997,19,2140.7999999999997,2opt,improve
121,28,3296.7999999999997,19,2140.7999999999997,2opt,improve
122,28,3296.7999999999997,19,2140.7999999999997,move,improve
123,28,3311.9999999999995,19,2140.7999999999997,swap,acceptBad
124,28,3316.0,19,2140.7999999999997,swap,acceptBad
125,28,3366.2999999999997,19,2140.7999999999997,swap,acceptBad
126,28,3381.0,19,2140.7999999999997,swap,acceptBad
127,28,3408.7,19,2140.7999999999997,swap,acceptBad
128,28,3409.6999999999994,19,2140.7999999999997,swap,acceptBad
129,28,3409.6999999999994,19,2140.7999999999997,2opt,improve
130,28,3393.8999999999996,19,2140.7999999999997,move,improve
131,28,3371.1,19,2140.7999999999997,swap,improve
132,28,3369.2000000000003,19,2140.7999999999997,2opt,improve
133,29,3448.2000000000003,19,2140.7999999999997,2opt,acceptBad
134,29,3442.3,19,2140.7999999999997,move,improve
135,29,3408.9,19,2140.7999999999997,swap,improve
136,29,3443.499999999999,19,2140.7999999999997,2opt,acceptBad
137,29,3455.2,19,2140.7999999999997,2opt,acceptBad
138,29,3440.7,19,2140.7999999999997,swap,improve
139,29,3434.4,19,2140.7999999999997,2opt,improve
140,29,3466.7000000000003,19,2140.7999999999997,swap,acceptBad
141,30,3519.6000000000004,19,2140.7999999999997,2opt,acceptBad
142,30,3525.5999999999995,19,2140.7999999999997,2opt,acceptBad
143,30,3514.1999999999994,19,2140.7999999999997,swap,improve
144,30,3497.0999999999995,19,2140.7999999999997,2opt,improve
145,30,3497.0999999999995,19,2140.7999999999997,2opt,improve
146,30,3498.0999999999995,19,2140.7999999999997,2opt,acceptBad
147,30,3469.899999999999,19,2140.7999999999997,move,improve
148,30,3469.899999999999,19,2140.7999999999997,2opt,improve
149,30,3471.9999999999995,19,2140.7999999999997,2opt,acceptBad
150,30,3482.299999999999,19,2140.7999999999997,2opt,acceptBad
151,30,3491.8999999999987,19,2140.7999999999997,swap,acceptBad
152,30,3511.3999999999983,19,2140.7999999999997,swap,acceptBad
153,30,3471.099999999999,19,2140.7999999999997,move,improve
154,30,3499.599999999999,19,2140.7999999999997,swap,acceptBad
155,30,3498.899999999999,19,2140.7999999999997,move,improve
156,30,3495.199999999999,19,2140.7999999999997,move,improve
157,30,3583.099999999999,19,2140.7999999999997,swap,acceptBad
158,30,3585.499999999999,19,2140.7999999999997,2opt,acceptBad
159,30,3551.999999999999,19,2140.7999999999997,2opt,improve
160,30,3553.4,19,2140.7999999999997,2opt,acceptBad
161,30,3540.9,19,2140.7999999999997,swap,improve
162,30,3462.4000000000005,19,2140.7999999999997,swap,improve
163,30,3432.7000000000007,19,2140.7999999999997,swap,improve
164,30,3447.6000000000013,19,2140.7999999999997,swap,acceptBad
165,30,3399.8000000000006,19,2140.7999999999997,move,improve
166,30,3353.8000000000006,19,2140.7999999999997,move,improve
167,30,3341.3000000000006,19,2140.7999999999997,2opt,improve
168,30,3355.8000000000006,19,2140.7999999999997,swap,acceptBad
169,30,3355.2000000000007,19,2140.7999999999997,move,improve
170,30,3300.500000000001,19,2140.7999999999997,2opt,improve
171,30,3331.100000000001,19,2140.7999999999997,2opt,acceptBad
172,30,3327.200000000001,19,2140.7999999999997,move,improve
173,30,3327.200000000001,19,2140.7999999999997,move,improve
174,30,3300.100000000001,19,2140.7999999999997,2opt,improve
175,30,3339.500000000001,19,2140.7999999999997,swap,acceptBad
176,30,3350.4000000000005,19,2140.7999999999997,2opt,acceptBad
177,30,3350.4000000000005,19,2140.7999999999997,2opt,improve
178,30,3336.200000000001,19,2140.7999999999997,2opt,improve
179,30,3342.300000000001,19,2140.7999999999997,swap,acceptBad
180,30,3343.300000000001,19,2140.7999999999997,swap,acceptBad
181,30,3344.6000000000013,19,2140.7999999999997,swap,acceptBad
182,30,3341.800000000001,19,2140.7999999999997,move,improve
183,30,3363.7000000000007,19,2140.7999999999997,2opt,acceptBad
184,30,3356.100000000001,19,2140.7999999999997,swap,improve
185,30,3441.000000000001,19,2140.7999999999997,2opt,acceptBad
186,30,3412.1000000000004,19,2140.7999999999997,2opt,improve
187,30,3374.1000000000004,19,2140.7999999999997,2opt,improve
