i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-04-29,16.56,16.57,77.49477765951687,0.99,7,1023.6000000000005,15544,44.44694796
2,2023-04-29,17.44,17.45,96.67143279060483,0.99,8,1009.5000000000005,14098,40.790008794
3,2023-04-29,18.30,18.31,118.19368237002247,0.99,8,1045.4000000000003,13496,38.431431804
4,2023-04-29,19.15,19.16,37.58429840618064,0.99,8,1022.7000000000005,17886,49.105567659
5,2023-04-29,20.1,20.2,43.699707355155304,0.99,9,1087.4,16954,48.09453361
6,2023-04-29,20.46,20.47,86.55363187142895,0.99,9,1111.1999999999998,14552,42.451645775
7,2023-04-29,21.31,21.31,264.10626026743194,0.99,8,1073.8000000000004,8976,26.040509468
8,2023-04-29,22.16,22.17,105.82332523758515,0.99,11,1181.8,13631,39.70322306
9,2023-04-29,23.0,23.1,144.50749460230847,0.99,10,1143.0999999999997,12592,35.912939419
10,2023-04-29,23.46,23.46,75.95263158409243,0.99,9,1090.6999999999998,15133,42.895015886
11,2023-05-01,14.20,14.21,171.4320677081394,0.99,8,1049.2,11230,29.9416513
12,2023-05-01,15.0,15.1,49.3010527927312,0.99,8,1041.1,16528,42.8958823
13,2023-05-01,15.41,15.42,109.06259332183691,0.99,8,1060.0000000000002,13799,35.9982516
14,2023-05-07,0.43,0.44,84.83121459718753,0.99,9,1062.0000000000002,14461,40.3278298
15,2023-05-07,1.28,1.29,51.841817690853205,0.99,8,1096.8999999999999,16910,46.479002
16,2023-05-07,2.14,2.14,120.59349287830067,0.99,9,1078.8000000000004,13076,37.2543289
17,2023-05-07,2.59,2.59,246.16429336057791,0.99,9,1101.3000000000002,9733,29.2490275
18,2023-05-07,3.47,3.48,120.5934928783005,0.99,6,1014.3000000000002,12458,37.8018024
19,2023-05-07,4.39,4.39,70.08488782205964,0.99,8,1054.8,15446,48.2007785
20,2023-05-07,5.26,5.27,218.19630559150738,0.99,9,1054.1000000000001,10937,30.2754227
21,2023-05-07,6.10,6.11,84.83121459718757,0.99,9,1128.1,14331,39.9704874
22,2023-05-07,6.55,6.56,166.34036386513992,0.99,10,1171.4999999999995,11924,33.3406413
23,2023-05-08,14.4,14.5,168.02056956074745,0.99,7,1087.0000000000002,11707,33.2664471
