i,vehi,obj,vehiBest,objBest,loFunc,note
1,3,252.69999999999996,3,191.29999999999995,swap,acceptBad
2,3,253.39999999999992,3,191.29999999999995,swap,acceptBad
3,3,253.39999999999992,3,191.29999999999995,move,improve
4,3,256.49999999999994,3,191.29999999999995,swap,acceptBad
5,3,256.49999999999994,3,191.29999999999995,move,improve
6,3,253.39999999999992,3,191.29999999999995,swap,improve
7,3,256.49999999999994,3,191.29999999999995,swap,acceptBad
8,3,256.49999999999994,3,191.29999999999995,move,improve
9,4,284.4,3,191.29999999999995,2opt,acceptBad
10,4,284.4,3,191.29999999999995,move,improve
11,5,367.8,3,191.29999999999995,2opt,acceptBad
12,5,367.4,3,191.29999999999995,swap,improve
13,5,349.99999999999994,3,191.29999999999995,swap,improve
14,5,349.99999999999994,3,191.29999999999995,move,improve
15,6,416.09999999999997,3,191.29999999999995,2opt,acceptBad
16,6,413.49999999999994,3,191.29999999999995,move,improve
17,6,419.20000000000016,3,191.29999999999995,2opt,acceptBad
18,6,423.60000000000014,3,191.29999999999995,swap,acceptBad
19,6,449.60000000000014,3,191.29999999999995,swap,acceptBad
20,6,451.1000000000001,3,191.29999999999995,2opt,acceptBad
21,6,451.1000000000001,3,191.29999999999995,2opt,improve
22,6,451.20000000000005,3,191.29999999999995,2opt,acceptBad
23,6,459.6000000000001,3,191.29999999999995,2opt,acceptBad
24,6,491.40000000000003,3,191.29999999999995,swap,acceptBad
25,6,489.80000000000007,3,191.29999999999995,move,improve
26,6,498.6000000000001,3,191.29999999999995,swap,acceptBad
27,6,514.5999999999999,3,191.29999999999995,2opt,acceptBad
28,6,500.9,3,191.29999999999995,swap,improve
29,7,543.7,3,191.29999999999995,2opt,acceptBad
30,7,551.5,3,191.29999999999995,swap,acceptBad
31,7,535.5,3,191.29999999999995,swap,improve
32,7,543.4000000000002,3,191.29999999999995,2opt,acceptBad
33,7,541.6000000000001,3,191.29999999999995,swap,improve
34,7,526.1,3,191.29999999999995,move,improve
35,7,554.5000000000001,3,191.29999999999995,2opt,acceptBad
36,8,596.5000000000002,3,191.29999999999995,2opt,acceptBad
37,8,574.0000000000002,3,191.29999999999995,move,improve
38,8,577.5000000000002,3,191.29999999999995,swap,acceptBad
39,7,568.4000000000002,3,191.29999999999995,2opt,improve
40,7,566.1000000000001,3,191.29999999999995,move,improve
41,7,570.8,3,191.29999999999995,2opt,acceptBad
42,7,570.8,3,191.29999999999995,2opt,improve
43,7,570.8,3,191.29999999999995,move,improve
44,7,582.6999999999999,3,191.29999999999995,swap,acceptBad
45,7,580.1999999999999,3,191.29999999999995,swap,improve
46,7,615.3000000000001,3,191.29999999999995,swap,acceptBad
47,7,575.3,3,191.29999999999995,swap,improve
48,7,592.9,3,191.29999999999995,2opt,acceptBad
