i,vehi,obj,vehiBest,objBest,loFunc,note
1,6,31658.299999999992,6,31652.69999999999,move,acceptBad
2,6,31658.299999999992,6,31652.69999999999,2opt,improve
3,7,32205.69999999999,6,31652.69999999999,2opt,acceptBad
4,7,32155.69999999999,6,31652.69999999999,move,improve
5,7,32155.69999999999,6,31652.69999999999,move,improve
6,7,31968.899999999987,6,31652.69999999999,move,improve
7,7,31968.19999999999,6,31652.69999999999,move,improve
8,7,32169.69999999999,6,31652.69999999999,swap,acceptBad
9,7,32169.69999999999,6,31652.69999999999,move,improve
10,7,32044.39999999999,6,31652.69999999999,swap,improve
11,7,32116.09999999999,6,31652.69999999999,2opt,acceptBad
12,7,32100.099999999988,6,31652.69999999999,2opt,improve
13,7,32100.099999999988,6,31652.69999999999,swap,improve
14,8,32821.39999999999,6,31652.69999999999,2opt,acceptBad
15,8,32760.099999999988,6,31652.69999999999,move,improve
16,8,32849.89999999999,6,31652.69999999999,swap,acceptBad
17,8,32644.499999999985,6,31652.69999999999,move,improve
18,8,32721.599999999984,6,31652.69999999999,swap,acceptBad
19,9,33292.19999999998,6,31652.69999999999,2opt,acceptBad
20,9,33107.099999999984,6,31652.69999999999,move,improve
21,9,33091.099999999984,6,31652.69999999999,2opt,improve
22,9,33091.099999999984,6,31652.69999999999,2opt,improve
23,9,33250.89999999999,6,31652.69999999999,swap,acceptBad
24,9,33250.89999999999,6,31652.69999999999,2opt,improve
25,9,33250.89999999999,6,31652.69999999999,2opt,improve
26,9,33148.899999999994,6,31652.69999999999,2opt,improve
27,9,33148.899999999994,6,31652.69999999999,move,improve
28,9,33071.7,6,31652.69999999999,move,improve
29,9,33071.7,6,31652.69999999999,2opt,improve
30,9,33071.7,6,31652.69999999999,swap,improve
31,9,33071.7,6,31652.69999999999,2opt,improve
32,9,33028.299999999996,6,31652.69999999999,move,improve
33,9,33133.9,6,31652.69999999999,2opt,acceptBad
34,9,33047.6,6,31652.69999999999,move,improve
35,9,32865.2,6,31652.69999999999,move,improve
36,9,32790.0,6,31652.69999999999,move,improve
37,9,32821.4,6,31652.69999999999,2opt,acceptBad
38,9,32785.7,6,31652.69999999999,swap,improve
39,9,32785.7,6,31652.69999999999,2opt,improve
40,9,33007.6,6,31652.69999999999,swap,acceptBad
41,9,32964.399999999994,6,31652.69999999999,swap,improve
42,9,33053.899999999994,6,31652.69999999999,swap,acceptBad
43,9,33155.299999999996,6,31652.69999999999,2opt,acceptBad
