i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-26,7.54,7.57,115.84162809085886,0.99,4,83397.09999999999,20000,196.342476014
2,2023-10-26,8.58,9.3,118.19368237002227,0.99,4,83397.09999999999,20000,303.85710019
3,2023-10-26,10.4,10.8,137.4251895027731,0.99,4,83397.09999999999,20000,277.314606738
4,2023-10-26,11.8,11.11,114.68321180995021,0.99,4,83397.09999999999,20000,205.885003235
5,2023-10-26,12.15,12.18,123.0420292605862,0.99,4,83397.09999999999,20000,220.574089957
6,2023-10-26,13.20,13.22,1078.5777376718336,0.99,4,83397.09999999999,11877,153.543207321
7,2023-10-26,14.19,14.28,150.43524343007456,0.99,4,83397.09999999999,20000,524.022290078
8,2023-10-26,15.13,15.30,110.16423567862311,0.99,4,83397.09999999999,20000,1033.898655862
9,2023-10-26,16.33,16.37,126.80836449443534,0.99,4,83397.09999999999,20000,224.301516473
10,2023-10-26,17.38,17.41,123.04202926058613,0.99,4,83397.09999999999,20000,206.664601254
