i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-26,6.50,7.38,24.891405857396368,0.99,11,5600.599999999997,19026,2910.735161199
2,2023-10-26,7.58,8.34,137.42518950277335,0.99,11,5579.799999999997,12821,2204.295456018
3,2023-10-26,9.3,9.35,251.1624256306271,0.99,10,5577.400000000001,11223,1878.876716084
4,2023-10-26,10.8,10.50,91.01423498650725,0.99,11,5572.799999999999,15090,2514.117406075
5,2023-10-26,11.12,11.45,222.62657442251526,0.99,11,5560.699999999999,11240,1984.237812114
6,2023-10-26,12.19,12.58,103.71744106535716,0.99,11,5571.9,14217,2368.759540853
7,2023-10-26,13.23,13.48,492.48910872053926,0.99,11,5576.5999999999985,8222,1447.278324069
8,2023-10-26,14.29,15.5,176.67962938036553,0.99,11,5560.699999999999,13425,2137.214299114
9,2023-10-26,15.33,15.59,427.84785103529435,0.99,10,5587.900000000001,8691,1548.645467402
10,2023-10-26,16.38,17.0,517.8698859912638,0.99,11,5586.199999999999,7963,1333.867218752
11,2023-10-27,15.43,16.14,272.1905930722713,0.99,11,5560.699999999998,10678,1857.030293815
12,2023-10-27,16.51,17.26,121.81160896798053,0.99,11,5584.5,12694,2125.546649042
13,2023-10-27,17.57,18.31,195.35949933400155,0.99,10,5582.2,11026,2014.973301534
14,2023-10-27,19.4,19.27,665.7954037046619,0.99,10,5597.400000000001,7811,1418.705320886
15,2023-10-27,20.9,20.33,449.8972950140585,0.99,10,5589.999999999999,8146,1382.360433106
16,2023-10-27,21.16,22.5,22.73872856484691,0.99,11,5601.999999999997,20000,2970.965333765
