i,vehi,obj,vehiBest,objBest,loFunc,note
1,7,17742.299999999996,7,17224.000000000004,2opt,acceptBad
2,6,17933.199999999997,7,17224.000000000004,2opt,acceptBad
3,6,17924.899999999998,6,17924.899999999998,move,newBest
4,6,18069.8,6,17924.899999999998,swap,acceptBad
5,7,17750.199999999997,7,17750.199999999997,move,newBest
6,7,17868.799999999996,7,17750.199999999997,swap,acceptBad
7,7,17915.799999999996,7,17750.199999999997,swap,acceptBad
8,7,17907.699999999993,7,17750.199999999997,move,improve
9,7,17907.699999999993,7,17750.199999999997,move,improve
10,7,17851.999999999996,7,17750.199999999997,move,improve
11,7,18009.4,7,17750.199999999997,2opt,acceptBad
12,7,17903.7,7,17750.199999999997,move,improve
13,8,18027.3,7,17750.199999999997,2opt,acceptBad
14,8,18117.3,7,17750.199999999997,swap,acceptBad
15,8,17983.8,7,17750.199999999997,swap,improve
16,8,17941.300000000003,7,17750.199999999997,swap,improve
17,8,18659.300000000003,7,17750.199999999997,2opt,acceptBad
18,8,18850.500000000004,7,17750.199999999997,2opt,acceptBad
19,8,18828.700000000004,7,17750.199999999997,move,improve
20,8,18719.500000000007,7,17750.199999999997,move,improve
21,8,18698.700000000004,7,17750.199999999997,swap,improve
22,8,18823.2,7,17750.199999999997,2opt,acceptBad
23,8,18823.2,7,17750.199999999997,move,improve
24,7,18880.4,7,17750.199999999997,2opt,acceptBad
25,7,18833.1,7,17750.199999999997,move,improve
26,7,18874.100000000002,7,17750.199999999997,swap,acceptBad
27,7,19065.500000000004,7,17750.199999999997,2opt,acceptBad
28,7,19024.500000000004,7,17750.199999999997,swap,improve
29,7,19024.5,7,17750.199999999997,move,improve
30,7,18981.100000000006,7,17750.199999999997,2opt,improve
31,7,19143.700000000004,7,17750.199999999997,2opt,acceptBad
32,7,19143.700000000004,7,17750.199999999997,2opt,improve
33,7,19127.4,7,17750.199999999997,move,improve
34,8,19148.5,7,17750.199999999997,2opt,acceptBad
35,8,19191.3,7,17750.199999999997,swap,acceptBad
36,8,19078.4,7,17750.199999999997,move,improve
37,8,19077.5,7,17750.199999999997,move,improve
38,8,19196.800000000003,7,17750.199999999997,swap,acceptBad
39,8,19296.800000000003,7,17750.199999999997,2opt,acceptBad
40,8,19286.800000000007,7,17750.199999999997,2opt,improve
