i,vehi,obj,vehiBest,objBest,loFunc,note
1,5,19419.5,4,19022.3,2opt,acceptBad
2,5,19385.2,4,19022.3,move,improve
3,5,20321.6,4,19022.3,swap,acceptBad
4,5,20318.3,4,19022.3,move,improve
5,5,20176.899999999998,4,19022.3,move,improve
6,5,20539.299999999992,4,19022.3,swap,acceptBad
7,5,21035.799999999996,4,19022.3,swap,acceptBad
8,5,21035.799999999996,4,19022.3,move,improve
9,5,21215.4,4,19022.3,swap,acceptBad
10,6,21029.2,4,19022.3,2opt,improve
11,6,22046.600000000006,4,19022.3,2opt,acceptBad
12,6,22109.500000000004,4,19022.3,swap,acceptBad
13,6,22288.000000000007,4,19022.3,swap,acceptBad
14,6,22043.800000000003,4,19022.3,move,improve
15,6,22464.700000000004,4,19022.3,swap,acceptBad
16,6,22525.900000000005,4,19022.3,2opt,acceptBad
17,6,22525.900000000005,4,19022.3,2opt,improve
18,6,22306.300000000007,4,19022.3,move,improve
19,6,21845.600000000006,4,19022.3,move,improve
20,6,22246.2,4,19022.3,2opt,acceptBad
21,6,22021.7,4,19022.3,move,improve
22,6,21693.0,4,19022.3,move,improve
23,6,22131.300000000003,4,19022.3,swap,acceptBad
24,6,21970.600000000002,4,19022.3,swap,improve
25,6,21806.8,4,19022.3,move,improve
26,6,21806.799999999996,4,19022.3,2opt,improve
27,6,21806.799999999996,4,19022.3,move,improve
28,6,21820.199999999997,4,19022.3,swap,acceptBad
29,6,21573.199999999997,4,19022.3,2opt,improve
30,6,21573.199999999997,4,19022.3,move,improve
31,7,21783.199999999997,4,19022.3,2opt,acceptBad
32,8,22316.299999999996,4,19022.3,2opt,acceptBad
33,8,22469.8,4,19022.3,2opt,acceptBad
34,8,22640.6,4,19022.3,swap,acceptBad
35,9,22388.300000000007,4,19022.3,2opt,improve
36,9,22760.900000000012,4,19022.3,swap,acceptBad
37,9,22923.90000000001,4,19022.3,2opt,acceptBad
38,9,23002.300000000007,4,19022.3,swap,acceptBad
39,9,23415.500000000004,4,19022.3,swap,acceptBad
40,9,23606.300000000007,4,19022.3,swap,acceptBad
41,9,23599.700000000004,4,19022.3,swap,improve
42,9,23567.90000000001,4,19022.3,2opt,improve
43,9,23606.200000000008,4,19022.3,swap,acceptBad
44,9,23591.200000000008,4,19022.3,move,improve
45,9,23559.1,4,19022.3,2opt,improve
46,10,23930.999999999996,4,19022.3,2opt,acceptBad
47,10,23694.699999999997,4,19022.3,move,improve
48,10,23690.6,4,19022.3,swap,improve
