i,vehi,obj,vehiBest,objBest,loFunc,note
1,4,8881.800000000001,3,6516.700000000001,2opt,acceptBad
2,4,8881.800000000001,3,6516.700000000001,move,improve
3,4,8881.800000000001,3,6516.700000000001,move,improve
4,4,8783.2,3,6516.700000000001,move,improve
5,4,8929.800000000001,3,6516.700000000001,swap,acceptBad
6,4,8929.2,3,6516.700000000001,move,improve
7,5,11311.2,3,6516.700000000001,2opt,acceptBad
8,6,11610.2,3,6516.700000000001,2opt,acceptBad
9,6,11708.2,3,6516.700000000001,swap,acceptBad
10,6,11708.2,3,6516.700000000001,move,improve
11,7,12999.3,3,6516.700000000001,2opt,acceptBad
12,8,15115.3,3,6516.700000000001,2opt,acceptBad
13,8,15115.3,3,6516.700000000001,move,improve
14,8,15877.3,3,6516.700000000001,swap,acceptBad
15,8,15873.3,3,6516.700000000001,swap,improve
16,9,18467.3,3,6516.700000000001,2opt,acceptBad
17,9,18467.3,3,6516.700000000001,move,improve
18,9,18467.3,3,6516.700000000001,move,improve
19,9,18184.3,3,6516.700000000001,move,improve
20,9,18188.9,3,6516.700000000001,2opt,acceptBad
21,9,18188.9,3,6516.700000000001,swap,improve
22,9,18188.9,3,6516.700000000001,move,improve
23,9,18188.9,3,6516.700000000001,move,improve
24,9,18188.9,3,6516.700000000001,move,improve
25,9,18188.9,3,6516.700000000001,move,improve
26,9,18188.9,3,6516.700000000001,move,improve
27,9,18188.9,3,6516.700000000001,move,improve
28,9,18188.6,3,6516.700000000001,2opt,improve
29,9,18188.6,3,6516.700000000001,move,improve
30,9,18188.6,3,6516.700000000001,2opt,improve
31,9,18188.6,3,6516.700000000001,2opt,improve
32,9,18188.6,3,6516.700000000001,move,improve
33,9,19130.6,3,6516.700000000001,2opt,acceptBad
34,10,19717.6,3,6516.700000000001,2opt,acceptBad
35,10,20583.6,3,6516.700000000001,swap,acceptBad
36,10,20583.6,3,6516.700000000001,move,improve
37,10,20583.6,3,6516.700000000001,move,improve
38,10,20487.6,3,6516.700000000001,swap,improve
39,10,20487.6,3,6516.700000000001,2opt,improve
40,10,20487.6,3,6516.700000000001,2opt,improve
