i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-26,17.42,18.3,81.4885262655122,0.99,2,1241.0,10362,1249.878864517
2,2023-10-26,18.45,19.15,50.81016551880539,0.99,2,1139.0,14178,1782.395771167
3,2023-10-26,19.50,20.12,213.85419911023638,0.99,2,1055.0,9249,1343.89740011
4,2023-10-26,20.59,21.33,27.801119564588372,0.99,2,1139.0,14484,2059.929015431
5,2023-10-26,22.4,22.28,151.95479134350995,0.99,2,1082.2,9383,1470.628242391
6,2023-10-26,23.10,23.33,113.53637969185102,0.99,3,1095.8,10994,1384.327534361
7,2023-10-27,0.16,0.53,22.96841269176459,0.99,2,1139.0,17612,2235.483598327
8,2023-10-27,1.22,1.51,35.74229381675025,0.99,2,1241.0,13491,1732.066915709
9,2023-10-27,2.25,2.52,45.951802923438024,0.99,2,1241.0,13767,1606.082222366
10,2023-10-27,3.33,4.4,34.333904828617946,0.99,2,1070.9,15728,1835.236487463
