i,vehi,obj,vehiBest,objBest,loFunc,note
1,2,1479.7,2,1330.9,swap,acceptBad
2,2,1516.6000000000001,2,1330.9,swap,acceptBad
3,2,1526.9,2,1330.9,swap,acceptBad
4,3,1478.7000000000003,2,1330.9,2opt,improve
5,3,1484.5000000000002,2,1330.9,swap,acceptBad
6,4,1601.1000000000001,2,1330.9,2opt,acceptBad
7,4,1621.6,2,1330.9,swap,acceptBad
8,4,1611.0,2,1330.9,move,improve
9,4,1676.4,2,1330.9,swap,acceptBad
10,4,1662.4,2,1330.9,move,improve
11,4,1660.9,2,1330.9,move,improve
12,4,1804.8000000000002,2,1330.9,swap,acceptBad
13,5,1981.8000000000002,2,1330.9,2opt,acceptBad
14,6,2567.2000000000003,2,1330.9,2opt,acceptBad
15,6,2547.2000000000003,2,1330.9,move,improve
16,6,2536.1,2,1330.9,move,improve
17,6,2536.1000000000004,2,1330.9,2opt,acceptBad
18,6,2536.1000000000004,2,1330.9,swap,improve
19,6,2543.2000000000003,2,1330.9,swap,acceptBad
20,6,2389.8,2,1330.9,2opt,improve
21,6,2283.4,2,1330.9,move,improve
22,6,2281.6,2,1330.9,move,improve
23,6,2267.9,2,1330.9,move,improve
24,6,2267.9,2,1330.9,2opt,improve
25,6,2267.9,2,1330.9,move,improve
26,6,2311.2,2,1330.9,swap,acceptBad
27,6,2270.4,2,1330.9,swap,improve
28,6,2899.7999999999997,2,1330.9,swap,acceptBad
29,6,2983.6,2,1330.9,swap,acceptBad
30,6,2960.5,2,1330.9,swap,improve
31,7,3336.5,2,1330.9,2opt,acceptBad
32,7,3318.4,2,1330.9,move,improve
33,7,3266.8,2,1330.9,move,improve
34,7,3296.0,2,1330.9,swap,acceptBad
35,7,3259.5,2,1330.9,move,improve
36,7,3237.4,2,1330.9,move,improve
37,7,3237.4,2,1330.9,move,improve
38,7,3305.8,2,1330.9,2opt,acceptBad
39,7,3350.2,2,1330.9,2opt,acceptBad
40,7,3320.7,2,1330.9,move,improve
41,7,3303.6000000000004,2,1330.9,swap,improve
42,7,3292.3,2,1330.9,2opt,improve
43,7,3292.3,2,1330.9,move,improve
44,7,3292.3,2,1330.9,move,improve
45,7,3226.5,2,1330.9,move,improve
46,7,3273.2,2,1330.9,swap,acceptBad
47,7,3273.2,2,1330.9,swap,improve
48,7,2907.0000000000005,2,1330.9,swap,improve
49,7,2867.9,2,1330.9,move,improve
50,7,2788.4,2,1330.9,move,improve
51,7,2856.5,2,1330.9,2opt,acceptBad
52,7,2816.1,2,1330.9,move,improve
53,7,2770.5,2,1330.9,move,improve
54,7,2757.2999999999997,2,1330.9,move,improve
55,7,2799.7,2,1330.9,2opt,acceptBad
56,7,2831.3999999999996,2,1330.9,swap,acceptBad
57,7,2831.3999999999996,2,1330.9,2opt,improve
58,8,3128.5,2,1330.9,2opt,acceptBad
59,8,3229.5999999999995,2,1330.9,swap,acceptBad
60,8,3218.1000000000004,2,1330.9,2opt,improve
61,8,3163.7000000000003,2,1330.9,move,improve
62,8,3160.2000000000003,2,1330.9,swap,improve
63,8,3170.1999999999994,2,1330.9,2opt,acceptBad
64,9,3193.7999999999997,2,1330.9,2opt,acceptBad
