i,vehi,obj,vehiBest,objBest,loFunc,note
1,9,1269.8999999999999,9,1269.8999999999999,move,improve
2,10,1321.8,9,1269.8999999999999,2opt,acceptBad
3,10,1324.7,9,1269.8999999999999,swap,acceptBad
4,10,1332.2,9,1269.8999999999999,swap,acceptBad
5,10,1330.7,9,1269.8999999999999,swap,improve
6,10,1332.0,9,1269.8999999999999,swap,acceptBad
7,11,1377.7,9,1269.8999999999999,2opt,acceptBad
8,10,1332.0,9,1269.8999999999999,move,improve
9,10,1332.0,9,1269.8999999999999,2opt,improve
10,10,1335.3,9,1269.8999999999999,swap,acceptBad
11,11,1464.8,9,1269.8999999999999,2opt,acceptBad
12,12,1529.8999999999999,9,1269.8999999999999,2opt,acceptBad
13,12,1516.8999999999999,9,1269.8999999999999,swap,improve
14,12,1540.3999999999999,9,1269.8999999999999,2opt,acceptBad
15,12,1554.8,9,1269.8999999999999,2opt,acceptBad
16,12,1554.8,9,1269.8999999999999,2opt,improve
17,12,1560.3,9,1269.8999999999999,swap,acceptBad
18,12,1560.3,9,1269.8999999999999,move,improve
19,12,1540.1999999999998,9,1269.8999999999999,move,improve
20,12,1540.1999999999998,9,1269.8999999999999,move,improve
21,12,1568.1999999999998,9,1269.8999999999999,swap,acceptBad
22,12,1568.1999999999998,9,1269.8999999999999,swap,improve
23,12,1568.1999999999998,9,1269.8999999999999,swap,improve
24,12,1568.1999999999998,9,1269.8999999999999,move,improve
25,12,1574.8999999999999,9,1269.8999999999999,swap,acceptBad
26,13,1712.5,9,1269.8999999999999,2opt,acceptBad
27,14,1801.7,9,1269.8999999999999,2opt,acceptBad
28,14,1789.3,9,1269.8999999999999,swap,improve
29,14,1742.5,9,1269.8999999999999,2opt,improve
30,14,1711.8999999999999,9,1269.8999999999999,2opt,improve
31,14,1722.6,9,1269.8999999999999,2opt,acceptBad
32,14,1726.3,9,1269.8999999999999,swap,acceptBad
33,14,1726.3,9,1269.8999999999999,move,improve
34,14,1773.3,9,1269.8999999999999,2opt,acceptBad
35,14,1760.3,9,1269.8999999999999,move,improve
36,14,1760.3,9,1269.8999999999999,2opt,improve
37,14,1760.3,9,1269.8999999999999,move,improve
38,14,1780.1000000000001,9,1269.8999999999999,swap,acceptBad
39,14,1760.3,9,1269.8999999999999,swap,improve
40,14,1760.3,9,1269.8999999999999,move,improve
41,14,1736.2,9,1269.8999999999999,move,improve
42,14,1736.2,9,1269.8999999999999,swap,improve
43,14,1737.7,9,1269.8999999999999,swap,acceptBad
44,14,1727.0,9,1269.8999999999999,swap,improve
45,14,1727.0,9,1269.8999999999999,move,improve
46,14,1722.6,9,1269.8999999999999,move,improve
47,14,1727.7,9,1269.8999999999999,swap,acceptBad
48,14,1756.6,9,1269.8999999999999,2opt,acceptBad
49,14,1756.6,9,1269.8999999999999,move,improve
50,14,1802.0,9,1269.8999999999999,swap,acceptBad
51,14,1796.4999999999998,9,1269.8999999999999,2opt,improve
52,14,1798.7999999999997,9,1269.8999999999999,swap,acceptBad
53,14,1790.1,9,1269.8999999999999,swap,improve
54,14,1749.1,9,1269.8999999999999,move,improve
55,14,1754.6,9,1269.8999999999999,swap,acceptBad
56,14,1752.3999999999999,9,1269.8999999999999,swap,improve
57,14,1719.8,9,1269.8999999999999,move,improve
58,14,1714.3999999999999,9,1269.8999999999999,move,improve
59,14,1711.6999999999998,9,1269.8999999999999,move,improve
60,14,1705.6999999999998,9,1269.8999999999999,2opt,improve
61,14,1700.6,9,1269.8999999999999,swap,improve
62,14,1788.7,9,1269.8999999999999,2opt,acceptBad
63,15,1840.0,9,1269.8999999999999,2opt,acceptBad
64,15,1840.0,9,1269.8999999999999,2opt,improve
65,15,1834.1,9,1269.8999999999999,2opt,improve
66,15,1834.1,9,1269.8999999999999,swap,improve
67,15,1821.9,9,1269.8999999999999,swap,improve
