i,date,start,finish,T,alpha,num_vehi,obj,iter,time
1,2023-10-26,17.42,18.17,48.31996184215588,0.99,3,1821.0,16825,2074.984099296
2,2023-10-26,18.45,19.22,26.975398512400535,0.99,2,1329.9,17511,2225.685844198
3,2023-10-26,19.50,20.30,27.801119564588358,0.99,2,1362.5,17724,2419.715240835
4,2023-10-26,20.59,21.26,68.00329656885678,0.99,2,1404.6,11973,1644.958467919
5,2023-10-26,22.4,22.40,34.680711948098924,0.99,3,1528.9,15499,2207.570932304
6,2023-10-26,23.10,23.50,19.556633476117124,0.99,2,1341.1,17076,2437.08176551
7,2023-10-27,0.16,0.53,26.4385880820037,0.99,2,1332.0,16204,2208.71763659
8,2023-10-27,1.22,2.3,14.036392960642775,0.99,2,1362.0,19765,2453.614900665
9,2023-10-27,2.25,3.5,13.21498534163712,0.99,2,1341.1,19321,2383.152203023
10,2023-10-27,3.34,4.4,34.68071194809896,0.99,2,1366.4,14701,1814.347003962
