ins_name,num_vehi,diff_b,diff_t,diff_d,diff_c,total_b,total_t,total_d,total_c,dis_b,dis_t,dis_d,dis_c,relative_gap_b,relative_gap_t,relative_gap_d,relative_gap_c,solve_time_b,solve_time_t,solve_time_d,solve_time_c
C101-25,3,68.20000000000437,178,560,606,13177.39999999998,12833.199999999997,13316.399999999987,13183.699999999988,277.20000000000005,367.80000000000007,191.3,241.89999999999995,0.0,0.0,0.0,0.0,5.52,0.29,0.21,0.06
C102-25,3,1.1999999829972376,170,886.0000000000175,932,14620.199999990013,11399.39999999999,14926.8,15015.100000000006,453.99999999999994,271.0,190.29999999999995,240.89999999999995,1.0,0.171,0.0,0.0,3601.31,3604.37,12.74,1.43
C103-25,3,0.19999998199362085,160,842,310,17167.29999998399,11502.899999985993,15170.90000000002,16794.600000000035,481.5000000000001,326.0,190.29999999999995,236.49999999999994,1.0,0.34,0.0,0.0,3602.14,3603.52,227.58,9.65
C104-25,3,0.1999999820008968,225.59999999999854,426,719.1999999999966,16942.099999980976,11921.199999988992,16090.100000000013,15875.300000000014,533.8000000000001,437.00000000000006,186.89999999999995,233.09999999999994,1.0,0.528,0.0,0.0,3600.79,3613.57,1271.48,76.62
C105-25,3,0,171.99999999999977,614,704,13270.299999999988,12475.799999999992,13337.699999999986,13441.200000000004,532.5000000000001,358.1000000000001,191.29999999999995,241.89999999999995,0.0,0.0,0.0,0.0,50.83,267.53,0.55,0.1
C106-25,3,59.19999999999709,204,604,634,13181.39999999999,12708.099999999995,13386.699999999986,13337.399999999994,446.4,367.80000000000007,191.29999999999995,241.89999999999995,0.0,0.0,0.0,0.0,19.26,12.53,0.2,0.05
C107-25,3,0,370,686,691.5999999999985,13044.000000000004,12070.5,13855.699999999986,14188,497.90000000000015,266.19999999999993,191.29999999999995,241.89999999999995,0.0,0.0,0.0,0.0,104.55,403.78,0.41,0.11
C108-25,3,0,159.99999999999977,724,684.9999999999927,13772.700000000004,11897.800000000021,13803.699999999335,12947.699999999979,518.7,321.80000000000007,191.29999999999995,237.49999999999994,0.0,0.072,0.0,0.0,250.18,3602.37,14.33,1.06
C109-25,3,0.19999997500461938,128.79999999998154,506,926,14389.799999946006,11587.900000000034,15744.5,13572.300000000007,588.7,266.2,191.3,235.99999999999994,1.0,0.167,0.0,0.0,3601.32,3602.23,47.64,8.99
C201-25,2,95.5,479,1722,96,41879.29999999999,41738.2,43620.799999999996,43621,385.2,422.69999999999993,214.7,252.3,0.0,0.0,0.0,0.0,10.39,4.85,0.09,0.04
