ins_name,num_vehi,diff_b,diff_t,total_b,total_t,relative_gap_b,relative_gap_t,solve_time_b,solve_time_t
C101-25,3,68.20000000000437,178,10927.39999999998,12833.2,0.0,0.0,1.02,0.66
C102-25,3,0.999999999464801,170,14754.999999999744,11487.09999999995,1.0,0.156,600.01,600.02
C103-25,3,0.19999999952240988,170,16599.29999999999,11348.199999999977,1.0,0.253,600.01,600.01
C104-25,3,0.19999999551467776,156.59999999999627,16999.899999999976,11478.19999999989,1.0,0.395,600.01,600.01
C105-25,3,0,172,13270.299999999988,12475.79999999999,0.0,0.0,89.58,19.86
C106-25,3,59.19999999999709,204,13120.2,12708.099999999999,0.0,0.0,3.93,0.64
C107-25,3,0,370,12545.699999999983,12070.5,0.0,0.0,14.16,275.43
C108-25,3,0,160,14085.499999999996,11896.89983722764,0.0,0.058,31.76,600.01
C109-25,3,0,135.00000000000932,13424.499999999982,11530.39999999998,0.0,0.123,240.37,600.01
C201-25,2,95.4999999903498,192,41812.20000004825,41738.2,0.0,0.0,1.74,0.08
C202-25,2,0,96,52701.10000000002,35611.99999999997,0.0,0.024,48.16,600.01
C203-25,2,0,96,55477.78120287588,30303.499999999935,0.0,0.099,7.12,600.01
C204-25,2,0,383,51924.299999999945,26626.699999999866,0.0,0.176,21.86,600.01
C205-25,2,0,192,41498.49999999998,40113.79999999999,0.0,0.0,0.66,0.53
C206-25,2,0,17.099999999998545,42022.49999999999,38719.7,0.0,0.0,25.29,1.03
C207-25,2,0,117,40118.3,34823.399999999994,0.0,0.0,62.58,1.64
C208-25,2,0,1,41004.799999999974,36975.79999999999,0.0,0.0,32.38,4.15
R101-25,8,431.79999999998176,545,2773.6999999999966,2729.0000000000014,0.0,0.0,1.75,0.13
R102-25,7,97.9999999999923,784,2984.2000000000044,2150.0999999999985,1.0,0.0,357.59,0.97
R103-25,5,30.999999999984635,212.00000000000006,3424.0999999999985,1843.899999999987,1.0,0.037,600.01,600.01
R104-25,4,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R105-25,6,13.499994909509347,225.00000000001484,2831.200000781837,2575.6999999999985,1.0,0.0,600.01,39.86
R106-25,3,Inf,Inf,Inf,Inf,1.0e100,1.0e100,600.02,600.01
R107-25,4,Inf,93.90057576994406,Inf,1914.4992953529827,1.0e100,0.113,600.01,600.01
R108-25,4,12.299999999993387,133,2526.399999999974,1859.5999999999788,1.0,0.285,600.02,600.01
R109-25,5,9.599996413077292,178.8000000000011,2809.999999999971,2360.2000000000025,1.0,0.033,600.02,600.02
R110-25,4,Inf,Inf,Inf,Inf,1.0e100,1.0e100,600.01,600.01
R111-25,5,6.199999332141273,211.80000000001286,2962.699999999978,2119.899999999974,1.0,0.052,600.01,600.01
R112-25,4,3.0000000000010454,130.30000000000143,2837.0999999999676,2332.69999999995,1.0,0.249,600.01,600.01
R201-25,4,253.20000000000073,443,11082.300000000007,10379,0.0,0.0,74.96,0.37
