ins,comp0,ccomp1,ccomp2,ccomp3,dis0,cdis1,cdis2,cdis3
C101,46708.5,46708.5,46469.9,46469.9,827.3,827.3,944.2,944.2
C102,46708.5,45086.2,37576.4,37571.2,827.3,1161.6,1719.7,1728.7
C103,47718.7,47241.2,43291.3,43268.3,826.3,1206.4,1233.2,1248.6
C104,47366.7,51939.6,42616.3,42599.1,822.9,1089.4,1154.6,1169.7
C105,46708.5,45310.2,42130.3,42005.9,827.3,1242.5,1948.8,2115.0
C106,46708.5,45163.7,43102.3,42748.5,827.3,1024.0,1520.3,1591.5
C107,46708.5,44553.8,40448.5,40354.0,827.3,1149.4,1616.8,1715.0
C108,46708.5,45796.7,40560.0,40458.8,827.3,973.2,1399.9,1421.0
C109,46708.5,45237.6,42291.5,42291.5,827.3,932.1,1021.8,1021.8
C201,155221.0,151405.1,147642.9,147642.9,589.1,884.3,1686.9,1686.9
C202,155221.0,151495.0,126593.8,125942.9,589.1,1239.0,2181.2,2167.9
C203,155266.1,158923.8,97109.1,96407.6,588.7,1293.3,2370.1,2233.0
C204,155216.2,156737.6,91417.2,89479.4,588.1,1659.2,1637.6,1463.2
C205,155180.2,152232.4,140234.9,140209.6,586.4,1055.2,3149.9,3371.8
C206,155183.2,148228.9,136870.1,136723.4,586.0,1102.8,1559.8,1630.4
C207,156185.4,148788.3,127461.6,127125.6,585.8,1165.7,1980.2,2076.7
C208,157201.4,152350.9,131323.8,130248.6,585.8,1185.6,1439.3,1267.3
R101,10408.2,11111.4,10413.8,10367.7,1645.7,2519.0,2464.9,2327.1
R102,10777.3,10647.2,8823.4,8774.4,1481.2,2221.2,2342.8,2338.0
R103,11386.2,10361.0,7542.0,7404.6,1288.1,1813.5,2108.6,2110.9
R104,11307.6,8337.5,7196.2,6937.8,1002.4,1622.0,1641.5,1606.6
R105,10296.0,10341.6,9474.7,9409.2,1372.3,1904.5,1955.7,2013.5
R106,10463.8,9889.3,8204.7,8157.0,1247.4,1742.9,1901.9,1930.7
R107,11876.1,9780.1,7853.7,7685.0,1100.1,1632.4,1621.2,1599.4
R108,10603.0,8788.9,7080.6,6807.1,956.4,1483.6,1440.1,1479.2
R109,10377.7,10025.7,8788.7,8688.1,1189.8,1723.2,1598.4,1588.1
R110,10739.7,9995.5,7624.5,7456.2,1114.4,1683.6,1588.5,1674.1
R111,10619.6,10002.5,7836.5,7546.5,1189.8,1585.3,1635.1,1565.6
R112,10752.4,8984.2,8256.1,8256.1,977.7,1405.2,1261.6,1261.6
R201,44065.3,42983.2,39654.6,39589.4,1248.4,1671.7,2235.8,2386.2
R202,43462.4,47676.9,32516.2,32480.7,1187.9,1597.1,2020.5,1971.9
R203,45651.9,44592.0,26909.5,26909.5,935.7,1579.4,1696.2,1696.2
R204,51001.0,44797.4,24347.7,23800.8,821.1,1704.1,1113.0,1067.1
R205,43690.2,41474.1,35453.9,35363.7,990.3,1643.4,1741.3,1740.6
R206,41257.9,41127.1,28848.0,28720.9,902.4,1691.9,1687.7,1664.9
R207,53451.7,42052.1,27440.0,27440.0,886.6,1661.4,1462.3,1462.3
R208,46639.7,51761.3,23102.9,22748.4,722.6,1627.9,1001.1,1024.7
R209,45218.1,42820.9,29626.0,29509.9,904.9,1781.1,1766.0,1856.4
R210,45920.8,44966.5,29680.5,29605.4,935.3,1688.1,1735.2,1844.2
R211,46238.9,42941.7,27788.0,27788.0,882.0,1581.2,1306.2,1306.2
RC101,10979.1,10822.6,10263.9,10160.8,1693.2,2129.6,2172.4,2176.4
RC102,11507.8,10976.2,9109.4,8970.8,1551.1,2166.4,2145.1,2236.0
RC103,11693.0,10315.7,8420.8,8168.3,1258.0,1814.0,1995.4,1912.1
RC104,11227.9,9673.7,8414.5,8171.9,1132.3,1494.3,1547.3,1566.2
RC105,11142.7,11096.6,9298.3,9201.5,1625.0,2174.6,2442.8,2389.6
RC106,11093.5,10815.1,9654.0,9403.7,1421.0,1842.1,1731.6,1692.0
RC107,11163.1,10078.3,8858.5,8858.5,1227.1,1780.0,1754.6,1754.6
RC108,11362.6,10625.3,8922.2,8592.1,1136.3,1812.9,1478.3,1494.4
RC201,41647.9,40735.5,37809.8,37768.8,1403.3,1961.5,2521.0,2524.5
RC202,43558.9,45519.5,32159.1,31934.7,1362.7,1832.3,2032.5,2105.1
RC203,40691.6,45462.2,27123.5,27123.5,1046.3,1743.0,1926.9,1926.9
RC204,44398.0,33426.9,21225.2,20904.2,795.5,1497.4,1470.5,1258.6
RC205,42784.1,40434.0,34394.1,34299.8,1294.3,1919.4,2128.0,2275.0
RC206,41911.4,39235.4,33022.9,33006.5,1143.3,1872.3,2046.0,2099.0
RC207,42569.6,41213.1,29106.3,28531.0,1057.8,1764.2,1984.8,1973.0
RC208,42289.3,38449.1,28815.4,27040.0,825.1,1707.1,1352.3,1245.3
