ins,comp0,comp1,comp2,comp3,dis0,dis1,dis2,dis3
C101,46708.5,46708.5,46469.9,46469.9,827.3,827.3,944.2,944.2
C102,46708.5,45086.2,37576.4,37571.2,827.3,1161.6,1719.7,1728.7
C103,47718.7,47241.2,43291.3,43268.3,826.3,1206.4,1233.2,1248.6
C104,47366.7,51939.6,42616.3,42599.1,822.9,1089.4,1154.6,1169.7
C105,46708.5,45310.2,42130.3,42005.9,827.3,1242.5,1948.8,2115
C106,46708.5,45163.7,43102.3,42748.5,827.3,1024,1520.3,1591.5
C107,46708.5,44553.8,40448.5,40354,827.3,1149.4,1616.8,1715
C108,46708.5,45796.7,40560,40458.8,827.3,973.2,1399.9,1421
C109,46708.5,45237.6,42291.5,42291.5,827.3,932.1,1021.8,1021.8
C201,155221,151405.1,147642.9,147642.9,589.1,884.3,1686.9,1686.9
C202,155221,151495,126593.8,125942.9,589.1,1239,2181.2,2167.9
C203,155266.1,158923.8,97109.1,96407.6,588.7,1293.3,2370.1,2233
C204,155216.2,156737.6,91417.2,89479.4,590.6,1659.2,1637.6,1463.2
C205,155180.2,152232.4,140234.9,140209.6,586.4,1055.2,3149.9,3371.8
C206,155183.2,148228.9,136870.1,136723.4,586,1102.8,1559.8,1630.4
C207,156185.4,148788.3,127461.6,127125.6,585.8,1165.7,1980.2,2076.7
C208,157201.4,152350.9,131323.8,130248.6,585.8,1185.6,1439.3,1267.3
R101,10408.2,11111.4,10413.8,10367.7,1637.7,2519,2464.9,2327.1
R102,10777.3,10647.2,8823.4,8774.4,1466.6,2221.2,2342.8,2338
R103,11386.2,10361,7542,7404.6,1208.7,1813.5,2108.6,2110.9
R104,11307.6,8337.5,7196.2,6937.8,976.61,1622,1641.5,1606.6
R105,10296,10341.6,9474.7,9409.2,1355.3,1904.5,1955.7,2013.5
R106,10463.8,9889.3,8204.7,8157,1234.6,1742.9,1901.9,1930.7
R107,11876.1,9780.1,7853.7,7685,1064.6,1632.4,1621.2,1599.4
R108,10603,8788.9,7080.6,6807.1,938.2,1483.6,1440.1,1479.2
R109,10377.7,10025.7,8788.7,8688.1,1146.9,1723.2,1598.4,1588.1
R110,10739.7,9995.5,7624.5,7456.2,1068,1683.6,1588.5,1674.1
R111,10619.6,10002.5,7836.5,7546.5,1048.7,1585.3,1635.1,1565.6
R112,10752.4,8984.2,8256.1,8256.1,953.63,1405.2,1261.6,1261.6
R201,44065.3,42983.2,39654.6,39589.4,1143.2,1671.7,2235.8,2386.2
R202,43462.4,47676.9,32516.2,32480.7,1034.4,1597.1,2020.5,1971.9
R203,45651.9,44592,26909.5,26909.5,874.87,1579.4,1696.2,1696.2
R204,51001,44797.4,24347.7,23800.8,735.8,1704.1,1113,1067.1
R205,43690.2,41474.1,35453.9,35363.7,954.16,1643.4,1741.3,1740.6
R206,41257.9,41127.1,28848,28720.9,879.86,1691.9,1687.7,1664.9
R207,53451.7,42052.1,27440,27440,797.99,1661.4,1462.3,1462.3
R208,46639.7,51761.3,23102.9,22748.4,705.33,1627.9,1001.1,1024.7
R209,45218.1,42820.9,29626,29509.9,859.39,1781.1,1766,1856.4
R210,45920.8,44966.5,29680.5,29605.4,905.21,1688.1,1735.2,1844.2
R211,46238.9,42941.7,27788,27788,753.15,1581.2,1306.2,1306.2
RC101,10979.1,10822.6,10263.9,10160.8,1619.8,2129.6,2172.4,2176.4
RC102,11507.8,10976.2,9109.4,8970.8,1457.4,2166.4,2145.1,2236
RC103,11693,10315.7,8420.8,8168.3,1258,1814,1995.4,1912.1
RC104,11227.9,9673.7,8414.5,8171.9,1135.48,1494.3,1547.3,1566.2
RC105,11142.7,11096.6,9298.3,9201.5,1513.7,2174.6,2442.8,2389.6
RC106,11093.5,10815.1,9654,9403.7,1376.99,1842.1,1731.6,1692
RC107,11163.1,10078.3,8858.5,8858.5,1212.83,1780,1754.6,1754.6
RC108,11362.6,10625.3,8922.2,8592.1,1117.53,1812.9,1478.3,1494.4
RC201,41647.9,40735.5,37809.8,37768.8,1261.8,1961.5,2521,2524.5
RC202,43558.9,45519.5,32159.1,31934.7,1095.64,1832.3,2032.5,2105.1
RC203,40691.6,45462.2,27123.5,27123.5,926.82,1743,1926.9,1926.9
RC204,44398,33426.9,21225.2,20904.2,786.38,1497.4,1470.5,1258.6
RC205,42784.1,40434,34394.1,34299.8,1157.55,1919.4,2128,2275
RC206,41911.4,39235.4,33022.9,33006.5,1054.61,1872.3,2046,2099
RC207,42569.6,41213.1,29106.3,28531,966.08,1764.2,1984.8,1973
RC208,42289.3,38449.1,28815.4,27040,778.9,1707.1,1352.3,1245.3
