ins,comp0,comp1,comp2,comp3,dis0,dis1,dis2,dis3
C101,9555.1,9555.100000000002,9555.1,9900.4,827.3000000000001,827.3,827.3000000000002,906.1000000000001
C102,9555.1,12085.300000000001,10416.900000000001,10934.9,827.3000000000001,1166.1999999999996,953.9,1468.8999999999999
C103,9726.6,10526.1,9983.4,10117.199999999999,826.3000000000001,1123.1999999999998,883.9,1266.9999999999998
C104,9739.0,10713.7,10449.9,9844.800000000001,822.8999999999999,1086.3,889.7,1102.3
C105,9555.1,12198.9,10549.3,11268.900000000001,827.3000000000001,1279.2999999999997,1033.1,1675.3999999999994
C106,9555.1,10937.0,9555.1,9884.800000000001,827.3000000000001,941.0,827.3000000000001,943.9999999999999
C107,9555.1,10817.3,10573.2,10739.3,827.3000000000001,1196.3,1064.5999999999997,1343.7000000000003
C108,9555.1,10900.699999999999,10043.9,10016.1,827.3000000000001,999.5999999999999,901.5000000000001,1178.5999999999997
C109,9555.1,10163.6,9555.1,9909.6,827.3000000000001,938.8999999999997,827.3000000000002,1170.1
C201,9546.2,14890.4,15473.0,15263.0,589.1000000000001,825.2,678.3,2384.7999999999997
C202,9546.2,14891.9,15376.9,15376.9,589.1,1072.1,681.5000000000002,681.5000000000002
C203,9557.0,18037.3,18105.899999999998,18105.899999999998,588.7,1295.2999999999997,758.6,758.6
C204,9545.2,16844.000000000004,15367.7,15367.7,588.1000000000001,1341.5999999999997,791.7000000000003,791.7000000000003
C205,9543.5,17575.800000000003,14888.2,14888.2,586.4000000000001,1101.0999999999997,673.1,673.1
C206,9543.099999999999,12288.7,12213.4,12213.4,586.0000000000001,1396.6000000000001,714.0,714.0
C207,9615.5,14083.5,14589.1,14589.1,585.8000000000002,1109.8,689.7,689.7
C208,9699.3,12113.2,11871.7,11871.7,585.8000000000001,1209.3999999999996,679.2,679.2
R101,3230.0,5278.0,3912.3999999999996,3912.3999999999996,1645.7,2586.7000000000003,1827.9,1827.9
R102,2945.9999999999995,4265.200000000001,3731.1000000000004,3731.1000000000004,1481.1999999999994,2240.7999999999997,1673.0999999999997,1673.0999999999997
R103,2521.9,3420.2999999999997,3242.9000000000005,3242.9000000000005,1288.1,1989.9000000000005,1421.9999999999998,1421.9999999999998
R104,1921.7,2671.7000000000003,2650.6,2650.6,1002.3999999999997,1527.5000000000005,1204.0999999999997,1204.0999999999997
R105,2378.1000000000004,3125.1,3114.2000000000003,3114.2000000000003,1372.3000000000002,1819.5000000000007,1576.6000000000001,1576.6000000000001
R106,2180.8,2944.7,2883.4999999999995,2883.4999999999995,1247.3999999999996,1805.3999999999999,1367.5999999999997,1367.5999999999997
R107,2098.6,2555.6,2383.2,2383.2,1100.1,1622.8000000000006,1176.1000000000001,1176.1000000000001
R108,1820.7,2363.9,2160.9,2160.9,956.3999999999999,1532.1000000000006,1016.2999999999997,1016.2999999999997
R109,2033.8,2537.0,2512.7999999999997,2512.7999999999997,1189.8000000000004,1550.6000000000001,1296.9000000000003,1296.9000000000003
