ins,comp0,comp1,comp2,comp3,dis0,dis1,dis2,dis3
C101,64356.999999999956,64356.99999999996,64357.00000000002,64418.09999999998,827.3000000000001,827.3,827.3000000000002,906.1000000000001
C102,64356.99999999995,66170.90000000002,64529.1,59693.10000000002,827.3000000000001,1166.1999999999996,953.9,1468.8999999999999
C103,65538.99999999997,66321.30000000002,65275.299999999996,60709.30000000004,826.3000000000001,1123.1999999999998,883.9,1266.9999999999998
C104,65200.10000000006,70654.40000000005,67154.70000000001,60058.49999999997,822.8999999999999,1086.3,889.7,1102.3
C105,64356.999999999956,65382.700000000026,63469.5,62659.40000000002,827.3000000000001,1279.2999999999997,1033.1,1675.3999999999994
C106,64356.999999999956,64345.49999999997,64357.000000000044,64559.79999999999,827.3000000000001,941.0,827.3000000000001,943.9999999999999
C107,64356.999999999956,62414.59999999999,62660.100000000006,59757.3,827.3000000000001,1196.3,1064.5999999999997,1343.7000000000003
C108,64356.99999999997,65734.00000000003,63820.69999999996,60858.300000000076,827.3000000000001,999.5999999999999,901.5000000000001,1178.5999999999997
C109,64356.99999999997,63203.69999999996,64357.0,64630.899999999994,827.3000000000001,938.8999999999997,827.3000000000002,1170.1
C201,173464.20000000004,175896.90000000008,175511.49999999994,171560.30000000005,589.1000000000001,825.2,678.3,2384.7999999999997
C202,173464.19999999998,175412.99999999994,174082.3000000001,174082.3000000001,589.1,1072.1,681.5000000000002,681.5000000000002
C203,173522.60000000003,172474.39999999994,161382.4,161382.4,588.7,1295.2999999999997,758.6,758.6
C204,173458.0,192759.19999999995,154606.0,154606.0,588.1000000000001,1341.5999999999997,791.7000000000003,791.7000000000003
C205,173420.40000000005,178335.1,172008.50000000006,172008.50000000006,586.4000000000001,1101.0999999999997,673.1,673.1
C206,173422.80000000002,173859.60000000006,171608.2000000001,171608.2000000001,586.0000000000001,1396.6000000000001,714.0,714.0
C207,174504.49999999997,171321.90000000002,168964.1000000001,168964.1000000001,585.8000000000002,1109.8,689.7,689.7
C208,175603.49999999994,173535.7000000001,166018.2000000001,166018.2000000001,585.8000000000001,1209.3999999999996,679.2,679.2
R101,14444.900000000001,17075.500000000004,15169.500000000004,15169.500000000004,1645.7,2586.7000000000003,1827.9,1827.9
R102,14549.099999999999,15231.700000000003,15590.899999999994,15590.899999999994,1481.1999999999994,2240.7999999999997,1673.0999999999997,1673.0999999999997
R103,14770.500000000002,13879.699999999997,14545.999999999995,14545.999999999995,1288.1,1989.9000000000005,1421.9999999999998,1421.9999999999998
R104,14125.399999999996,13192.499999999996,14279.899999999998,14279.899999999998,1002.3999999999997,1527.5000000000005,1204.0999999999997,1204.0999999999997
R105,13524.60000000001,14219.400000000005,14014.299999999997,14014.299999999997,1372.3000000000002,1819.5000000000007,1576.6000000000001,1576.6000000000001
R106,13513.000000000002,13800.800000000007,14462.400000000003,14462.400000000003,1247.3999999999996,1805.3999999999999,1367.5999999999997,1367.5999999999997
R107,14853.800000000005,13270.400000000009,14023.100000000002,14023.100000000002,1100.1,1622.8000000000006,1176.1000000000001,1176.1000000000001
R108,13315.7,11958.199999999999,13392.700000000006,13392.700000000006,956.3999999999999,1532.1000000000006,1016.2999999999997,1016.2999999999997
R109,13283.399999999996,13228.0,12864.999999999998,12864.999999999998,1189.8000000000004,1550.6000000000001,1296.9000000000003,1296.9000000000003
R110,13612.499999999996,13078.700000000004,12868.200000000004,12868.200000000004,1114.4000000000003,1621.1999999999996,1237.500000000001,1237.500000000001
R111,13584.999999999993,13654.800000000001,14186.8,14186.8,1189.8000000000004,1658.9000000000005,1211.0999999999997,1211.0999999999997
R112,13469.900000000003,12816.300000000001,12776.700000000003,12776.700000000003,977.7,1421.9000000000005,990.5,990.5
R201,48525.90000000002,48872.79999999999,48912.500000000015,48912.500000000015,1248.4000000000003,1686.2999999999995,1297.8000000000002,1297.8000000000002
R202,47126.800000000025,53436.49999999999,50022.399999999994,50022.399999999994,1187.9,1592.6000000000004,1096.6,1096.6
R203,49379.799999999996,49275.000000000015,48349.2,48349.2,935.7000000000003,1558.9,949.7,949.7
R204,53898.1,49075.20000000001,41745.6,41745.6,821.0999999999999,1700.1999999999998,863.3,863.3
R205,47112.89999999999,45477.30000000001,46508.79999999998,46508.79999999998,990.3000000000002,1717.7999999999997,1039.4000000000005,1039.4000000000005
R206,44678.4,46932.5,46668.1,46668.1,902.4000000000001,1696.0999999999997,998.6,998.6
R207,56341.19999999999,45948.30000000001,43573.2,43573.2,886.6,1657.3999999999999,914.0999999999999,914.0999999999999
